taxon,sp,dec_region,our_term,dec_value,ref_ids,ref_is_stephan,status,flag,matched_source,matched_variable,matched_sp,matched_value,pct_diff,mismatch_source,mismatch_value,mismatch_pct
Aotus_trivirgatus,aotus trivirgatus,Amygdala,Amygdala_Vol.mm3,201,24;51;52,TRUE,match,match,Stephan_etal_1981_TableXI,Amygdala_Vol.mm3,aotus trivirgatus,201,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,11420,54;55,FALSE,match,match,Bush_Allman_2004_b_TABLE1,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,11420,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Neocortex (GM+WM),Neocortex_Vol.mm3,6970,54;55,FALSE,match,match,Bush_Allman_2004_a_Table2,Neocortex_Vol.mm3,aotus trivirgatus,6970,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,5230,54;55,FALSE,match,match,Bush_Allman_2004_b_TABLE1,Neocortex_grey_matter_Vol.mm3,aotus trivirgatus,5230,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,V1 (GM),Area_striata_grey_matter_Vol.mm3,630,54;55,FALSE,match,match,Bush_Allman_2004_b_TABLE1,Area_striata_grey_matter_Vol.mm3,aotus trivirgatus,630,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,103939.978939979,34,FALSE,match,match,deSousa2010_SupTable2_speciesmean,Total_brain_net_volume_Vol.mm3,ateles geoffroyi,104200,0.25,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,V1 (GM),Area_striata_grey_matter_Vol.mm3,3753,34,FALSE,match,match,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,ateles geoffroyi,3753,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,102700,43,FALSE,match,match,Bauernfeind_etal_2013_Table1,Total_brain_net_volume_Vol.mm3,ateles geoffroyi,102700,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Granular Insula,Granular_insular_cortex_Vol.mm3,200,43,FALSE,match,match,Bauernfeind_etal_2013_Table1_bilateral_est,Granular_insular_cortex_Vol.mm3,ateles geoffroyi,200,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Dysgranular Insula,Dysgranular_insular_cortex_Vol.mm3,362,43,FALSE,match,match,Bauernfeind_etal_2013_Table1_bilateral_est,Dysgranular_insular_cortex_Vol.mm3,ateles geoffroyi,362,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Agranular Insula,Agranular_insular_cortex_Vol.mm3,270,43,FALSE,match,match,Bauernfeind_etal_2013_Table1_bilateral_est,Agranular_insular_cortex_Vol.mm3,ateles geoffroyi,270,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Insula (GM),Insula_Vol.mm3,832,43,FALSE,match,match,Bauernfeind_etal_2013_Table1_bilateral_est,Insula_Vol.mm3,ateles geoffroyi,832,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,101033.517,53,FALSE,match,match,Stephan_etal_1970_Table3,Total_brain_net_volume_Vol.mm3,ateles geoffroyi,101034,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Medulla,Medulla_oblongata_Vol.mm3,1833.67,53,FALSE,match,match,Sherwood_etal_2005_Table1,Medulla_oblongata_Vol.mm3,ateles geoffroyi,1833.67,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Vmo,Trigeminal_motor_nucleus_Vol.mm3,3.6,53,FALSE,match,match,Sherwood_etal_2005_Table1_bilateral_est,Trigeminal_motor_nucleus_Vol.mm3,ateles geoffroyi,3.6,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,VII,Facial_motor_nucleus_Vol.mm3,3.3,53,FALSE,match,match,Sherwood_etal_2005_Table1_bilateral_est,Facial_motor_nucleus_Vol.mm3,ateles geoffroyi,3.3,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,XII,Hypoglossal_nucleus_Vol.mm3,3.56,53,FALSE,match,match,Sherwood_etal_2005_Table1_bilateral_est,Hypoglossal_nucleus_Vol.mm3,ateles geoffroyi,3.56,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,101034,24;51;52,TRUE,match,match,Stephan_etal_1970_Table3,Total_brain_net_volume_Vol.mm3,ateles geoffroyi,101034,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Cerebellum,Cerebellum_Vol.mm3,12438,24;51;52,TRUE,match,match,Stephan_etal_1970_Table3,Cerebellum_Vol.mm3,ateles geoffroyi,12438,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Mesencephalon,Mesencephalon_Vol.mm3,1482,24;51;52,TRUE,match,match,Stephan_etal_1970_Table3,Mesencephalon_Vol.mm3,ateles geoffroyi,1482,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Diencephalon,Diencephalon_Vol.mm3,5334,24;51;52,TRUE,match,match,Stephan_etal_1970_Table3,Diencephalon_Vol.mm3,ateles geoffroyi,5334,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Telencephalon,Telencephalon_Vol.mm3,79946,24;51;52,TRUE,match,match,Stephan_etal_1970_Table3,Telencephalon_Vol.mm3,ateles geoffroyi,79946,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,MOB,Bulbus_olfactorius_Vol.mm3,90.4,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Bulbus_olfactorius_Vol.mm3,ateles geoffroyi,90.4,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,2.19,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Bulbus_olfactorius_accessorius_Vol.mm3,ateles geoffroyi,2.19,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Piriform Lobe,Lobus_piriformis_Vol.mm3,1625,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Lobus_piriformis_Vol.mm3,ateles geoffroyi,1625,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Septum,Septum_Vol.mm3,324,24;51;52,TRUE,match,match,Stephan_etal_1970_Table6,Septum_Vol.mm3,ateles geoffroyi,324,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Striatum,Striatum_Vol.mm3,4950,24;51;52,TRUE,match,match,Stephan_etal_1970_Table6,Striatum_Vol.mm3,ateles geoffroyi,4950,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Schizocortex,Schizo_cortex_Vol.mm3,732,24;51;52,TRUE,match,match,Stephan_etal_1970_Table6,Schizo_cortex_Vol.mm3,ateles geoffroyi,732,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Hippocampus,Hippocampus_Vol.mm3,1366,24;51;52,TRUE,match,match,Stephan_etal_1970_Table6,Hippocampus_Vol.mm3,ateles geoffroyi,1366,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Neocortex (GM+WM),Neocortex_Vol.mm3,70856,24;51;52,TRUE,match,match,Stephan_etal_1970_Table6,Neocortex_Vol.mm3,ateles geoffroyi,70856,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Epithalamus,Epithalamus_Vol.mm3,30.5,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVIII,Epithalamus_Vol.mm3,ateles geoffroyi,30.5,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Thalamus,Thalamus_Vol.mm3,2930,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVIII,Thalamus_Vol.mm3,ateles geoffroyi,2930,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Hypothalamus,Hypothalamus_Vol.mm3,629,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVIII,Hypothalamus_Vol.mm3,ateles geoffroyi,629,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Subthalamus,Subthalamus_Vol.mm3,860,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVIII,Subthalamus_Vol.mm3,ateles geoffroyi,860,0,NA,NA,NA
Ateles_geoffroyi,ateles geoffroyi,Pallidum,Pallidum_Vol.mm3,807,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVIII,Pallidum_Vol.mm3,ateles geoffroyi,807,0,NA,NA,NA
