Class,Order,Taxon,T,BM,Tb min,TMRmin,TMRrel,TBDmax,TBDmean,IBE,LAT,References
MAMMALIA,Rodentia,Zapus princeps,HIB,0.0336,5.5,0.024,2,650,480,5,47.4,Cranford (1983) and French (1985)
MAMMALIA,Rodentia,Cheirogaleus crossleyi,HIB,0.5,9,—,—,168,111,10.2,−18.72,Blanco & Rahalinarivo (2010)
MAMMALIA,Rodentia,Cheirogaleus medius,HIB,0.25,9.3,0.044,8.3,1680,160,6,−19.03,"Dausmann, Ganzhorn & Heldmaier"
MAMMALIA,Rodentia,Galago moholi,DT,0.18,21.8,0.09,10,6.5,5,—,−13.46,"Nowack, Mzilikazi & Dausmann (2010)"
MAMMALIA,Rodentia,Microcebus griseorufus,HIB,0.05,6.5,—,—,1848,43.1,—,−22.94,"Dausmann et al. (2012) and Kobbe,"
MAMMALIA,Rodentia,Microcebus murinus,DT,0.06,7.8,0.16,19,17.6,9.3,—,−18.95,Perret (1998) and Schmid (2000)
MAMMALIA,Rodentia,Microcebus myoxinus,DT,0.033,6.8,0.09,4.5,19.2,4.6,—,−20.08,"Schmid, Ruf & Heldmaier (2000)"
MAMMALIA,Rodentia,Microcebus ravelobensis,DT,0.063,25,—,—,7,5,—,−19.32,Lovegrove et al. (2013)
MAMMALIA,Rodentia,Meles meles,HIB,13,28,—,—,—,—,—,51,Fowler & Racey (1988)
MAMMALIA,Rodentia,Mephitis mephitis,DT,2.88,26,—,—,20,7.8,—,43.15,"Hwang, Larivière & Messier (2007)"
MAMMALIA,Rodentia,Proteles cristata,DT,9,31,—,—,—,—,—,−5.74,Anderson (2004)
MAMMALIA,Rodentia,Taxidea taxus,DT,9,28,0.13,43,22,14,—,38.45,Harlow (1981)
MAMMALIA,Rodentia,Ursus americanus,HIB,80,29.4,0.042,19,—,—,—,47.57,Watts et al. (1981) and Tøien et al. (2011)
MAMMALIA,Rodentia,Ursus arctos,HIB,100,32.5,—,—,—,—,—,50.76,Hissa (1997)
MAMMALIA,Rodentia,Barbastella barbastellus,HIB,0.007,—,0.04,2,—,—,—,44.28,Pohl (1961)
MAMMALIA,Rodentia,Carollia perspicillata,DT,0.018,22,1,53,—,—,—,−4.14,Audet & Thomas (1997)
