"Species","Variable","Source","Value"
"Marmosops incanus","MesencephalonDiencephalonStriatum_Mass.g","DosSantos_etal_2017_TableS1","0.196"
"Marmosops incanus","PonsMedulla_Mass.g","DosSantos_etal_2017_TableS1","0.148"
"Marmosops incanus","OlfactoryBulb_Mass.g","DosSantos_etal_2017_TableS1","0.084"
"Marmosops incanus","WholeBrain_N.n","DosSantos_etal_2017_TableS1","112050000"
"Marmosops incanus","CerebralCortex_N.n","DosSantos_etal_2017_TableS1","20410000"
"Marmosops incanus","CerebralCortexGrey_N.n","DosSantos_etal_2017_TableS1",NA
"Marmosops incanus","Hippocampus_N.n","DosSantos_etal_2017_TableS1","2580000"
"Marmosops incanus","Cerebellum_N.n","DosSantos_etal_2017_TableS1","82400000"
"Marmosops incanus","RoB_N.n","DosSantos_etal_2017_TableS1","9240000"
"Marmosops incanus","DiencephalonStriatum_N.n","DosSantos_etal_2017_TableS1","3370000"
"Marmosops incanus","Mesencephalon_N.n","DosSantos_etal_2017_TableS1","3070000"
"Marmosops incanus","MesencephalonDiencephalonStriatum_N.n","DosSantos_etal_2017_TableS1","6440000"
"Marmosops incanus","PonsMedulla_N.n","DosSantos_etal_2017_TableS1","2800000"
