Species,Amygdala_current,Amygdala_current_source,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Body_weight_current,Body_weight_current_source,Code_number_Stephan1981,Species_Stephan1981,Number_of_individuals_1_to_18,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc.,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex,Number_of_individuals_19_to_26,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Number_of_individuals_27_to_28,Area_striata,Corpus_geniculatum_laterale,Number_of_individuals_29_to_34,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,Nucleus_amygdalae_basalis_pars_magnocellularis,Number_of_individuals_35_to_39,Complexus_vestibularis,Nucleus_vestibularis_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens,Number_of_individuals_40_to_44,Nucleus_septalis_triangularis,Corpus_subfornicale,Nucleus_habenularis_medialis,Corpus_pineal,Corpus_subcommissurale
AAAA_Anatomy_code,,,,,,,,,1N,1,2,3,4,5_(=6-10),6,7,8,9,10_(=11-18),11,12,13,14,15,16,17,18,19N,19,20,21,22_(=23+24),23,24,25,26,27N,27,28,29N,29,30_(=31+33),31,32,33,34,35N,35_(=36-39),36,37,38,39,40N,40,41,42,43,44
AAAA_Reference,ALL,ALL,ALL,ALL,ALL,ALL,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981
Hemiechinus auritus,71.8,Stephan_1987,,,250,Stephan_1981,23,Hemiechinus auritus,3,250,"1,900",82.5,41.2,"1,710",187,198,110,142,"1,073",175,1.35,279,28.4,81.1,68.7,130,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homo sapiens,5286.6,Stephan_1987,15247.5,deSousa_2010,70100,Bauernfeind_2013,280,Homo sapiens sapiens,1,"65,000","1,330,000","18,732","13,205","1,251,847","9,622","137,421","8,087","33,319","1,063,399",114,0,"9,032","2,610","28,689","6,142","10,287","1,006,525",1,133,"18,222","3,555","5,180","4,711",469,"7,008",823,1,22866,416,1,"6,016","3,015",592,0,"2,424",246,1,177,35.8,22.4,72.8,45.9,1,0.524,0.508,17,142,0.0203
Hylobates lar,666.2,Stephan_1987,4086.7,deSousa_2010,5700,Stephan_1981,271,Hylobates lar,1,"5,700","102,000",555,395,"97,505","2,251","12,078","1,459","5,716","76,001",43.9,0,"1,264",302,"4,784","1,136","2,673","65,800",1,31.2,"3,226",629,777,715,61.6,693,302,,,,,,,,,,,1,59.3,14.9,5.53,24.5,14.5,,,,,,
Hylobates muelleri,,,,,5710,Bauernfeind_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylomys suillus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indri indri,398.5,Stephan_1987,1648,deSousa_2010,6250,Stephan_1981,133,Indri indri,2,"6,250","38,300",330,354,"36,285","1,342","5,504",978,"2,911","25,551",168,2.32,838,205,"1,855",848,"1,520","20,114",,,,,,,,,,1,1738,99.6,,,,,,,,,,,,,,1,4.96,0.553,7.15,5.63,0.366
Lagothrix lagothricha,753.2,Stephan_1987,4856,deSousa_2010,5200,Stephan_1981,186,Lagothrix lagotricha,3,"5,200","101,000","1,090",897,"95,503","2,110","11,268","1,582","5,721","74,822",73.4,1.43,"1,395",266,"4,947",680,"1,586","65,873",2,31,"2,959",624,909,845,63.8,612,203,1,6288,149,,,,,,,,2,53,9.07,6.94,23,14.1,2,2.6,0.583,7.01,10.6,0.885
Leontopithecus rosalia,,,,,598,Bauernfeind_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepilemur ruficaudatus,133.9,Stephan_1987,326,deSousa_2010,915,Stephan_1981,117,Lepilemur ruficaudatus,3,915,"7,600",76.5,84.1,"7,175",449,"1,165",260,593,"4,708",113,2.72,302,56.7,366,194,392,"3,282",1,4.89,337,114,58.1,55.2,2.91,63,20.7,3,357,15.6,3,170,133,42.5,0.624,90.4,7.18,1,14.9,2.11,2.38,5.92,4.47,1,0.888,0.121,1.75,0.731,0.132
Lophocebus albigena,781.3,Stephan_1987,5420,deSousa_2010,7900,Stephan_1981,209,Cercocebus albigena,1,"7,900","104,000",742,"2,041","97,603","2,708","10,726","1,770","5,351","77,049",121,0,"1,639",294,"4,146",630,"1,485","68,733",1,27.9,"2,933",681,726,674,52.4,708,308,1,6831,182,,,,,,,,1,87.1,16.2,10,35.6,25.2,1,1.69,0.658,6,11.9,0.233
