key,Species,col,snap,csv_col,csv,match
lemurfulvus,Lemur fulvus,Complexus_vestibularis,31.1,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Nucleus_vestibularis_superior,6.22,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Nucleus_vestibularis_lateralis,5.9,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Nucleus_vestibularis_medialis,9.75,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Nucleus_vestibularis_descendens,9.27,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Nucleus_septalis_triangularis,1.4,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Corpus_subfornicale,0.527,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Nucleus_habenularis_medialis,4.02,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Corpus_pineal,1.85,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Corpus_subcommissurale,0.17400000000000002,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Body_weight,3000,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Brain_weight,31500,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Ventricles,299,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Meninges_hypophysis_nerves_etc.,393,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Total_brain_net_volume,29713,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Medulla_oblongata,1420,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Cerebellum,4286,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Mesencephalon,1018,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Diencephalon,2529,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Telencephalon,20461,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Bulbus_olfactorius,369,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Bulbus_olfactorius_accessorius,5.2700000000000005,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Lobus_piriformis,985,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Septum,206,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Striatum,1591,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Schizo_cortex,608,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Hippocampus,1404,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Neocortex,15293,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Area_striata,2112,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Corpus_geniculatum_laterale,68.90000000000002,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Nucleus_septalis_triangularis,3.51,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Corpus_subfornicale,0.741,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Nucleus_habenularis_medialis,5.35,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Corpus_pineal,4.46,NA,NA,FALSE
lemurvariegatus,Lemur variegatus,Corpus_subcommissurale,0.197,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Body_weight,1285,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Brain_weight,10490,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Ventricles,172,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Meninges_hypophysis_nerves_etc.,156,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Total_brain_net_volume,9798,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Medulla_oblongata,553,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Cerebellum,1489,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Mesencephalon,343,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Diencephalon,862,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Telencephalon,6550,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Bulbus_olfactorius,89.2,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Bulbus_olfactorius_accessorius,3.01,NA,NA,FALSE
avahillaniger,Avahi l. laniger,Lobus_piriformis,284,NA,NA,FALSE
