Species,Body_Mass.g
Cheirogaleus major,450.0
Cheirogaleus medius,177.0
Cheirogaleus minusculus,285.39
Cheirogaleus ravus,285.39
Cheirogaleus sibreei,352.75
Cheiromeles parvidens,163.5
Cheiromeles torquatus,166.0
Chelemys delfini,61.02
Chelemys macronyx,73.3
Chelemys megalonyx,50.8
Chibchanomys orcesi,50.0
Chibchanomys trichotis,50.0
Chilomys instans,19.0
Chilonatalus micropus,2.5
Chilonatalus tumidifrons,3.62
Chimarrogale hantu,55.0
Chimarrogale himalayica,34.75
Chimarrogale phaeura,31.0
Chimarrogale platycephalus,36.32
Chimarrogale styani,25.8
Chimarrogale sumatrana,27.89
Chimp I,54200.0
Chinchilla chinchilla,499.99
Chinchilla lanigera,394.5
Chinchillula sahamae,169.75
Chionomys gud,93.5
Chionomys nivalis,54.0
Chionomys roberti,93.5
Chiroderma doriae,19.9
Chiroderma improvisum,35.0
Chiroderma salvini,24.91
Chiroderma trinitatum,13.69
Chiroderma villosum,23.96
Chiromyscus chiropus,77.8
Chironax melanocephalus,17.15
Chironectes minimus,855.0
Chiropodomys calamianensis,40.5
Chiropodomys gliroides,23.4
Chiropodomys karlkoopmani,29.1
Chiropodomys major,42.0
Chiropodomys muroides,16.4
Chiropodomys pusillus,28.9
Chiropotes albinasus,2873.255
Chiropotes chiropotes,2748.238
Chiropotes israelita,2499.104
Chiropotes satanas,3011.452
Chiropotes utahickae,2949.58
Chiruromys forbesi,105.15
Chiruromys lamia,47.2
Chiruromys vates,45.55
Chlamyphorus truncatus,44.3
Chlorocebus aethiops,3620.0
Chlorocebus cynosuros,3956.5
Chlorocebus djamdjamensis,6000.0
Chlorocebus pygerythrus,4267.931
Chlorocebus sabaeus,4329.2
Chlorocebus tantalus,4993.0
Chlorotalpa duthieae,49.7
Chlorotalpa sclateri,41.0
Chodsigoa caovansunga,5.49
Chodsigoa hypsibia,5.49
Chodsigoa lamula,5.49
Chodsigoa parca,5.49
Chodsigoa parva,5.49
Chodsigoa salenskii,5.49
Chodsigoa smithii,5.49
Chodsigoa sodalis,5.49
Choeroniscus godmani,7.0
Choeroniscus minor,9.165
Choeroniscus periosus,11.57
Choeronycteris mexicana,16.6
Choloepus didactylus,5781.625
Choloepus hoffmanni,4899.005
Chrotogale owstoni,3250.0
Chrotomys gonzalesi,140.2
Chrotomys mindorensis,151.98
Chrotomys silaceus,85.13
Chrotomys whiteheadi,140.67
Chrotopterus auritus,82.43
Chrysochloris asiatica,49.0
Chrysochloris stuhlmanni,39.8
Chrysochloris visagiei,30.0
Chrysocyon brachyurus,22833.28
Chrysospalax trevelyani,426.5
Chrysospalax villosus,119.88
Cistugo lesueuri,7.26
Cistugo seabrae,8.35
Civettictis civetta,11624.985
Cloeotis percivali,4.05
Clyomys bishopi,30.0
Clyomys laticeps,201.0
Coccymys albidens,40.4
Coccymys ruemmleri,29.7
Coelops frithii,7.52
Coelops robinsoni,6.5
Coendou bicolor,4050.05
Coendou nycthemera,2999.98
Coendou prehensilis,4399.985
Coendou rothschildi,2000.0
Coleura afra,11.085
Coleura seychellensis,10.57
Colobus angolensis,9079.0
Colobus angolensis palliatus,8959.5
Colobus guereza,7503.0
Colobus polykomos,8617.561
Colobus polykomos group,7848.1
Colobus satanas,8910.0
Colobus vellerosus,7648.036
Colomys goslingi,62.5
Columba domestica,330.5
Condylura cristata,58.367
Conepatus chinga,1752.26
Conepatus humboldtii,811.0
Conepatus leuconotus,2755.01
Conepatus semistriatus,1200.0
Congosorex polli,10.3
Congosorex verheyeni,9.05
Conilurus albipes,200.0
Conilurus penicillatus,153.5
Connochaetes gnou,179998.96
Connochaetes taurinus,196949.547
Cormura brevirostris,8.69
Corynorhinus mexicanus,9.71
Corynorhinus rafinesquii,9.15
Corynorhinus townsendii,10.3
Coryphomys buehleri,71.33
Craseonycteris thonglongyai,2.355
Crateromys australis,445.0
Crateromys heaneyi,572.22
Crateromys paulus,401.0
Crateromys schadenbergi,1050.0
Cratogeomys castanops,266.83
Cratogeomys fumosus,393.5
Cratogeomys goldmani,71.51
Cratogeomys gymnurus,599.99
Cratogeomys merriami,419.99
Cratogeomys neglectus,302.48
Cratogeomys tylorhinus,403.42
Cratogeomys zinseri,150.0
Cremnomys cutchicus,54.9
Cremnomys elvira,77.1
Cricetomys ansorgei,1285.41
Cricetomys emini,1299.99
Cricetomys gambianus,1210.5
Cricetomys kivuensis,1285.41
Cricetulus alticola,37.67
Cricetulus barabensis,26.37
Cricetulus kamensis,37.65
Cricetulus longicaudatus,22.1
Cricetulus migratorius,38.5
Cricetulus sokolovi,37.67
Cricetus auratus,500.0
Cricetus cricetus,403.5
Cro-Magnon,67550.0
Crocidura aleksandrisi,10.35
Crocidura allex,10.35
Crocidura andamanensis,10.35
Crocidura ansellorum,10.35
Crocidura arabica,5.86
Crocidura arispa,10.42
Crocidura armenica,10.35
Crocidura attenuata,14.27
Crocidura attila,10.35
Crocidura baileyi,10.35
Crocidura baluensis,16.9
Crocidura batesi,15.5
Crocidura beatus,10.55
Crocidura beccarii,10.35
Crocidura bottegi,3.5
Crocidura bottegoides,3.07
Crocidura brunnea,10.42
Crocidura buettikoferi,10.35
Crocidura caliginea,10.35
Crocidura canariensis,7.5
