Species,Structure,Measure,published,unpublished,pct_diff,flag
Macropus parma,"Cerebral Cx, total - hp",I/mg,NA,4664.266568695251,NA,NA
Macropus parma,"Cerebral Cx, total - hp",N,NA,127146723,NA,NA
Macropus parma,"Cerebral Cx, total - hp",N/mg,NA,14654.993430152144,NA,NA
Macropus parma,"Cerebral Cx, total - hp",Structure mass (g),NA,8.676,NA,NA
Macropus parma,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,869532500,NA,NA
Macropus parma,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,48259053.75,NA,NA
Macropus parma,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0555,NA,NA
Macropus parma,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.35582588346069766,NA,NA
Macropus parma,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,4867.768181359694,NA,NA
Macropus parma,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,135625473,NA,NA
Macropus parma,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,13680.196994149688,NA,NA
Macropus parma,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,9.914,NA,NA
Macropus parma,Hippocampus,C,NA,118750000,NA,NA
Macropus parma,Hippocampus,I,NA,7801875.000000001,NA,NA
Macropus parma,Hippocampus,I/C,NA,0.06570000000000001,NA,NA
Macropus parma,Hippocampus,I/N,NA,0.920168067226891,NA,NA
Macropus parma,Hippocampus,I/mg,NA,6301.999192245558,NA,NA
Macropus parma,Hippocampus,N,NA,8478749.999999998,NA,NA
Macropus parma,Hippocampus,N/mg,NA,6848.747980613892,NA,NA
Macropus parma,Hippocampus,Structure mass (g),NA,1.238,NA,NA
Macropus parma,Pons + Medulla,C,NA,78500000,NA,NA
Macropus parma,Pons + Medulla,I,NA,4553000,NA,NA
Macropus parma,Pons + Medulla,I/C,NA,0.057999999999999996,NA,NA
Macropus parma,Pons + Medulla,I/N,NA,0.9539473684210527,NA,NA
Macropus parma,Pons + Medulla,I/mg,NA,3918.2444061962133,NA,NA
Macropus parma,Pons + Medulla,N,NA,4772800,NA,NA
Macropus parma,Pons + Medulla,N/mg,NA,4107.401032702238,NA,NA
Macropus parma,Pons + Medulla,Structure mass (g),NA,1.162,NA,NA
Macropus parma,Rest of brain,C,NA,352250000,NA,NA
Macropus parma,Rest of brain,I,NA,20254375,NA,NA
Macropus parma,Rest of brain,I/C,NA,0.0575,NA,NA
Macropus parma,Rest of brain,I/N,NA,1.1627047568749802,NA,NA
Macropus parma,Rest of brain,I/mg,NA,4928.071776155718,NA,NA
Macropus parma,Rest of brain,N,NA,17420050,NA,NA
Macropus parma,Rest of brain,N/mg,NA,4238.45498783455,NA,NA
Macropus parma,Rest of brain,Structure mass (g),NA,4.11,NA,NA
Macropus parma,Whole brain,C,NA,1943470000,NA,NA
Macropus parma,Whole brain,I,NA,73851860,NA,NA
Macropus parma,Whole brain,I/C,NA,0.038,NA,NA
Macropus parma,Whole brain,I/N,NA,0.1038519355235867,NA,NA
Macropus parma,Whole brain,I/mg,NA,4699.749268168513,NA,NA
Macropus parma,Whole brain,N,NA,711126467,NA,NA
Macropus parma,Whole brain,N/mg,NA,45254.32525136821,NA,NA
Macropus parma,Whole brain,Structure mass (g),NA,15.714,NA,NA
Macropus rufogriseus,Cerebellum,C,NA,1479625000,NA,NA
Macropus rufogriseus,Cerebellum,I,NA,13612550,NA,NA
Macropus rufogriseus,Cerebellum,I/C,NA,0.0092,NA,NA
Macropus rufogriseus,Cerebellum,I/N,NA,0.013312111127188539,NA,NA
Macropus rufogriseus,Cerebellum,I/mg,NA,3810.904255319149,NA,NA
Macropus rufogriseus,Cerebellum,N,NA,1022568837.5000001,NA,NA
Macropus rufogriseus,Cerebellum,N/mg,NA,286273.4707446809,NA,NA
Macropus rufogriseus,Cerebellum,Structure mass (g),NA,3.572,NA,NA
Macropus rufogriseus,"Cerebral Cx, total - hp",C,NA,1259953750,NA,NA
Macropus rufogriseus,"Cerebral Cx, total - hp",I,NA,84038915.125,NA,NA
Macropus rufogriseus,"Cerebral Cx, total - hp",I/C,NA,0.0667,NA,NA
Macropus rufogriseus,"Cerebral Cx, total - hp",I/N,NA,0.34160831680247233,NA,NA
Macropus rufogriseus,"Cerebral Cx, total - hp",I/mg,NA,5874.382435691318,NA,NA
Macropus rufogriseus,"Cerebral Cx, total - hp",N,NA,246009570,NA,NA
Macropus rufogriseus,"Cerebral Cx, total - hp",N/mg,NA,17196.251223262967,NA,NA
Macropus rufogriseus,"Cerebral Cx, total - hp",Structure mass (g),NA,14.306,NA,NA
Macropus rufogriseus,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,1423953750,NA,NA
Macropus rufogriseus,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,98537599.5,NA,NA
Macropus rufogriseus,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0692,NA,NA
Macropus rufogriseus,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.38373674963160725,NA,NA
Macropus rufogriseus,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,6119.587597813937,NA,NA
Macropus rufogriseus,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,256784370,NA,NA
Macropus rufogriseus,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,15947.358713203328,NA,NA
Macropus rufogriseus,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,16.102,NA,NA
Macropus rufogriseus,Hippocampus,C,NA,164000000,NA,NA
Macropus rufogriseus,Hippocampus,I,NA,14514000,NA,NA
Macropus rufogriseus,Hippocampus,I/C,NA,0.0885,NA,NA
Macropus rufogriseus,Hippocampus,I/N,NA,1.3470319634703194,NA,NA
Macropus rufogriseus,Hippocampus,I/mg,NA,8081.291759465479,NA,NA
Macropus rufogriseus,Hippocampus,N,NA,10774800.000000002,NA,NA
Macropus rufogriseus,Hippocampus,N/mg,NA,5999.33184855234,NA,NA
Macropus rufogriseus,Hippocampus,Structure mass (g),NA,1.796,NA,NA
Macropus rufogriseus,Pons + Medulla,C,NA,130812500,NA,NA
Macropus rufogriseus,Pons + Medulla,I,NA,10530406.25,NA,NA
Macropus rufogriseus,Pons + Medulla,I/C,NA,0.0805,NA,NA
Macropus rufogriseus,Pons + Medulla,I/N,NA,1.4197530864197532,NA,NA
Macropus rufogriseus,Pons + Medulla,I/mg,NA,7575.831834532374,NA,NA
Macropus rufogriseus,Pons + Medulla,N,NA,7417068.75,NA,NA
Macropus rufogriseus,Pons + Medulla,N/mg,NA,5336.020683453237,NA,NA
Macropus rufogriseus,Pons + Medulla,Structure mass (g),NA,1.39,NA,NA
Macropus rufogriseus,Rest of brain,C,NA,571812500,NA,NA
Macropus rufogriseus,Rest of brain,I,NA,36538818.75,NA,NA
Macropus rufogriseus,Rest of brain,I/C,NA,0.0639,NA,NA
Macropus rufogriseus,Rest of brain,I/N,NA,0.8602111613581596,NA,NA
Macropus rufogriseus,Rest of brain,I/mg,NA,4991.641905737705,NA,NA
Macropus rufogriseus,Rest of brain,N,NA,42476569,NA,NA
Macropus rufogriseus,Rest of brain,N/mg,NA,5802.809972677595,NA,NA
Macropus rufogriseus,Rest of brain,Structure mass (g),NA,7.32,NA,NA
Macropus rufogriseus,Whole brain,C,NA,3475391250,NA,NA
Macropus rufogriseus,Whole brain,I,NA,148746745.50000003,NA,NA
Macropus rufogriseus,Whole brain,I/C,NA,0.042800000000000005,NA,NA
Macropus rufogriseus,Whole brain,I/N,NA,0.11253093861873262,NA,NA
Macropus rufogriseus,Whole brain,I/mg,NA,5510.36324738831,NA,NA
Macropus rufogriseus,Whole brain,N,NA,1321829777,NA,NA
Macropus rufogriseus,Whole brain,N/mg,NA,48967.5400829814,NA,NA
Macropus rufogriseus,Whole brain,Structure mass (g),NA,26.994,NA,NA
Macropus rufus,Cerebellum,C,NA,1976624000,NA,NA
Macropus rufus,Cerebellum,I,NA,31230659.200000003,NA,NA
Macropus rufus,Cerebellum,I/C,NA,0.0158,NA,NA
Macropus rufus,Cerebellum,I/N,NA,0.020373952288845906,NA,NA
Macropus rufus,Cerebellum,I/mg,NA,6525.4198077726705,NA,NA
Macropus rufus,Cerebellum,N,NA,1532871912,NA,NA
Macropus rufus,Cerebellum,N/mg,NA,320282.4722106143,NA,NA
Macropus rufus,Cerebellum,Structure mass (g),NA,4.786,NA,NA
Macropus rufus,Pons + Medulla,C,NA,227500000,NA,NA
Macropus rufus,Pons + Medulla,I,NA,17881500,NA,NA
Macropus rufus,Pons + Medulla,I/C,NA,0.0786,NA,NA
Macropus rufus,Pons + Medulla,I/N,NA,0.9247058823529412,NA,NA
Macropus rufus,Pons + Medulla,I/mg,NA,6195.945945945946,NA,NA
Macropus rufus,Pons + Medulla,N,NA,19337500,NA,NA
Macropus rufus,Pons + Medulla,N/mg,NA,6700.45045045045,NA,NA
Macropus rufus,Pons + Medulla,Structure mass (g),NA,2.886,NA,NA
Marmosops sp.,Cerebellum,C,NA,106500000,NA,NA
Marmosops sp.,Cerebellum,I,NA,788100,NA,NA
Marmosops sp.,Cerebellum,I/C,NA,0.0074,NA,NA
Marmosops sp.,Cerebellum,I/N,NA,0.00956443065787773,NA,NA
Marmosops sp.,Cerebellum,I/mg,NA,4987.974683544304,NA,NA
Marmosops sp.,Cerebellum,N,NA,82399050,NA,NA
Marmosops sp.,Cerebellum,N/mg,NA,521512.9746835443,NA,NA
Marmosops sp.,Cerebellum,Structure mass (g),NA,0.158,NA,NA
Marmosops sp.,"Cerebral Cx, total - hp",C,NA,51700000,NA,NA
Marmosops sp.,"Cerebral Cx, total - hp",I,NA,2553980.0000000005,NA,NA
Marmosops sp.,"Cerebral Cx, total - hp",I/C,NA,0.049400000000000006,NA,NA
Marmosops sp.,"Cerebral Cx, total - hp",I/N,NA,0.14322992171643956,NA,NA
Marmosops sp.,"Cerebral Cx, total - hp",I/mg,NA,7339.022988505749,NA,NA
Marmosops sp.,"Cerebral Cx, total - hp",N,NA,17831330.000000004,NA,NA
Marmosops sp.,"Cerebral Cx, total - hp",N/mg,NA,51239.45402298852,NA,NA
Marmosops sp.,"Cerebral Cx, total - hp",Structure mass (g),NA,0.348,NA,NA
Marmosops sp.,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,57975000,NA,NA
Marmosops sp.,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,2811787.4999999995,NA,NA
Marmosops sp.,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.048499999999999995,NA,NA
Marmosops sp.,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.1377416153129697,NA,NA
Marmosops sp.,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,6891.636029411764,NA,NA
Marmosops sp.,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,20413493,NA,NA
Marmosops sp.,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,50033.07107843137,NA,NA
Marmosops sp.,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,0.408,NA,NA
Marmosops sp.,Hippocampus,C,NA,6275000,NA,NA
Marmosops sp.,Hippocampus,I,NA,258530,NA,NA
Marmosops sp.,Hippocampus,I/C,NA,0.0412,NA,NA
Marmosops sp.,Hippocampus,I/N,NA,0.10012150668286755,NA,NA
Marmosops sp.,Hippocampus,I/mg,NA,4308.833333333333,NA,NA
Marmosops sp.,Hippocampus,N,NA,2582162.5,NA,NA
Marmosops sp.,Hippocampus,N/mg,NA,43036.041666666664,NA,NA
Marmosops sp.,Hippocampus,Structure mass (g),NA,0.06,NA,NA
Marmosops sp.,Pons + Medulla,C,NA,13200000,NA,NA
Marmosops sp.,Pons + Medulla,I,NA,873839.9999999999,NA,NA
Marmosops sp.,Pons + Medulla,I/C,NA,0.0662,NA,NA
Marmosops sp.,Pons + Medulla,I/N,NA,0.3119698397737983,NA,NA
Marmosops sp.,Pons + Medulla,I/mg,NA,5904.324324324323,NA,NA
Marmosops sp.,Pons + Medulla,N,NA,2801040,NA,NA
Marmosops sp.,Pons + Medulla,N/mg,NA,18925.945945945947,NA,NA
Marmosops sp.,Pons + Medulla,Structure mass (g),NA,0.148,NA,NA
Marmosops sp.,Rest of brain,C,NA,35825000,NA,NA
Marmosops sp.,Rest of brain,I,NA,2332207.4999999995,NA,NA
Marmosops sp.,Rest of brain,I/C,NA,0.06509999999999999,NA,NA
Marmosops sp.,Rest of brain,I/N,NA,0.25243646624720334,NA,NA
Marmosops sp.,Rest of brain,I/mg,NA,6779.672965116278,NA,NA
Marmosops sp.,Rest of brain,N,NA,9238790,NA,NA
Marmosops sp.,Rest of brain,N/mg,NA,26856.947674418603,NA,NA
Marmosops sp.,Rest of brain,Structure mass (g),NA,0.344,NA,NA
Marmosops sp.,Whole brain,C,NA,200300000,NA,NA
Marmosops sp.,Whole brain,I,NA,5928880,NA,NA
Marmosops sp.,Whole brain,I/C,NA,0.0296,NA,NA
Marmosops sp.,Whole brain,I/N,NA,0.0529121773143029,NA,NA
Marmosops sp.,Whole brain,I/mg,NA,6515.252747252747,NA,NA
Marmosops sp.,Whole brain,N,NA,112051333,NA,NA
Marmosops sp.,Whole brain,N/mg,NA,123133.33296703297,NA,NA
Marmosops sp.,Whole brain,Structure mass (g),NA,0.91,NA,NA
Metachirus nudicaudatus,Cerebellum,C,NA,166312500,NA,NA
Metachirus nudicaudatus,Cerebellum,I,NA,1729650,NA,NA
Metachirus nudicaudatus,Cerebellum,I/C,NA,0.0104,NA,NA
Metachirus nudicaudatus,Cerebellum,I/N,NA,0.012895226286422814,NA,NA
Metachirus nudicaudatus,Cerebellum,I/mg,NA,5057.456140350877,NA,NA
Metachirus nudicaudatus,Cerebellum,N,NA,134131031.25000001,NA,NA
Metachirus nudicaudatus,Cerebellum,N/mg,NA,392195.9978070176,NA,NA
Metachirus nudicaudatus,Cerebellum,Structure mass (g),NA,0.342,NA,NA
Metachirus nudicaudatus,"Cerebral Cx, total - hp",C,NA,72625000,NA,NA
Metachirus nudicaudatus,"Cerebral Cx, total - hp",I,NA,2222325,NA,NA
Metachirus nudicaudatus,"Cerebral Cx, total - hp",I/C,NA,0.030600000000000002,NA,NA
Metachirus nudicaudatus,"Cerebral Cx, total - hp",I/N,NA,0.1389014979573309,NA,NA
Metachirus nudicaudatus,"Cerebral Cx, total - hp",I/mg,NA,2620.666273584906,NA,NA
Metachirus nudicaudatus,"Cerebral Cx, total - hp",N,NA,15999287.500000002,NA,NA
Metachirus nudicaudatus,"Cerebral Cx, total - hp",N/mg,NA,18867.084316037737,NA,NA
Metachirus nudicaudatus,"Cerebral Cx, total - hp",Structure mass (g),NA,0.848,NA,NA
Metachirus nudicaudatus,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,84775000,NA,NA
Metachirus nudicaudatus,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,2653457.5,NA,NA
Metachirus nudicaudatus,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0313,NA,NA
Metachirus nudicaudatus,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.1314175873474162,NA,NA
Metachirus nudicaudatus,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,2674.8563508064517,NA,NA
Metachirus nudicaudatus,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,20191038,NA,NA
Metachirus nudicaudatus,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,20353.8689516129,NA,NA
Metachirus nudicaudatus,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,0.992,NA,NA
Metachirus nudicaudatus,Hippocampus,C,NA,12150000,NA,NA
Metachirus nudicaudatus,Hippocampus,I,NA,428895,NA,NA
Metachirus nudicaudatus,Hippocampus,I/C,NA,0.0353,NA,NA
Metachirus nudicaudatus,Hippocampus,I/N,NA,0.10231884057971016,NA,NA
Metachirus nudicaudatus,Hippocampus,I/mg,NA,2978.4375,NA,NA
Metachirus nudicaudatus,Hippocampus,N,NA,4191749.9999999995,NA,NA
Metachirus nudicaudatus,Hippocampus,N/mg,NA,29109.374999999996,NA,NA
Metachirus nudicaudatus,Hippocampus,Structure mass (g),NA,0.144,NA,NA
Metachirus nudicaudatus,Pons + Medulla,C,NA,25025000,NA,NA
Metachirus nudicaudatus,Pons + Medulla,I,NA,1486485,NA,NA
Metachirus nudicaudatus,Pons + Medulla,I/C,NA,0.0594,NA,NA
Metachirus nudicaudatus,Pons + Medulla,I/N,NA,0.3952095808383234,NA,NA
Metachirus nudicaudatus,Pons + Medulla,I/mg,NA,5271.223404255319,NA,NA
Metachirus nudicaudatus,Pons + Medulla,N,NA,3761257.4999999995,NA,NA
Metachirus nudicaudatus,Pons + Medulla,N/mg,NA,13337.792553191488,NA,NA
Metachirus nudicaudatus,Pons + Medulla,Structure mass (g),NA,0.282,NA,NA
Metachirus nudicaudatus,Rest of brain,C,NA,66256250,NA,NA
Metachirus nudicaudatus,Rest of brain,I,NA,3670596.25,NA,NA
Metachirus nudicaudatus,Rest of brain,I/C,NA,0.0554,NA,NA
Metachirus nudicaudatus,Rest of brain,I/N,NA,0.3256286828543185,NA,NA
Metachirus nudicaudatus,Rest of brain,I/mg,NA,5445.988501483679,NA,NA
Metachirus nudicaudatus,Rest of brain,N,NA,11272337,NA,NA
Metachirus nudicaudatus,Rest of brain,N/mg,NA,16724.535608308604,NA,NA
Metachirus nudicaudatus,Rest of brain,Structure mass (g),NA,0.674,NA,NA
Metachirus nudicaudatus,Whole brain,C,NA,317343750,NA,NA
Metachirus nudicaudatus,Whole brain,I,NA,8060531.25,NA,NA
Metachirus nudicaudatus,Whole brain,I/C,NA,0.0254,NA,NA
Metachirus nudicaudatus,Whole brain,I/N,NA,0.04867634991244813,NA,NA
Metachirus nudicaudatus,Whole brain,I/mg,NA,4014.2087898406376,NA,NA
Metachirus nudicaudatus,Whole brain,N,NA,165594406,NA,NA
Metachirus nudicaudatus,Whole brain,N/mg,NA,82467.33366533865,NA,NA
Metachirus nudicaudatus,Whole brain,Structure mass (g),NA,2.008,NA,NA
Mungos mungo,Cerebellum,C,NA,470000000,NA,NA
Mungos mungo,Cerebellum,I,NA,8695000.000000002,NA,NA
Mungos mungo,Cerebellum,I/C,NA,0.018500000000000003,NA,NA
Mungos mungo,Cerebellum,I/N,NA,0.027538571387723948,NA,NA
Mungos mungo,Cerebellum,I/mg,NA,5616.925064599484,NA,NA
Mungos mungo,Cerebellum,N,NA,315738964,NA,NA
Mungos mungo,Cerebellum,N/mg,NA,203965.73901808786,NA,NA
Mungos mungo,Cerebellum,Structure mass (g),NA,1.548,NA,NA
Mungos mungo,Hippocampus,C,NA,25625000,NA,NA
Mungos mungo,Hippocampus,I,NA,863562.5,NA,NA
Mungos mungo,Hippocampus,I/C,NA,0.0337,NA,NA
Mungos mungo,Hippocampus,I/N,NA,0.32413284318435687,NA,NA
Mungos mungo,Hippocampus,I/mg,NA,2017.6693925233644,NA,NA
Mungos mungo,Hippocampus,N,NA,2664224,NA,NA
Mungos mungo,Hippocampus,N/mg,NA,6224.822429906542,NA,NA
Mungos mungo,Hippocampus,Structure mass (g),NA,0.428,NA,NA
Mungos mungo,Pons + Medulla,C,NA,49100000,NA,NA
Mungos mungo,Pons + Medulla,I,NA,2234050,NA,NA
Mungos mungo,Pons + Medulla,I/C,NA,0.0455,NA,NA
Mungos mungo,Pons + Medulla,I/N,NA,0.43353767753979666,NA,NA
Mungos mungo,Pons + Medulla,I/mg,NA,2012.6576576576576,NA,NA
Mungos mungo,Pons + Medulla,N,NA,5153070,NA,NA
Mungos mungo,Pons + Medulla,N/mg,NA,4642.405405405405,NA,NA
Mungos mungo,Pons + Medulla,Structure mass (g),NA,1.11,NA,NA
Mungos mungo,Rest of brain,C,NA,174060000,NA,NA
Mungos mungo,Rest of brain,I,NA,6614280,NA,NA
Mungos mungo,Rest of brain,I/C,NA,0.038,NA,NA
Mungos mungo,Rest of brain,I/N,NA,0.2937810246989472,NA,NA
Mungos mungo,Rest of brain,I/mg,NA,1914.962362478286,NA,NA
Mungos mungo,Rest of brain,N,NA,22514320,NA,NA
Mungos mungo,Rest of brain,N/mg,NA,6518.332368268674,NA,NA
Mungos mungo,Rest of brain,Structure mass (g),NA,3.454,NA,NA
Mustela putorius,Cerebellum,C,NA,430860000,NA,NA
Mustela putorius,Cerebellum,I,NA,8842044,NA,NA
Mustela putorius,Cerebellum,I/C,NA,0.0202,NA,NA
Mustela putorius,Cerebellum,I/N,NA,0.024750115901687315,NA,NA
Mustela putorius,Cerebellum,I/mg,NA,9479.681290854887,NA,NA
Mustela putorius,Cerebellum,N,NA,351264942.6666667,NA,NA
Mustela putorius,Cerebellum,N/mg,NA,379941.87702886533,NA,NA
Mustela putorius,Cerebellum,Structure mass (g),NA,0.92,NA,NA
Mustela putorius,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,303008200,NA,NA
Mustela putorius,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,20393729.153333332,NA,NA
Mustela putorius,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.067,NA,NA
Mustela putorius,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.5254140554826677,NA,NA
Mustela putorius,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,6516.093398945313,NA,NA
Mustela putorius,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,38952070.666666664,NA,NA
Mustela putorius,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,12476.487736638792,NA,NA
Mustela putorius,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,3.123,NA,NA
Mustela putorius,"Cerebral cortex, total -hp",C,NA,270508200,NA,NA
Mustela putorius,"Cerebral cortex, total -hp",I,NA,17537875.52,NA,NA
Mustela putorius,"Cerebral cortex, total -hp",I/C,NA,0.06403333333333333,NA,NA
Mustela putorius,"Cerebral cortex, total -hp",I/N,NA,0.48868413242717024,NA,NA
Mustela putorius,"Cerebral cortex, total -hp",I/mg,NA,6214.1010048772905,NA,NA
Mustela putorius,"Cerebral cortex, total -hp",N,NA,35760237.333333336,NA,NA
Mustela putorius,"Cerebral cortex, total -hp",N/mg,NA,12816.322626402887,NA,NA
Mustela putorius,"Cerebral cortex, total -hp",Structure mass (g),NA,2.794,NA,NA
Mustela putorius,Hippocampus,C,NA,32500000,NA,NA
Mustela putorius,Hippocampus,I,NA,2856314,NA,NA
Mustela putorius,Hippocampus,I/C,NA,0.08883333333333333,NA,NA
Mustela putorius,Hippocampus,I/N,NA,0.9517677287351644,NA,NA
Mustela putorius,Hippocampus,I/mg,NA,8849.27104664499,NA,NA
Mustela putorius,Hippocampus,N,NA,3191833.3333333335,NA,NA
Mustela putorius,Hippocampus,N/mg,NA,9457.605250952292,NA,NA
Mustela putorius,Hippocampus,Structure mass (g),NA,0.329,NA,NA
Mustela putorius,Pons + Medulla,C,NA,50700000,NA,NA
Mustela putorius,Pons + Medulla,I,NA,5049720,NA,NA
Mustela putorius,Pons + Medulla,I/C,NA,0.09960000000000001,NA,NA
Mustela putorius,Pons + Medulla,I/N,NA,0.708266616996424,NA,NA
Mustela putorius,Pons + Medulla,I/mg,NA,10433.305785123966,NA,NA
Mustela putorius,Pons + Medulla,N,NA,7129688,NA,NA
Mustela putorius,Pons + Medulla,N/mg,NA,14730.760330578512,NA,NA
Mustela putorius,Pons + Medulla,Structure mass (g),NA,0.484,NA,NA
Mustela putorius,Rest of brain,C,NA,143542500,NA,NA
Mustela putorius,Rest of brain,I,NA,12848584.75,NA,NA
Mustela putorius,Rest of brain,I/C,NA,0.08933333333333333,NA,NA
Mustela putorius,Rest of brain,I/N,NA,0.94132479245144,NA,NA
Mustela putorius,Rest of brain,I/mg,NA,9226.565586347077,NA,NA
Mustela putorius,Rest of brain,N,NA,14210998,NA,NA
Mustela putorius,Rest of brain,N/mg,NA,10598.475400627845,NA,NA
Mustela putorius,Rest of brain,Structure mass (g),NA,1.386,NA,NA
Mustela putorius,Whole brain,C,NA,877410700,NA,NA
Mustela putorius,Whole brain,I,NA,42104963.82666667,NA,NA
Mustela putorius,Whole brain,I/C,NA,0.04816666666666667,NA,NA
Mustela putorius,Whole brain,I/N,NA,0.10552788824770437,NA,NA
Mustela putorius,Whole brain,I/mg,NA,7765.45700474072,NA,NA
Mustela putorius,Whole brain,N,NA,404428011.3333333,NA,NA
Mustela putorius,Whole brain,N/mg,NA,74265.6894832971,NA,NA
Mustela putorius,Whole brain,Structure mass (g),NA,5.429,NA,NA
Otolemur garnettii,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,466686000,NA,NA
Otolemur garnettii,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,38548263.599999994,NA,NA
Otolemur garnettii,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.08259999999999999,NA,NA
Otolemur garnettii,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.20083859909751725,NA,NA
Otolemur garnettii,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,8293.51626506024,NA,NA
Otolemur garnettii,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,191936529,NA,NA
Otolemur garnettii,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,41294.43395008606,NA,NA
Otolemur garnettii,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,4.648,NA,NA
Panthera leo,Cerebellum,C,NA,7093750000,NA,NA
Panthera leo,Cerebellum,I,NA,124140625.00000001,NA,NA
Panthera leo,Cerebellum,I/C,NA,0.0175,NA,NA
Panthera leo,Cerebellum,I/N,NA,0.03065389128875856,NA,NA
Panthera leo,Cerebellum,I/mg,NA,4989.173900811832,NA,NA
Panthera leo,Cerebellum,N,NA,4049750938,NA,NA
Panthera leo,Cerebellum,N/mg,NA,162758.2564906358,NA,NA
Panthera leo,Cerebellum,Structure mass (g),NA,24.882,NA,NA
Panthera leo,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,7806210250,NA,NA
Panthera leo,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,795452824.4749999,NA,NA
Panthera leo,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.10189999999999999,NA,NA
Panthera leo,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,1.4589075307443662,NA,NA
Panthera leo,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,5685.785939264628,NA,NA
Panthera leo,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,545238685.6,NA,NA
Panthera leo,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,3897.29014310017,NA,NA
Panthera leo,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,139.902,NA,NA
Panthera leo,"Cerebral cortex, total -hp",C,NA,7615560250,NA,NA
Panthera leo,"Cerebral cortex, total -hp",I,NA,784402705.7500001,NA,NA
Panthera leo,"Cerebral cortex, total -hp",I/C,NA,0.10300000000000001,NA,NA
Panthera leo,"Cerebral cortex, total -hp",I/N,NA,1.4752713491236602,NA,NA
Panthera leo,"Cerebral cortex, total -hp",I/mg,NA,5756.915068548447,NA,NA
Panthera leo,"Cerebral cortex, total -hp",N,NA,531700630,NA,NA
Panthera leo,"Cerebral cortex, total -hp",N/mg,NA,3902.275382741057,NA,NA
Panthera leo,"Cerebral cortex, total -hp",Structure mass (g),NA,136.254,NA,NA
Panthera leo,Hippocampus,C,NA,190650000,NA,NA
Panthera leo,Hippocampus,I,NA,10886115,NA,NA
Panthera leo,Hippocampus,I/C,NA,0.0571,NA,NA
Panthera leo,Hippocampus,I/N,NA,0.8041121265859736,NA,NA
Panthera leo,Hippocampus,I/mg,NA,2984.1324013157896,NA,NA
