Species,Structure,Measure,published,unpublished,pct_diff,flag
Antidorcas marsupialis,Hp,I/mg,3778,NA,NA,NA
Antidorcas marsupialis,Hp,I/N,0.633,NA,NA,NA
Antidorcas marsupialis,Hp,N,20484141,NA,NA,NA
Antidorcas marsupialis,Hp,N/mg,5965,NA,NA,NA
Antidorcas marsupialis,Hp,No. of samples,1,NA,NA,NA
Antidorcas marsupialis,Hp,Structure mass (g),3.434,NA,NA,NA
Antidorcas marsupialis,RoB,C,1389765624,NA,NA,NA
Antidorcas marsupialis,RoB,I,84309976,NA,NA,NA
Antidorcas marsupialis,RoB,I/mg,3267,NA,NA,NA
Antidorcas marsupialis,RoB,I/N,1.196,NA,NA,NA
Antidorcas marsupialis,RoB,N,70485000,NA,NA,NA
Antidorcas marsupialis,RoB,N/mg,2731,NA,NA,NA
Antidorcas marsupialis,RoB,No. of samples,3,NA,NA,NA
Antidorcas marsupialis,RoB,Structure mass (g),25.81,NA,NA,NA
Antidorcas marsupialis,Br,I/C,0.04708908919587005,NA,NA,NA
Antidorcas marsupialis,Cb,I/C,0.02148657930680727,NA,NA,NA
Antidorcas marsupialis,Ctx,I/C,0.060476622808135545,NA,NA,NA
Antidorcas marsupialis,Cx,I/C,0.06031454723550135,NA,NA,NA
Antidorcas marsupialis,Hp,I/C,0.05699999985061614,NA,NA,NA
Antidorcas marsupialis,RoB,I/C,0.0606648880530952,NA,NA,NA
Giraffa camelopardalis,Br,C,48442643752,NA,NA,NA
Giraffa camelopardalis,Br,I,3335932264,NA,NA,NA
Giraffa camelopardalis,Br,I/mg,6278,NA,NA,NA
Giraffa camelopardalis,Br,I/N,0.31,NA,NA,NA
Giraffa camelopardalis,Br,N,10751287650,NA,NA,NA
Giraffa camelopardalis,Br,N/mg,19678,NA,NA,NA
Giraffa camelopardalis,Br,No. of samples,51,NA,NA,NA
Giraffa camelopardalis,Br,Structure mass (g),537.218,NA,NA,NA
Giraffa camelopardalis,Cb,C,14398437500,NA,NA,NA
Giraffa camelopardalis,Cb,I,298047656,NA,NA,NA
Giraffa camelopardalis,Cb,I/mg,4401,NA,NA,NA
Giraffa camelopardalis,Cb,I/N,0.034,NA,NA,NA
Giraffa camelopardalis,Cb,N,8878076563,NA,NA,NA
Giraffa camelopardalis,Cb,N/mg,131080,NA,NA,NA
Giraffa camelopardalis,Cb,No. of samples,1,NA,NA,NA
Giraffa camelopardalis,Cb,Structure mass (g),67.73,NA,NA,NA
Giraffa camelopardalis,Ctx,C,28341393752,NA,NA,NA
Giraffa camelopardalis,Ctx,I,2365907262,NA,NA,NA
Giraffa camelopardalis,Ctx,I/mg,6278,NA,NA,NA
Giraffa camelopardalis,Ctx,I/N,1.415,NA,NA,NA
Giraffa camelopardalis,Ctx,N,1671925960,NA,NA,NA
Giraffa camelopardalis,Ctx,N/mg,4272,NA,NA,NA
Giraffa camelopardalis,Ctx,No. of samples,44,NA,NA,NA
Giraffa camelopardalis,Ctx,Structure mass (g),391.322,NA,NA,NA
Giraffa camelopardalis,Cx,C,29244220002,NA,NA,NA
Giraffa camelopardalis,Cx,I,2430910509,NA,NA,NA
Giraffa camelopardalis,Cx,I/mg,6330,NA,NA,NA
Giraffa camelopardalis,Cx,I/N,1.405,NA,NA,NA
Giraffa camelopardalis,Cx,N,1730513460,NA,NA,NA
Giraffa camelopardalis,Cx,N/mg,4339,NA,NA,NA
Giraffa camelopardalis,Cx,No. of samples,45,NA,NA,NA
Giraffa camelopardalis,Cx,Structure mass (g),398.808,NA,NA,NA
Giraffa camelopardalis,Hp,C,681250000,NA,NA,NA
Giraffa camelopardalis,Hp,I,64786875,NA,NA,NA
Giraffa camelopardalis,Hp,I/mg,9327,NA,NA,NA
Giraffa camelopardalis,Hp,I/N,1.106,NA,NA,NA
Giraffa camelopardalis,Hp,N,58587500,NA,NA,NA
Giraffa camelopardalis,Hp,N/mg,8435,NA,NA,NA
Giraffa camelopardalis,Hp,No. of samples,1,NA,NA,NA
Giraffa camelopardalis,Hp,Structure mass (g),7.486,NA,NA,NA
Giraffa camelopardalis,RoB,C,5021562500,NA,NA,NA
Giraffa camelopardalis,RoB,I,495014837,NA,NA,NA
Giraffa camelopardalis,RoB,I/mg,7005,NA,NA,NA
Giraffa camelopardalis,RoB,I/N,3.469,NA,NA,NA
Giraffa camelopardalis,RoB,N,142697625,NA,NA,NA
Giraffa camelopardalis,RoB,N/mg,2019,NA,NA,NA
Giraffa camelopardalis,RoB,No. of samples,5,NA,NA,NA
Giraffa camelopardalis,RoB,Structure mass (g),70.68,NA,NA,NA
Giraffa camelopardalis,Br,I/C,0.06886354677664083,NA,NA,NA
Giraffa camelopardalis,Cb,I/C,0.020699999982637003,NA,NA,NA
Giraffa camelopardalis,Ctx,I/C,0.08347886073291799,NA,NA,NA
Giraffa camelopardalis,Cx,I/C,0.08312447754919608,NA,NA,NA
Giraffa camelopardalis,Hp,I/C,0.0951,NA,NA,NA
Giraffa camelopardalis,RoB,I/C,0.09857785042006348,NA,NA,NA
Sus scrofa,Br,C,6839205942,NA,NA,NA
Sus scrofa,Br,I,598831830,NA,NA,NA
Sus scrofa,Br,I/mg,9310,NA,NA,NA
Sus scrofa,Br,I/N,0.269,NA,NA,NA
Sus scrofa,Br,N,2224112553,NA,NA,NA
Sus scrofa,Br,N/mg,34654,NA,NA,NA
Sus scrofa,Br,No. of samples,28,NA,NA,NA
Sus scrofa,Br,Structure mass (g),64.18,NA,NA,NA
Sus scrofa,Cb,C,2207031250,NA,NA,NA
Sus scrofa,Cb,I,85632813,NA,NA,NA
Sus scrofa,Cb,I/mg,10536,NA,NA,NA
Sus scrofa,Cb,I/N,0.046,NA,NA,NA
Sus scrofa,Cb,N,1858320313,NA,NA,NA
Sus scrofa,Cb,N/mg,228632,NA,NA,NA
Sus scrofa,Cb,No. of samples,1,NA,NA,NA
Sus scrofa,Cb,Structure mass (g),8.128,NA,NA,NA
Sus scrofa,Ctx,C,3300354380,NA,NA,NA
Sus scrofa,Ctx,I,359715940,NA,NA,NA
Sus scrofa,Ctx,I/mg,8932,NA,NA,NA
Sus scrofa,Ctx,I/N,1.244,NA,NA,NA
Sus scrofa,Ctx,N,289142456,NA,NA,NA
Sus scrofa,Ctx,N/mg,7179,NA,NA,NA
Sus scrofa,Ctx,No. of samples,23,NA,NA,NA
Sus scrofa,Ctx,Structure mass (g),40.274,NA,NA,NA
Sus scrofa,Cx,C,3476643442,NA,NA,NA
Sus scrofa,Cx,I,388217638,NA,NA,NA
Sus scrofa,Cx,I/mg,9048,NA,NA,NA
Sus scrofa,Cx,I/N,1.264,NA,NA,NA
Sus scrofa,Cx,N,307082404,NA,NA,NA
Sus scrofa,Cx,N/mg,7276,NA,NA,NA
Sus scrofa,Cx,No. of samples,24,NA,NA,NA
Sus scrofa,Cx,Structure mass (g),42.202,NA,NA,NA
Sus scrofa,Hp,C,146289062,NA,NA,NA
Sus scrofa,Hp,I,22141064,NA,NA,NA
Sus scrofa,Hp,I/mg,11480,NA,NA,NA
Sus scrofa,Hp,I/N,1.715,NA,NA,NA
Sus scrofa,Hp,N,12907084,NA,NA,NA
Sus scrofa,Hp,N/mg,6692,NA,NA,NA
Sus scrofa,Hp,No. of samples,1,NA,NA,NA
Sus scrofa,Hp,Structure mass (g),1.928,NA,NA,NA
Sus scrofa,RoB,C,1155531250,NA,NA,NA
Sus scrofa,RoB,I,129924626,NA,NA,NA
Sus scrofa,RoB,I/mg,9386,NA,NA,NA
Sus scrofa,RoB,I/N,2.213,NA,NA,NA
Sus scrofa,RoB,N,58709836,NA,NA,NA
Sus scrofa,RoB,N/mg,4238,NA,NA,NA
Sus scrofa,RoB,No. of samples,3,NA,NA,NA
Sus scrofa,RoB,Structure mass (g),13.85,NA,NA,NA
Sus scrofa,Br,I/C,0.08755867787553165,NA,NA,NA
Sus scrofa,Cb,I/C,0.03880000022654867,NA,NA,NA
Sus scrofa,Ctx,I/C,0.10899312576245221,NA,NA,NA
Sus scrofa,Cx,I/C,0.11166449607977946,NA,NA,NA
Sus scrofa,Hp,I/C,0.15135146604467256,NA,NA,NA
