Species,Region,Measure,Units,Value,n_studies,Compilations,Volume_term
Mus musculus,Neocortex,CMRgl,umol/100g/min,94.862,8,Karbowski_2007; Kaufman_2004,Neocortex_Vol.mm3
Mus musculus,Occipital_cortex,CMRgl,umol/100g/min,84.225,4,Kaufman_2004,NA
Mus musculus,Pallidum,CMRgl,umol/100g/min,76,1,Karbowski_2007,Pallidum_Vol.mm3
Mus musculus,Parietal_cortex,CMRgl,umol/100g/min,98.5,2,Kaufman_2004,NA
Mus musculus,Prefrontal_cortex,CMRgl,umol/100g/min,122,1,Karbowski_2007,NA
Mus musculus,Sensorimotor_cortex,CMRgl,umol/100g/min,99.42,5,Kaufman_2004,NA
Mus musculus,Septum,CMRgl,umol/100g/min,73,2,Karbowski_2007,NA
Mus musculus,Substantia_nigra,CMRgl,umol/100g/min,88,1,Karbowski_2007,NA
Mus musculus,Temporal_cortex,CMRgl,umol/100g/min,93,1,Karbowski_2007,NA
Mus musculus,Thalamus,CMRgl,umol/100g/min,101,6,Karbowski_2007; Kaufman_2004,Thalamus_Vol.mm3
Mus musculus,Visual_cortex,CMRgl,umol/100g/min,111,1,Karbowski_2007,NA
Mus musculus,White_matter,CMRgl,umol/100g/min,38,6,Karbowski_2007; Kaufman_2004,NA
Mus musculus,Whole_brain,CBF,mL/100g/min,117,1,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Mus musculus,Whole_brain,CMRgl,umol/100g/min,73.208,4,Karbowski_2007; Kaufman_2004,Total_brain_net_volume_Vol.mm3
Oryctolagus cuniculus,Amygdala,CMRgl,umol/100g/min,39,1,Karbowski_2007,Amygdala_Vol.mm3
Oryctolagus cuniculus,Brain_stem,CMRgl,umol/100g/min,94,1,Karbowski_2007,NA
Oryctolagus cuniculus,Hippocampus,CMRgl,umol/100g/min,58,1,Karbowski_2007,Hippocampus_Vol.mm3
Oryctolagus cuniculus,Hypothalamus,CMRgl,umol/100g/min,65,1,Karbowski_2007,NA
Oryctolagus cuniculus,Neocortex,CMRgl,umol/100g/min,83.5,2,Karbowski_2007,Neocortex_Vol.mm3
Oryctolagus cuniculus,Pallidum,CMRgl,umol/100g/min,42,1,Karbowski_2007,Pallidum_Vol.mm3
Oryctolagus cuniculus,Parietal_cortex,CMRgl,umol/100g/min,73,1,Karbowski_2007,NA
Oryctolagus cuniculus,Sensorimotor_cortex,CMRgl,umol/100g/min,83,1,Karbowski_2007,NA
Oryctolagus cuniculus,Septum,CMRgl,umol/100g/min,48,1,Karbowski_2007,NA
Oryctolagus cuniculus,Substantia_nigra,CMRgl,umol/100g/min,48,1,Karbowski_2007,NA
Oryctolagus cuniculus,Temporal_cortex,CMRgl,umol/100g/min,102,1,Karbowski_2007,NA
Oryctolagus cuniculus,Thalamus,CMRgl,umol/100g/min,90,1,Karbowski_2007,Thalamus_Vol.mm3
Oryctolagus cuniculus,Visual_cortex,CMRgl,umol/100g/min,76,1,Karbowski_2007,NA
Oryctolagus cuniculus,White_matter,CMRgl,umol/100g/min,26,1,Karbowski_2007,NA
Oryctolagus cuniculus,Whole_brain,CMRgl,umol/100g/min,69,1,Karbowski_2007,Total_brain_net_volume_Vol.mm3
Ovis aries,Whole_brain,CBF,mL/100g/min,64.85,4,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Ovis aries,Whole_brain,CMRO2,umol/100g/min,169.075,4,Karbowski_2007; Kaufman_2004,Total_brain_net_volume_Vol.mm3
Ovis aries,Whole_brain,CMRgl,umol/100g/min,35,1,Karbowski_2007,Total_brain_net_volume_Vol.mm3
Papio anubis,Caudate_nucleus,CMRgl,umol/100g/min,41,1,Karbowski_2007,NA
Papio anubis,Cerebellum,CMRgl,umol/100g/min,32,1,Karbowski_2007,Cerebellum_Vol.mm3
Papio anubis,Cingulate_cortex,CMRgl,umol/100g/min,49,1,Karbowski_2007,NA
Papio anubis,Hippocampus,CMRgl,umol/100g/min,32,1,Karbowski_2007,Hippocampus_Vol.mm3
Papio anubis,Neocortex,CMRgl,umol/100g/min,46,2,Karbowski_2007,Neocortex_Vol.mm3
Papio anubis,Occipital_cortex,CMRgl,umol/100g/min,33,1,Karbowski_2007,NA
Papio anubis,Parietal_cortex,CMRgl,umol/100g/min,47,1,Karbowski_2007,NA
Papio anubis,Prefrontal_cortex,CMRgl,umol/100g/min,52,1,Karbowski_2007,NA
Papio anubis,Sensorimotor_cortex,CMRgl,umol/100g/min,49,1,Karbowski_2007,NA
Papio anubis,Temporal_cortex,CMRgl,umol/100g/min,47,1,Karbowski_2007,NA
Papio anubis,Thalamus,CMRgl,umol/100g/min,51,1,Karbowski_2007,Thalamus_Vol.mm3
Papio anubis,Whole_brain,CMRO2,umol/100g/min,3.4,1,Karbowski_2007,Total_brain_net_volume_Vol.mm3
Papio anubis,Whole_brain,CMRgl,umol/100g/min,44,1,Karbowski_2007,Total_brain_net_volume_Vol.mm3
Rattus norvegicus,Amygdala,CMRgl,umol/100g/min,52,5,Karbowski_2007,Amygdala_Vol.mm3
Rattus norvegicus,Auditory_cortex,CMRgl,umol/100g/min,186.858,31,Kaufman_2004,NA
Rattus norvegicus,Basal_ganglia,CBF,mL/100g/min,117.5,2,Kaufman_2004,NA
Rattus norvegicus,Basal_ganglia,CMRO2,umol/100g/min,84.5,1,Kaufman_2004,NA
Rattus norvegicus,Basal_ganglia,CMRgl,umol/100g/min,120.259,39,Kaufman_2004,NA
Rattus norvegicus,Brain_stem,CMRgl,umol/100g/min,120.3,5,Karbowski_2007,NA
Rattus norvegicus,Caudate_nucleus,CMRgl,umol/100g/min,83,6,Karbowski_2007,NA
Rattus norvegicus,Cerebellum,CBF,mL/100g/min,116.5,2,Kaufman_2004,Cerebellum_Vol.mm3
Rattus norvegicus,Cerebellum,CMRO2,umol/100g/min,61,1,Kaufman_2004,Cerebellum_Vol.mm3
Rattus norvegicus,Cerebellum,CMRgl,umol/100g/min,118.883,30,Karbowski_2007; Kaufman_2004,Cerebellum_Vol.mm3
Rattus norvegicus,Cingulate_cortex,CMRgl,umol/100g/min,98.394,32,Karbowski_2007; Kaufman_2004,NA
Rattus norvegicus,Frontal_cortex,CMRgl,umol/100g/min,143.654,37,Karbowski_2007; Kaufman_2004,NA
Rattus norvegicus,Hippocampus,CBF,mL/100g/min,92.6,5,Kaufman_2004,Hippocampus_Vol.mm3
Rattus norvegicus,Hippocampus,CMRO2,umol/100g/min,79,1,Kaufman_2004,Hippocampus_Vol.mm3
Rattus norvegicus,Hippocampus,CMRgl,umol/100g/min,105.284,47,Karbowski_2007; Kaufman_2004,Hippocampus_Vol.mm3
Rattus norvegicus,Hypothalamus,CMRgl,umol/100g/min,57.917,6,Karbowski_2007,NA
Rattus norvegicus,Neocortex,CBF,mL/100g/min,149.6,3,Kaufman_2004,Neocortex_Vol.mm3
Rattus norvegicus,Neocortex,CMRO2,umol/100g/min,294.35,2,Kaufman_2004,Neocortex_Vol.mm3
Rattus norvegicus,Neocortex,CMRgl,umol/100g/min,134.679,51,Karbowski_2007; Kaufman_2004,Neocortex_Vol.mm3
Rattus norvegicus,Occipital_cortex,CMRgl,umol/100g/min,147.593,35,Karbowski_2007; Kaufman_2004,NA
Rattus norvegicus,Pallidum,CMRgl,umol/100g/min,46.333,6,Karbowski_2007,Pallidum_Vol.mm3
Rattus norvegicus,Parietal_cortex,CMRO2,umol/100g/min,110,1,Kaufman_2004,NA
Rattus norvegicus,Parietal_cortex,CMRgl,umol/100g/min,148.498,33,Karbowski_2007; Kaufman_2004,NA
Rattus norvegicus,Prefrontal_cortex,CMRgl,umol/100g/min,97.667,3,Karbowski_2007,NA
Rattus norvegicus,Sensorimotor_cortex,CMRgl,umol/100g/min,143.122,39,Karbowski_2007; Kaufman_2004,NA
Rattus norvegicus,Septum,CMRgl,umol/100g/min,51.167,6,Karbowski_2007,NA
Rattus norvegicus,Substantia_nigra,CMRgl,umol/100g/min,53.2,5,Karbowski_2007,NA
Rattus norvegicus,Temporal_cortex,CMRgl,umol/100g/min,114.7,9,Karbowski_2007; Kaufman_2004,NA
Rattus norvegicus,Thalamus,CBF,mL/100g/min,131,4,Kaufman_2004,Thalamus_Vol.mm3
Rattus norvegicus,Thalamus,CMRO2,umol/100g/min,104,1,Kaufman_2004,Thalamus_Vol.mm3
Rattus norvegicus,Thalamus,CMRgl,umol/100g/min,127.146,48,Karbowski_2007; Kaufman_2004,Thalamus_Vol.mm3
Rattus norvegicus,Visual_cortex,CMRgl,umol/100g/min,91.25,4,Karbowski_2007,NA
Rattus norvegicus,White_matter,CBF,mL/100g/min,35,1,Kaufman_2004,NA
Rattus norvegicus,White_matter,CMRO2,umol/100g/min,36,1,Kaufman_2004,NA
Rattus norvegicus,White_matter,CMRgl,umol/100g/min,85.62,37,Karbowski_2007; Kaufman_2004,NA
Rattus norvegicus,Whole_brain,CBF,mL/100g/min,104.9,5,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Rattus norvegicus,Whole_brain,CMRO2,umol/100g/min,437.5,5,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Rattus norvegicus,Whole_brain,CMRgl,umol/100g/min,72.508,12,Karbowski_2007; Kaufman_2004,Total_brain_net_volume_Vol.mm3
Spermophilus tridecemlineatus,Whole_brain,CMRgl,umol/100g/min,60,1,Karbowski_2007,Total_brain_net_volume_Vol.mm3
Sus scrofa,Basal_ganglia,CBF,mL/100g/min,102.6,1,Kaufman_2004,NA
Sus scrofa,Cerebellum,CBF,mL/100g/min,88.8,1,Kaufman_2004,Cerebellum_Vol.mm3
Sus scrofa,White_matter,CBF,mL/100g/min,33.6,1,Kaufman_2004,NA
