"Species","Tree_Name","Tree_Clade","Individuals","Sex","Side","log10_mc1_mm","log10_pp1_mm","log10_dp1_mm","log10_mc2_mm","log10_pp2_mm","log10_ip2_mm","log10_dp2_mm","log10_mc3_mm","log10_pp3_mm","log10_ip3_mm","log10_dp3_mm","log10_mc4_mm","log10_pp4_mm","log10_ip4_mm","log10_dp4_mm","log10_mc5_mm","log10_pp5_mm","log10_ip5_mm","log10_dp5_mm","Bone_References","Bone_References_resolved","bone_data_restricted","log10_brain_g","brain_notes","log10_body_g","body_notes","log10_neocortex_cm3","log10_cerebellum_cm3","Brain_References","Brain_References_resolved","Tool_Use","Single_Individual","Captive_Only","Tool_Manufacture","True_Tool_Use","Binocularity","peak_workspace","relative_size","real_size"
"Cercopithecus mitis","Cercopithecus_mitis","owm","MCZ_37934;FMNH_121598;FMNH_165382;MCZ_37930;AMNH-52368;USNM-452550;USNM-452557 (plus some measurements at taxon-level)","Both/Unspecified","Unspecified",1.28197792171471,1.04913011391993,,1.5063697170955,1.27815835576575,1.06987569414368,,1.5287881917749,1.36289443970756,1.19932971522104,,1.49817266063654,1.33095883448675,1.18033374786844,,1.41559910869476,,,,"4;6;7;18","Patel 2010; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Frost et al. 2015","FALSE",1.875061263,,3.799340549,,1.662,0.782,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.86569605991607,,,
"Cercopithecus mona","Cercopithecus_mona","owm","taxon-level","male","Unspecified",,,,1.42732378635725,,,,1.44901531634779,,,,1.40739090447073,,,,,,,,"4","Patel 2010","FALSE",1.826074803,,3.477265995,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Cercopithecus neglectus","Cercopithecus_neglectus","owm","AMNH-52429","male","Unspecified",1.30535136944662,,,1.4854374810763,,,,1.50310943667137,,,,1.45591024038274,,,,1.44090908206522,,,,"4;18","Patel 2010; Frost et al. 2015","FALSE",1.78461729263288,,3.6159500516564,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Cercopithecus nictitans","Cercopithecus_nictitans","owm","taxon-level","male","Unspecified",,,,1.51785541893003,,,,1.50379068305718,,,,1.47668674294564,,,,,,,,"4","Patel 2010","FALSE",1.85202227940313,,3.73759016628572,,1.679,0.682,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,,,,
"Cheirogaleus major","Cheirogaleus_major","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.02938377768521,0.978180516937414,,,,,0.81778565588553,,0.939685617103282,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.832508913,,2.653212514,,0.468,-0.0239999999999997,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.68124123737559,-1.55284196865778,-1.04575749056068,0.591064607026499
"Cheirogaleus medius","Cheirogaleus_medius","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,0.876217840591642,0.828015064223977,,,,,0.691302563383483,,0.757016234731301,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.524179678,,2.25446751,,0.00860017176191785,-0.36,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.67209785793572,-1.55284196865778,-1.04575749056068,0.431363764158987
"Chiropotes satanas","Chiropotes_satanas","nwm","FMNH_93522;FMNH_95512;MCZ_6028","Both/Unspecified","Unspecified",1.2546286288076,,,,,,,,1.34130260037242,1.1770552871583,,1.38489079653055,,,,1.339782584656,,,,"7","Prang et al. 2021","FALSE",1.6842195583321,,3.4814426285023,,,,"27","Venditti et al. 2024",0,,,,,1.85430604180108,,,
"Colobus angolensis","Colobus_angolensis","owm","taxon-level","female","Unspecified",1.28004751505955,0.572967339820172,,1.57403126772772,1.40204973513789,1.17577672872098,,1.60449605277107,1.5080702847034,1.36400406073184,,1.59577170200094,1.51599607133701,1.36277682494057,,1.60122703798179,,,,"4;6","Patel 2010; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011)","FALSE",1.871572936,,3.985426474,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Piliocolobus badius","Piliocolobus_badius","owm","taxon-level","female","Unspecified",1.20668250066112,,,1.5686709780099,1.37813625748592,1.15587269963883,,1.57795112772976,1.46687742136581,1.30828907792733,,1.54903907058317,1.46751289246993,1.29884322785227,,1.51668838134178,,,,"4;6","Patel 2010; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011)","FALSE",1.892094603,,3.84509804,,1.709,0.932,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,1,1,1.87215627274829,,,
"Colobus guereza","Colobus_guereza","owm","taxon-level","Both/Unspecified","Unspecified",1.28103336724773,0.67926635869444,,1.58081097266095,1.3881818394653,1.17551722345614,,1.5999921775841,1.46186488199467,1.30980147281507,,1.59024721619561,1.45634776909291,1.3018844486893,,1.59050746200858,,,,"4;6;8","Patel 2010; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Tague 1997","FALSE",1.923761961,,4.01204592,,,,"27","Venditti et al. 2024",0,,,,,1.85973856619715,,,
