taxon,sp,dec_region,our_term,dec_value,ref_ids,status_original,matched_value_original,status_expanded,matched_value_expanded
Callimico_goeldii,callimico goeldii,XII,Hypoglossal_nucleus_left_Vol.mm3,1.08,53,value_diff,0.54,value_diff,0.54
Callimico_goeldii,callimico goeldii,BV,Total_brain_net_volume_Vol.mm3,10510.0,"24,51-52",match,10510.0,match,10510.0
Callimico_goeldii,callimico goeldii,Cerebellum,Cerebellum_Vol.mm3,1240.0,"24,51-52",match,1240.0,match,1240.0
Callimico_goeldii,callimico goeldii,Mesencephalon,Mesencephalon_Vol.mm3,340.0,"24,51-52",match,340.0,match,340.0
Callimico_goeldii,callimico goeldii,Diencephalon,Diencephalon_Vol.mm3,739.0,"24,51-52",match,739.0,match,739.0
Callimico_goeldii,callimico goeldii,Telencephalon,Telencephalon_Vol.mm3,7733.0,"24,51-52",match,7733.0,match,7733.0
Callimico_goeldii,callimico goeldii,MOB,Bulbus_olfactorius_Vol.mm3,27.0,"24,51-52",match,27.0,match,27.0
Callimico_goeldii,callimico goeldii,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,0.512,"24,51-52",match,0.512,match,0.512
Callimico_goeldii,callimico goeldii,Piriform Lobe,Lobus_piriformis_Vol.mm3,253.0,"24,51-52",match,253.0,match,253.0
Callimico_goeldii,callimico goeldii,Septum,Septum_Vol.mm3,63.5,"24,51-52",match,63.5,match,63.5
Callimico_goeldii,callimico goeldii,Striatum,Striatum_Vol.mm3,493.0,"24,51-52",match,493.0,match,493.0
Callimico_goeldii,callimico goeldii,Schizocortex,Schizo_cortex_Vol.mm3,138.0,"24,51-52",match,138.0,match,138.0
