Species,Variable,Value,Source,Team,Year
Neomys fodiens,Medulla_oblongata_Vol.mm3,42.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Cerebellum_Vol.mm3,38.9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Mesencephalon_Vol.mm3,17.3,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Diencephalon_Vol.mm3,25.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Telencephalon_Vol.mm3,175,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Bulbus_olfactorius_Vol.mm3,15.9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Palaeocortex_plus_amygdala_Vol.mm3,36,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Septum_Vol.mm3,6.4,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Striatum_Vol.mm3,18.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Schizo_cortex_Vol.mm3,9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Hippocampus_Vol.mm3,32.9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Neocortex_Vol.mm3,56.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Talpa europaea,Body_Mass.g,76,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Talpa europaea,Brain_Mass.mg,1020,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Talpa europaea,Total_brain_net_volume_Vol.mm3,953,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Talpa europaea,Medulla_oblongata_Vol.mm3,95.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
