Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source,flag_curated_overrides_ncbi,flag_unresolved
Baron_etal_1983_Table1,Cheirogaleus medius,NA,9460,Cheirogaleus medius,Cheirogaleus medius,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Chrysochloris asiatica,NA,185453,Chrysochloris asiatica,Chrysochloris asiatica,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Chrysochloris stuhlmanni,NA,185454,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Colobus badius,Piliocolobus badius,164648,Piliocolobus badius,Piliocolobus badius,curated,FALSE,FALSE
Baron_etal_1983_Table1,Crocidura flavescens,NA,214442,Crocidura flavescens,Crocidura flavescens,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Crocidura russula,NA,36802,Crocidura russula,Crocidura russula,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Daubentonia madagascariensis,NA,31869,Daubentonia madagascariensis,Daubentonia madagascariensis,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Desmana moschata,NA,182682,Desmana moschata,Desmana moschata,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Echinops telfairi,NA,9371,Echinops telfairi,Echinops telfairi,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Elephantulus fuscipes,NA,483426,Elephantulus fuscipes,Elephantulus fuscipes,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Erinaceus algirus,Atelerix algirus,30576,Atelerix algirus,Atelerix algirus,curated,FALSE,FALSE
Baron_etal_1983_Table1,Erinaceus europaeus,NA,9365,Erinaceus europaeus,Erinaceus europaeus,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Erythrocebus patas,NA,9538,Erythrocebus patas,Erythrocebus patas,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Galago senegalensis,NA,9465,Galago senegalensis,Galago senegalensis,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Galagoides demidoff,NA,89672,Galagoides demidoff,Galagoides demidoff,NCBI,FALSE,FALSE
