Species_Name,n_sources,Sources
Hemicentetes semispinosus,18,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Frahm_Zilles_1994_Table1; Matano_etal_1985_a_Table1; Stephan_etal_1970_Table1; Stephan_etal_1970_Table4; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1981_TableVII; Stephan_etal_1981_TableX; Stephan_etal_1981_TableXII; Stephan_etal_1981_TableXIV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Hemiechinus auritus,9,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Stephan_etal_1981_TableI; Stephan_etal_1981_TableIV; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Homo sapiens,35,Barger_etal_2007_TABLE1; Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; deSousa_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; MacLeod_etal_2003_Table1; MacLeod_etal_2003_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Semendeferi_etal_1998_Table2; Semendeferi_etal_2001_Table2; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Hylobates lar,30,Barger_etal_2007_TABLE1; Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2; Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; deSousa_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_Zilles_1994_Table1; MacLeod_etal_2003_Table1; MacLeod_etal_2003_Table2; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Semendeferi_etal_1998_Table2; Semendeferi_etal_2001_Table2; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Hylobates muelleri,2,Bauernfeind_etal_2013_Table1; deSousa_etal_2013_Table1
Hylomys suillus,1,Baron_etal_1990_Table1
Hypsiprymnodon moschatus,1,Ashwell__2020_SupplementaryTable
Indri indri,21,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5; Stephan_etal_1981_TableII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableV; Stephan_etal_1981_TableXV; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Isoodon macrourus,1,Ashwell__2020_SupplementaryTable
Isoodon obesulus,1,Ashwell__2020_SupplementaryTable
Lagorchestes conspicillatus,1,Ashwell__2020_SupplementaryTable
