item,reference,folder,def_file,code,structure,measure,mapped,standardized_term,note,category
Matano_etal_1985_a_Table1,Matano_etal_1985_a_Table1,Matano_etal_1985_a,Matano_etal_1985_a/reference_tables/Matano_etal_1985_a_Table1_definitions.csv,LCN_mm3,Lateral_cerebellar_nuclei,Vol.mm3,TRUE,Lateral_cerebellar_nuclei_Vol.mm3,,mapped
Matano_etal_1985_a_Table1,Matano_etal_1985_a_Table1,Matano_etal_1985_a,Matano_etal_1985_a/reference_tables/Matano_etal_1985_a_Table1_definitions.csv,MCN_mm3,Medial_cerebellar_nuclei,Vol.mm3,TRUE,Medial_cerebellar_nuclei_Vol.mm3,,mapped
Matano_etal_1985_a_Table1,Matano_etal_1985_a_Table1,Matano_etal_1985_a,Matano_etal_1985_a/reference_tables/Matano_etal_1985_a_Table1_definitions.csv,TCN_mm3,Cerebellar_nuclei_total,Vol.mm3,TRUE,Cerebellar_nuclei_total_Vol.mm3,,mapped
Matano_etal_1985_b_Table1,Matano_etal_1985_b_Table1,Matano_etal_1985_b,Matano_etal_1985_b/reference_tables/Matano_etal_1985_b_Table1_definitions.csv,ventral_pons_mm3,Ventral_pons,Vol.mm3,TRUE,Ventral_pons_Vol.mm3,,mapped
Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011,Smaers_etal_2011/Smaers_etal_2011_definitions.csv,frontal_grey_total_cm3,FrontalGrey,Volume.cm3,TRUE,FrontalCortex_grey_matter_Vol.mm3,,mapped
Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011,Smaers_etal_2011/Smaers_etal_2011_definitions.csv,frontal_white_total_cm3,FrontalWhite,Volume.cm3,TRUE,FrontalCortex_white_matter_Vol.mm3,,mapped
Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011,Smaers_etal_2011/Smaers_etal_2011_definitions.csv,frontal_grey_left_cm3,FrontalGrey,Volume.cm3,FALSE,NA,,laterality_variant_of_mapped
Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011,Smaers_etal_2011/Smaers_etal_2011_definitions.csv,frontal_grey_right_cm3,FrontalGrey,Volume.cm3,FALSE,NA,,laterality_variant_of_mapped
Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011,Smaers_etal_2011/Smaers_etal_2011_definitions.csv,frontal_white_left_cm3,FrontalWhite,Volume.cm3,FALSE,NA,,laterality_variant_of_mapped
Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011,Smaers_etal_2011/Smaers_etal_2011_definitions.csv,frontal_white_right_cm3,FrontalWhite,Volume.cm3,FALSE,NA,,laterality_variant_of_mapped
Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011_SupplementaryTable1,Smaers_etal_2011,Smaers_etal_2011/Smaers_etal_2011_definitions.csv,sec5_grey_left_cm3,FrontalGrey,Volume.cm3,FALSE,NA,,laterality_variant_of_mapped
