"Species","Brain_Mass_excl_olfactory_bulb.g","Brain_Mass_from_volume_or_ecv.g","Brain_Mass_mass_or_volume.g","Brain_Mass_measured.g","Brain_size_sum_of_structures.g"
"Hipposideros lankadiva",,,0.733,,
"Hipposideros larvatus",,,0.4165,,
"Hipposideros lekaguli",,,0.584,,
"Hipposideros maggietaylorae",,,0.5425,,
"Hipposideros pomona",,,0.233,,
"Hipposideros ridleyi",,,0.269,,
"Hipposideros ruber",,,0.265,,
"Hipposideros speoris",,,0.284,,
"Hipposideros turpis",,,0.599,,
"Hippotragus equinus",,,387.9,,
"Hippotragus niger",,,282,,
"Histriophoca fasciata",,,248.75,,
"Holochilus chacarius",,,1.61,,
"Holochilus sciureus",,,1.41,,
"Homo sapiens",1508.91,,1509,1365.0984,
"Homo sapiens (MRI)",,1302,,,
"Hoplomys gymnurus",,,4.13,,
"Horse (Equus caballus)",,,,532,
"Hyaena brunnea",,,106.7,,
"Hyaena hyaena",,,97.5,,
"Hybomys trivirgatus",,,1.1,,
"Hydrictis maculicollis",,,33,,
"Hydrochoeris hydrochaeris",,,75,,
"Hydrochoerus hydrochaeris",74.734,,,63.5,
"Hydromys chrysogaster",,,4.33,,
"Hydropotes inermis",,,52,,
"Hydrurga leptonyx",,,712.5,,
"Hyemoschus aquaticus",,,25.2,,
"Hylobates",,74.1,,,
"Hylobates agilis",,,88.1,,
"Hylobates klossii",,,87.9913,,
"Hylobates lar",,,93.99,102.25,
"Hylobates moloch",,,103,,
"Hylobates muelleri",,,95.31,101.8,
"Hylobates pileatus",,,84.6852,,
"Hylobates sp.",,,,118,
"Hylochoerus meinertzhageni",,,141,,
"Hylopetes spadiceus",,,1.87,,
"Hypsignathus monstrosus",,,3.4148,,
"Hypsugo crassulus",,,0.132,,
"Hypsugo imbricatus",,,0.137,,
"Hypsugo pulveratus",,,0.143,,
"Hystrix africaeaustralis",,,35.71,,
"Hystrix brachyura",,,37.64,,
"Hystrix cristata",,,32.4,,
"Hystrix indica",,,44.07,,
"Hystrix sumatrae",,,27.04,,
"Ichneumia albicauda",,,28.3,,
"Ictonyx libyca",,,4.48,,
"Ictonyx striatus",,,8.5,,
