Species_binomial,Kaufman_genus,weighting,region,measure,units,N,Mean,SD,CV,CVstar
Rattus_norvegicus,Rattus,weighted,Whole Brain,CBF,mL/100g/min,106,103.08,18.73,18.17,18.21
Rattus_norvegicus,Rattus,weighted,Whole Brain,CMRO2,umol/100g/min,106,429.41,76.12,17.73,17.77
Rattus_norvegicus,Rattus,weighted,Whole Brain,CMRgl,umol/100g/min,205,76.89,19.83,25.79,25.82
Sus_scrofa_domesticus,Sus,unweighted,Auditory Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Basal Ganglia,CBF,mL/100g/min,1,102.6,5.8,5.65,7.07
Sus_scrofa_domesticus,Sus,unweighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Basal Ganglia,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Cerebellum,CBF,mL/100g/min,1,88.8,3.6,4.05,5.07
Sus_scrofa_domesticus,Sus,unweighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Cerebellum,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Cortex,CBF,mL/100g/min,1,108.2,6.3,5.82,7.28
Sus_scrofa_domesticus,Sus,unweighted,Cortex,CMRO2,umol/100g/min,1,341.96,20.1,5.88,7.35
Sus_scrofa_domesticus,Sus,unweighted,Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Frontal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Hippocampus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Hippocampus,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Occipital Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Parietal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Temporal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Thalamus,CBF,mL/100g/min,1,76.8,4.5,5.86,7.32
Sus_scrofa_domesticus,Sus,unweighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,Thalamus,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,White Matter,CBF,mL/100g/min,1,33.6,1.8,5.36,6.7
Sus_scrofa_domesticus,Sus,unweighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,unweighted,White Matter,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Auditory Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Basal Ganglia,CBF,mL/100g/min,6,102.6,5.8,5.65,5.89
Sus_scrofa_domesticus,Sus,weighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Basal Ganglia,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Cerebellum,CBF,mL/100g/min,6,88.8,3.6,4.05,4.22
Sus_scrofa_domesticus,Sus,weighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Cerebellum,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Cingulate Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Cortex,CBF,mL/100g/min,6,108.2,6.3,5.82,6.07
Sus_scrofa_domesticus,Sus,weighted,Cortex,CMRO2,umol/100g/min,6,341.96,20.1,5.88,6.12
Sus_scrofa_domesticus,Sus,weighted,Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Frontal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Hippocampus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Hippocampus,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Occipital Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Parietal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Temporal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Thalamus,CBF,mL/100g/min,6,76.8,4.5,5.86,6.1
Sus_scrofa_domesticus,Sus,weighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,Thalamus,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,White Matter,CBF,mL/100g/min,6,33.6,1.8,5.36,5.58
Sus_scrofa_domesticus,Sus,weighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Sus_scrofa_domesticus,Sus,weighted,White Matter,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
