"Species","Measure","Units","Value","Medium","n_studies","Sources","Study_keys","Data_role","value_origin","value_range"
"Onychomys leucogaster","Sound_localization_threshold.deg","deg",19.3,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1988a|r","secondary","published",""
"Onychomys leucogaster","Visual_acuity.cdeg","c/deg",2.3,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:grasshopper mouse","secondary","published",""
"Orcinus orca","Audible_freq_high_60dB.kHz","kHz",34.239589,"underwater",1,"Koay_etal_1998_Figure6","hall1972","secondary","digitised_from_figure",""
"Oryctolagus cuniculus","Audible_freq_high_60dB.kHz","kHz",49.193888,"air",1,"Koay_etal_1998_Figure6","heffner1980|h","secondary","digitised_from_figure",""
"Oryctolagus cuniculus","Visual_acuity.cdeg","c/deg",3,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","van1967|m","secondary","published",""
"Otolemur crassicaudatus","Visual_acuity.cdeg","c/deg",4.8,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","langston1986|a","secondary","published",""
"Ovis aries","Audible_freq_high_60dB.kHz","kHz",42.555736,"air",1,"Koay_etal_1998_Figure6","wollack1963","secondary","digitised_from_figure",""
"Ovis aries","Visual_acuity.cdeg","c/deg",5.61,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","tanaka1995|t","secondary","published",""
"Pagophilus groenlandicus","Audible_freq_high_60dB.kHz","kHz",91.388663,"underwater",1,"Koay_etal_1998_Figure6","terhune1972","secondary","digitised_from_figure",""
"Pan troglodytes","Audible_freq_high_60dB.kHz","kHz",23.058892,"air",1,"Koay_etal_1998_Figure6","farrer1965","secondary","digitised_from_figure",""
"Pan troglodytes","Visual_acuity.cdeg","c/deg",64.28,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","spence1934|k","secondary","published",""
"Papio cynocephalus","Audible_freq_high_60dB.kHz","kHz",40.370683,"air",1,"Koay_etal_1998_Figure6","heinz1982","secondary","digitised_from_figure",""
"Paraechinus hypomelas","Binocular_field.deg","deg",35,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:hedgehog","primary","published",""
"Paraechinus hypomelas","Sound_localization_threshold.deg","deg",19,"air",1,"Heffner_Heffner_1992_a_Table1","chambers1971","secondary","published",""
"Perodicticus potto","Audible_freq_high_60dB.kHz","kHz",42.276265,"air",1,"Koay_etal_1998_Figure6","heffner1970|h","secondary","digitised_from_figure",""
"Peromyscus maniculatus","Visual_acuity.cdeg","c/deg",0.56,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","rahmann1968|h","secondary","published",""
"Phascolarctos cinereus","Visual_acuity.cdeg","c/deg",2.4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","schmid1992|k","secondary","published",""
"Phoca vitulina","Audible_freq_high_60dB.kHz","kHz",23.211325,"air",1,"Koay_etal_1998_Figure6","mohl1968","secondary","digitised_from_figure",""
"Phoca vitulina","Audible_freq_high_60dB.kHz","kHz",64.02819,"underwater",1,"Koay_etal_1998_Figure6","mohl1968","secondary","digitised_from_figure",""
"Phoca vitulina","Sound_localization_threshold.deg","deg",3.2,"air",1,"Heffner_Heffner_1992_a_Table1","terhune1974","secondary","published",""
"Phoca vitulina","Visual_acuity.cdeg","c/deg",3.6,"air",1,"Heffner_Heffner_1992_a_Table1","schusterman1972","secondary","published",""
"Phyllostomus hastatus","Visual_acuity.cdeg","c/deg",0.167,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","suthers1966|r","secondary","published",""
"Phyllotis darwini","Audible_freq_high_60dB.kHz","kHz",74.015771,"air",1,"Koay_etal_1998_Figure6","mooney1990","secondary","digitised_from_figure",""
"Plecotus auritus","Visual_acuity.cdeg","c/deg",1,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","eklöf2003|j","secondary","published",""
"Pteropus giganteus","Visual_acuity.cdeg","c/deg",1.7,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","müller2007|b","secondary","published",""
"Pteropus poliocephalus","Visual_acuity.cdeg","c/deg",5.5,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","secondary","published",""
