"species_sci","Species","Order","Family","Captive_or_wild","Arboreal_terrestrial","Body_Mass.g","Intermembral_index","Locomotor_diversity_index","Citation"
"Pan paniscus","Pan paniscus","Primates","Hominidae","W","A",39100,102,1.47027618755211,"(Susman, Badrian & Badrian, 1980; Susman, 1984)"
"Pan troglodytes","Pan troglodytes","Primates","Hominidae","W","T",53570,106,0.375029668019445,"(Hunt, 1991)"
"Pan troglodytes","Pan troglodytes","Primates","Hominidae","W","T",53570,106,0.0880625034256728,"(Hunt, 1992)"
"Pan troglodytes","Pan troglodytes","Primates","Hominidae","W","T",53570,106,0.0882463590508036,"(Hunt, 1992)"
"Pan troglodytes","Pan troglodytes","Primates","Hominidae","W","T",53570,106,0.308668325547446,"(Doran & Hunt, 1996)"
"Pan troglodytes","Pan troglodytes","Primates","Hominidae","W","T",53570,106,0.283014430815863,"(Doran & Hunt, 1996)"
"Pan troglodytes","Pan troglodytes","Primates","Hominidae","W","T",53570,106,0.503824234295893,"(Doran & Hunt, 1996)"
"Pan troglodytes","Pan troglodytes","Primates","Hominidae","W","T",53570,106,0.962557200938976,"(Sarringhaus, Maclatchy & Mitani, 2014)"
"Pongo sp.","Pongo abelii","Primates","Hominidae","W","A",57150,139,2.03067787197455,"(Thorpe & Crompton, 2006)"
"Pongo pygmaeus","Pongo pygmaeus","Primates","Hominidae","W","A",56750,139,1.38150120846112,"(Cant, 1987)"
"Pongo pygmaeus","Pongo pygmaeus","Primates","Hominidae","W","A",56750,139,1.47334647078267,"(Sugardjito, 1982)"
"Pongo pygmaeus","Pongo pygmaeus","Primates","Hominidae","W","A",56750,139,1.44966380886263,"(Sugardjito & van Hooff, 1986)"
"Pongo pygmaeus","Pongo pygmaeus","Primates","Hominidae","W","A",56750,139,1.64527536380398,"(Manduell, Morrogh-Bernard & Thorpe, 2011)"
