"Species","Variable","Value","Source"
"Lemur catta","Body weight kg","2.1","Heffner & Masterton 1975 (dexterity)"
"Lemur catta","Largest fiber diameter µm","3","VERHAART, 1966"
"Lemur catta","Penetration down spinal cord","Lower L","VERHAART, 1966"
"Homo sapiens","Species_as_printed","Homo sapiens","Heffner & Masterton 1975 (dexterity)"
"Homo sapiens","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Homo sapiens","Digital dexterity","7","Heffner & Masterton 1975 (dexterity)"
"Homo sapiens","Body weight kg","70","Heffner & Masterton 1975 (dexterity)"
"Homo sapiens","Number of fibers per tract","1101000","LASSEK and RASMUSSEN, 1940"
"Homo sapiens","Largest fiber diameter µm","22","TRUEX and CARPENTER, 1969"
"Homo sapiens","Average fiber size x 10ˆ5 K","1.03","Heffner & Masterton 1975 (dexterity)"
"Homo sapiens","Area of tract mmˆ2","11.43","Heffner & Masterton 1975 (dexterity)"
"Homo sapiens","Penetration down spinal cord","coccygeal","TRUEX and CARPENTER, 1969"
"Scalopus aquaticus","Species_as_printed","Scalopus aquaticus","Heffner & Masterton 1975 (dexterity)"
"Scalopus aquaticus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Scalopus aquaticus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Scalopus aquaticus","Body weight kg","0.1","Heffner & Masterton 1975 (dexterity)"
"Scalopus aquaticus","Largest fiber diameter µm","4","BISHOP et al., 1971"
"Scalopus aquaticus","Area of tract mmˆ2","0.01","Heffner & Masterton 1975 (dexterity)"
"Scalopus aquaticus","Penetration down spinal cord","Upper T","LINOWIECKI, 1914"
"Ateles ater","Species_as_printed","Ateleus ater","Heffner & Masterton 1975 (dexterity)"
"Ateles ater","species_basis","Iwaniuk_etal_1999","Heffner & Masterton 1975 (dexterity)"
"Ateles ater","Digital dexterity","4","Heffner & Masterton 1975 (dexterity)"
"Ateles ater","Body weight kg","6","Heffner & Masterton 1975 (dexterity)"
"Ateles ater","Number of fibers per tract","505000","LASSEK, 1943"
"Ateles ater","Largest fiber diameter µm","12","LASSEK, 1943"
"Ateles ater","Average fiber size x 10ˆ5 K","0.63","Heffner & Masterton 1975 (dexterity)"
"Ateles ater","Area of tract mmˆ2","3.23","Heffner & Masterton 1975 (dexterity)"
"Ateles ater","Penetration down spinal cord","coccygeal","PETRAS, 1968"
"Ateles ater","Lamina of axon terminals deepest","10","PETRAS, 1969"
"Ateles ater","Lamina of axon terminals densest","6","PETRAS, 1968"
"Sapajus apella","Species_as_printed","Cebus apella","Heffner & Masterton 1975 (dexterity)"
"Sapajus apella","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Sapajus apella","Digital dexterity","5","Heffner & Masterton 1975 (dexterity)"
"Sapajus apella","Body weight kg","1.25","Heffner & Masterton 1975 (dexterity)"
"Sapajus apella","Area of tract mmˆ2","2","Heffner & Masterton 1975 (dexterity)"
"Sapajus apella","Penetration down spinal cord","coccygeal","PETRAS, 1968"
"Sapajus apella","Lamina of axon terminals deepest","10","PETRAS, 1969"
