Species,Variable,Value,Teams,n_teams
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,14181.75,Ashwell; Bush; Stephan_collection; Zilles,4
Aotus trivirgatus,Tractus_olfactorius_lateralis_Vol.mm3,13,Stephan_collection,1
Aotus trivirgatus,Trigeminal_motor_nucleus_left_Vol.mm3,0.86,Zilles,1
Aotus trivirgatus,Tuberculum_olfactorium_Vol.mm3,42.3,Stephan_collection,1
Aotus trivirgatus,Ventral_pons_Vol.mm3,112.1,Stephan_collection,1
Aotus trivirgatus,Ventricles_Vol.mm3,105,Stephan_collection,1
Aplodontia rufa,CerebellarCortex_Vol.mm3,657,Ashwell,1
Aplodontia rufa,CerebellarHemisphere_Vol.mm3,351,Ashwell,1
Aplodontia rufa,CerebellarVermis_Vol.mm3,290,Ashwell,1
Aplodontia rufa,Cerebellar_nuclei_total_Vol.mm3,37.3,Ashwell,1
Aplodontia rufa,Cerebellum_Vol.mm3,821,Ashwell,1
Aplodontia rufa,Cerebellum_grey_matter_Vol.mm3,665,Bush,1
Aplodontia rufa,Cerebellum_white_matter_Vol.mm3,131.5,Ashwell; Bush,2
Aplodontia rufa,FlocculonodularLobe_Vol.mm3,16,Ashwell,1
Aplodontia rufa,Neocortex_grey_matter_Vol.mm3,1480,Bush,1
Aplodontia rufa,Neocortex_white_matter_Vol.mm3,376,Bush,1
Aplodontia rufa,Pontine_and_reticulotegmental_nuclei_Vol.mm3,20.8,Ashwell,1
Aplodontia rufa,Total_brain_net_volume_Vol.mm3,4373,Ashwell,1
Applodontia rufa,Neocortex_Vol.mm3,1860,Bush,1
Applodontia rufa,Neocortex_grey_matter_Vol.mm3,1480,Bush,1
Applodontia rufa,Neocortex_white_matter_Vol.mm3,380,Bush,1
Applodontia rufa,Total_brain_net_volume_Vol.mm3,5600,Bush,1
Atelerix algirus,AccessoryOlfactoryBulb_Vol.mm3,1.934,Stephan_collection,1
Atelerix algirus,AccessoryOlfactoryBulb_layer_6_Vol.mm3,0.508,Stephan_collection,1
Atelerix algirus,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,0.676,Stephan_collection,1
Atelerix algirus,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,0.75,Stephan_collection,1
Atelerix algirus,Amygdala_Vol.mm3,101.3,Stephan_collection,1
Atelerix algirus,Body_Mass.g,790,Stephan_collection,1
Atelerix algirus,Brain_Mass.mg,3200,Stephan_collection,1
Atelerix algirus,Bulbus_olfactorius_Vol.mm3,284.5,Stephan_collection,1
Atelerix algirus,Bulbus_olfactorius_accessorius_Vol.mm3,1.93,Stephan_collection,1
Atelerix algirus,Cerebellum_Vol.mm3,358,Stephan_collection,1
Atelerix algirus,Commissura_anterior_Vol.mm3,13.6,Stephan_collection,1
Atelerix algirus,Complexus_centromedialis_Vol.mm3,45.9,Stephan_collection,1
Atelerix algirus,Complexus_corticobasolateralis_Vol.mm3,55.4,Stephan_collection,1
Atelerix algirus,Complexus_sensorius_trigeminalis_Vol.mm3,39.9,Stephan_collection,1
Atelerix algirus,Complexus_vestibularis_Vol.mm3,15.3,Stephan_collection,1
Atelerix algirus,Corpus_geniculatum_laterale_Vol.mm3,5.02,Stephan_collection,1
Atelerix algirus,Corpus_pineal_Vol.mm3,0.297,Stephan_collection,1
Atelerix algirus,Corpus_subcommissurale_Vol.mm3,0.0222,Stephan_collection,1
Atelerix algirus,Corpus_subfornicale_Vol.mm3,0.0621,Stephan_collection,1
Atelerix algirus,Diencephalon_Vol.mm3,246,Stephan_collection,1
Atelerix algirus,Hippocampus_Vol.mm3,227,Stephan_collection,1
Atelerix algirus,Lobus_piriformis_Vol.mm3,459,Stephan_collection,1
Atelerix algirus,Medulla_oblongata_Vol.mm3,336,Stephan_collection,1
Atelerix algirus,Mesencephalon_Vol.mm3,153,Stephan_collection,1
Atelerix algirus,Neocortex_Vol.mm3,500.3,Stephan_collection,1
Atelerix algirus,Neocortex_grey_matter_Vol.mm3,436.7,Stephan_collection,1
Atelerix algirus,Neocortex_lamina_1_Vol.mm3,117,Stephan_collection,1
Atelerix algirus,Neocortex_laminae_2_6_Vol.mm3,319.7,Stephan_collection,1
Atelerix algirus,Neocortex_white_matter_Vol.mm3,63.6,Stephan_collection,1
Atelerix algirus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,7.5,Stephan_collection,1
Atelerix algirus,Nucleus_habenularis_medialis_Vol.mm3,0.93,Stephan_collection,1
Atelerix algirus,Nucleus_septalis_triangularis_Vol.mm3,1.18,Stephan_collection,1
Atelerix algirus,Nucleus_tractus_olfactorius_Vol.mm3,3.1,Stephan_collection,1
Atelerix algirus,Nucleus_vestibularis_descendens_Vol.mm3,4.68,Stephan_collection,1
Atelerix algirus,Nucleus_vestibularis_lateralis_Vol.mm3,2.35,Stephan_collection,1
Atelerix algirus,Nucleus_vestibularis_medialis_Vol.mm3,6.29,Stephan_collection,1
Atelerix algirus,Nucleus_vestibularis_superior_Vol.mm3,1.93,Stephan_collection,1
Atelerix algirus,Palaeocortex_plus_amygdala_Vol.mm3,504,Stephan_collection,1
