Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Callicebus torquatus,locomotion,Locomotor_diversity_index,index,1.29137383119401,1.29137383119401,1,1,1,True,Granatosky,primary,1.29137383119401,1.29137383119401
Callimico goeldii,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Callimico goeldii,manipulation,Extractive_foraging,category,0,,1,1,1,True,Heldstab,primary,,
Callimico goeldii,locomotion,Intermembral_index,ratio,69,69,1,1,1,True,Granatosky,primary,69,69
Callimico goeldii,locomotion,Locomotor_diversity_index,index,1.56568356541191,1.56568356541191,1,1,1,True,Granatosky,primary,1.56568356541191,1.56568356541191
Callimico goeldii,manipulation,Manipulation_complexity,score,1.43,1.43,1,1,1,True,Heldstab,primary,1.43,1.43
Callimico goeldii,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Callimico goeldii,vocalization,VocalRepertoire,count,28,28,1,1,1,True,Schniter,primary,28,28
Callithrix geoffroyi,manipulation,Extractive_foraging,category,1,,1,1,1,True,Heldstab,primary,,
Callithrix geoffroyi,manipulation,Manipulation_complexity,score,1.32,1.32,1,1,1,True,Heldstab,primary,1.32,1.32
Callithrix geoffroyi,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Callithrix jacchus,manipulation,Extractive_foraging,category,1,,1,1,1,True,Heldstab,primary,,
Callithrix jacchus,manipulation,Manipulation_complexity,score,1.33,1.33,1,1,1,True,Heldstab,primary,1.33,1.33
Callithrix jacchus,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Callithrix jacchus,vocalization,VocalRepertoire,count,8,10.5,2,2,1,True,Schniter; ManyPrimates,primary; secondary,8,13
Callithrix pygmaea,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Callithrix pygmaea,locomotion,Intermembral_index,ratio,69,69,1,1,1,True,Granatosky,primary,69,69
Callithrix pygmaea,locomotion,Locomotor_diversity_index,index,1.32325697190067,1.32325697190067,1,1,1,True,Granatosky,primary,1.32325697190067,1.32325697190067
Callithrix pygmaea,vocalization,VocalRepertoire,count,16,16,1,1,1,True,Schniter,primary,16,16
Callorhinus ursinus,dexterity,Dexterity,1-7 scale,1,1,1,1,1,True,Heffner,primary,1,1
Caluromys philander,gait,Duty_Factor,percent,67.03085345,67.03085345,1,1,1,True,Wimberly,primary,67.03085345,67.03085345
Caluromys philander,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Caluromys philander,gait,Gait,category,DSDC,,1,1,1,True,Wimberly,primary,,
Caluromys philander,locomotion,Locomotor_diversity_index,index,1.15402168831365,1.15402168831365,1,1,1,True,Granatosky,primary,1.15402168831365,1.15402168831365
Caluromys philander,gait,Phase,percent,58,58,1,1,1,True,Wimberly,primary,58,58
Camelus,dexterity,Dexterity,1-7 scale,1,1,1,1,1,True,Heffner,primary,1,1
Camelus bactrianus,gait,Duty_Factor,percent,72,72,1,1,1,True,Wimberly,primary,72,72
Camelus bactrianus,gait,Foot_Posture,category,digitigrade,,1,1,1,True,Wimberly,primary,,
Camelus bactrianus,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Camelus bactrianus,gait,Phase,percent,21,21,1,1,1,True,Wimberly,primary,21,21
Camelus dromedarius,gait,Duty_Factor,percent,75.01622323,75.01622323,1,1,1,True,Wimberly,primary,75.01622323,75.01622323
Camelus dromedarius,gait,Foot_Posture,category,digitigrade,,1,1,1,True,Wimberly,primary,,
Camelus dromedarius,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Camelus dromedarius,gait,Phase,percent,22.78823,22.78823,1,1,1,True,Wimberly,primary,22.78823,22.78823
Canis aureus,gait,Duty_Factor,percent,73.28703704,73.28703704,1,1,1,True,Wimberly,primary,73.28703704,73.28703704
Canis aureus,gait,Foot_Posture,category,digitigrade,,1,1,1,True,Wimberly,primary,,
Canis aureus,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Canis aureus,gait,Phase,percent,24.25926,24.25926,1,1,1,True,Wimberly,primary,24.25926,24.25926
Canis latrans,dexterity,Dexterity,1-7 scale,2,2,2,2,1,True,Heffner; Iwaniuk,primary; secondary,2,2
Canis lupus,gait,Duty_Factor,percent,60.34,60.34,1,1,1,True,Wimberly,primary,60.34,60.34
Canis lupus,gait,Foot_Posture,category,digitigrade,,1,1,1,True,Wimberly,primary,,
Canis lupus,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Canis lupus,gait,Phase,percent,18.965,18.965,1,1,1,True,Wimberly,primary,18.965,18.965
Capra aegagrus,gait,Duty_Factor,percent,72,72,1,1,1,True,Wimberly,primary,72,72
Capra aegagrus,gait,Foot_Posture,category,unguligrade,,1,1,1,True,Wimberly,primary,,
Capra aegagrus,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Capra aegagrus,gait,Phase,percent,23,23,1,1,1,True,Wimberly,primary,23,23
Capra hircus,dexterity,Dexterity,1-7 scale,1,1,2,2,1,True,Heffner; Iwaniuk,primary; secondary,1,1
Caracal caracal,gait,Duty_Factor,percent,65.76364335,65.76364335,1,1,1,True,Wimberly,primary,65.76364335,65.76364335
Caracal caracal,gait,Foot_Posture,category,digitigrade,,1,1,1,True,Wimberly,primary,,
Caracal caracal,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Caracal caracal,gait,Phase,percent,20.07495141,20.07495141,1,1,1,True,Wimberly,primary,20.07495141,20.07495141
Carlito syrichta,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Carlito syrichta,locomotion,Intermembral_index,ratio,58,58,1,1,1,True,Granatosky,primary,58,58
Carlito syrichta,locomotion,Locomotor_diversity_index,index,1.05168775175858,1.05168775175858,1,1,1,True,Granatosky,primary,1.05168775175858,1.05168775175858
Castor canadensis,dexterity,Dexterity,1-7 scale,3,3,1,1,1,True,Heffner,primary,3,3
Castor canadensis,gait,Duty_Factor,percent,74.15624349,74.15624349,1,1,1,True,Wimberly,primary,74.15624349,74.15624349
Castor canadensis,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Castor canadensis,gait,Gait,category,LSDC,,1,1,1,True,Wimberly,primary,,
Castor canadensis,gait,Phase,percent,36.6823,36.6823,1,1,1,True,Wimberly,primary,36.6823,36.6823
Cavia aperea,dexterity,Dexterity,1-7 scale,2,2,1,1,1,True,Heffner,primary,2,2
Cebus capucinus,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Cebus capucinus,gait,Duty_Factor,percent,59.37513743,59.37513743,1,1,1,True,Wimberly,primary,59.37513743,59.37513743
Cebus capucinus,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Cebus capucinus,gait,Gait,category,DSDC,,1,1,1,True,Wimberly,primary,,
Cebus capucinus,locomotion,Intermembral_index,ratio,81,81,1,1,1,True,Granatosky,primary,81,81
Cebus capucinus,locomotion,Locomotor_diversity_index,index,1.17177927393802,1.17177927393802,1,1,1,True,Granatosky,primary,1.17177927393802,1.17177927393802
Cebus capucinus,gait,Phase,percent,62.83883438,62.83883438,1,1,1,True,Wimberly,primary,62.83883438,62.83883438
Cebus capucinus,vocalization,VocalRepertoire,count,27,27,1,1,0,False,ManyPrimates,secondary,27,27
Cebus olivaceus,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Cebus olivaceus,locomotion,Intermembral_index,ratio,83,83,1,1,1,True,Granatosky,primary,83,83
Cebus olivaceus,locomotion,Locomotor_diversity_index,index,1.7365976046442,1.7365976046442,1,1,1,True,Granatosky,primary,1.7365976046442,1.7365976046442
Cebus olivaceus,vocalization,VocalRepertoire,count,11,11,1,1,1,True,Schniter,primary,11,11
Cephalophus natalensis,gait,Duty_Factor,percent,60,60,1,1,1,True,Wimberly,primary,60,60
Cephalophus natalensis,gait,Foot_Posture,category,unguligrade,,1,1,1,True,Wimberly,primary,,
Cephalophus natalensis,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Cephalophus natalensis,gait,Phase,percent,22.5,22.5,1,1,1,True,Wimberly,primary,22.5,22.5
Cephalophus silvicultor,gait,Duty_Factor,percent,67.2,67.2,1,1,1,True,Wimberly,primary,67.2,67.2
Cephalophus silvicultor,gait,Foot_Posture,category,unguligrade,,1,1,1,True,Wimberly,primary,,
Cephalophus silvicultor,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Cephalophus silvicultor,gait,Phase,percent,23.12,23.12,1,1,1,True,Wimberly,primary,23.12,23.12
Ceratotherium simum,gait,Duty_Factor,percent,68,68,1,1,1,True,Wimberly,primary,68,68
Ceratotherium simum,gait,Foot_Posture,category,digitigrade,,1,1,1,True,Wimberly,primary,,
Ceratotherium simum,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Ceratotherium simum,gait,Phase,percent,21,21,1,1,1,True,Wimberly,primary,21,21
Cercocebus atys,locomotion,Arboreal_terrestrial,category,T,,1,1,1,True,Granatosky,primary,,
Cercocebus atys,manipulation,Extractive_foraging,category,0,,1,1,1,True,Heldstab,primary,,
Cercocebus atys,locomotion,Locomotor_diversity_index,index,0.643896378966053,0.643896378966053,1,1,1,True,Granatosky,primary,0.643896378966053,0.643896378966053
Cercocebus atys,manipulation,Manipulation_complexity,score,2.24,2.24,1,1,1,True,Heldstab,primary,2.24,2.24
Cercocebus atys,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Cercocebus torquatus,handedness,Handedness_index_mean,HI,-0.029,-0.029,1,1,1,True,Caspar,primary,-0.029,-0.029
Cercocebus torquatus,handedness,Handedness_strength_mean,abs(HI),0.665,0.665,1,1,1,True,Caspar,primary,0.665,0.665
Cercocebus torquatus,vocalization,VocalRepertoire,count,8,8,1,1,1,True,Schniter,primary,8,8
Cercopithecus ascanius,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Cercopithecus ascanius,locomotion,Intermembral_index,ratio,79,79,1,1,1,True,Granatosky,primary,79,79
Cercopithecus ascanius,locomotion,Locomotor_diversity_index,index,1.30149934390842,1.30149934390842,1,1,1,True,Granatosky,primary,1.30149934390842,1.30149934390842
Cercopithecus campbelli,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Cercopithecus campbelli,locomotion,Locomotor_diversity_index,index,0.863629884719384,0.863629884719384,1,1,1,True,Granatosky,primary,0.863629884719384,0.863629884719384
Cercopithecus campbelli lowei,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Cercopithecus campbelli lowei,locomotion,Locomotor_diversity_index,index,1.30031419276679,1.30031419276679,1,1,1,True,Granatosky,primary,1.30031419276679,1.30031419276679
Cercopithecus cephus,vocalization,VocalRepertoire,count,16,16,1,1,1,True,Schniter,primary,16,16
Cercopithecus diana,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Cercopithecus diana,manipulation,Extractive_foraging,category,0,,1,1,1,True,Heldstab,primary,,
Cercopithecus diana,handedness,Handedness_index_mean,HI,0.178,0.178,1,1,1,True,Caspar,primary,0.178,0.178
Cercopithecus diana,handedness,Handedness_strength_mean,abs(HI),0.755,0.755,1,1,1,True,Caspar,primary,0.755,0.755
Cercopithecus diana,locomotion,Intermembral_index,ratio,79,79,1,1,1,True,Granatosky,primary,79,79
Cercopithecus diana,locomotion,Locomotor_diversity_index,index,1.11068369147808,1.11068369147808,1,1,1,True,Granatosky,primary,1.11068369147808,1.11068369147808
Cercopithecus diana,manipulation,Manipulation_complexity,score,2.03,2.03,1,1,1,True,Heldstab,primary,2.03,2.03
Cercopithecus diana,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Cercopithecus diana,vocalization,VocalRepertoire,count,4,4,1,1,0,False,ManyPrimates,secondary,4,4
Cercopithecus hamlyni,manipulation,Extractive_foraging,category,0,,1,1,1,True,Heldstab,primary,,
Cercopithecus hamlyni,manipulation,Manipulation_complexity,score,3.84,3.84,1,1,1,True,Heldstab,primary,3.84,3.84
Cercopithecus hamlyni,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Cercopithecus lhoesti,manipulation,Extractive_foraging,category,1,,1,1,1,True,Heldstab,primary,,
Cercopithecus lhoesti,manipulation,Manipulation_complexity,score,2.77,2.77,1,1,1,True,Heldstab,primary,2.77,2.77
Cercopithecus lhoesti,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Cercopithecus mitis,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Cercopithecus mitis,locomotion,Intermembral_index,ratio,82,82,1,1,1,True,Granatosky,primary,82,82
Cercopithecus mitis,locomotion,Locomotor_diversity_index,index,1.11414224879738,1.11414224879738,1,1,1,True,Granatosky,primary,1.11414224879738,1.11414224879738
