"registry_key","Citation (APA 7th-Annotated)","sequence","DOI if different from article or doi Alt","Item number","1st Author","other author(s)","year","Publication name","DOI (or Alt)","Item name","Item encoded","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","Item full original title","Source format","N.B.","Progress stage","Snapshot name if unchanged","Source URL link","Flags pre-addressed","Flags possible","Flags active (skips)","Topic","Taxon","Main Trait(s)","Other Trait(s)","Material type (e.g. histological, MRI)","Method","Measure type","Team","Collection","Data role (primary/secondary/both)","Source (if secondary)","recommendation"
"Karbowski__2007_TableS11","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S11","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS11","10.1186%2F1741-7007-5-18_TableS11","10.1186%2F1741-7007-5-18_TableS11.tsv","Table S11. Cerebral cortex average glucose utilization rate in mammals. Data for Fig. 2E in the main text.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS12","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S12","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS12","10.1186%2F1741-7007-5-18_TableS12","10.1186%2F1741-7007-5-18_TableS12.tsv","Table S12. Cerebral cortex average glucose utilization rate in mammals. Data for Fig. S1 in the Supplementary Information.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS13","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S13","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS13","10.1186%2F1741-7007-5-18_TableS13","10.1186%2F1741-7007-5-18_TableS13.tsv","Table S13. Thalamus glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS14","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S14","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS14","10.1186%2F1741-7007-5-18_TableS14","10.1186%2F1741-7007-5-18_TableS14.tsv","Table S14. Cerebellum glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS15","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S15","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS15","10.1186%2F1741-7007-5-18_TableS15","10.1186%2F1741-7007-5-18_TableS15.tsv","Table S15. Hypothalamus glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS16","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S16","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS16","10.1186%2F1741-7007-5-18_TableS16","10.1186%2F1741-7007-5-18_TableS16.tsv","Table S16. Hippocampus glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS17","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S17","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS17","10.1186%2F1741-7007-5-18_TableS17","10.1186%2F1741-7007-5-18_TableS17.tsv","Table S17. Amygdala glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS18","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S18","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS18","10.1186%2F1741-7007-5-18_TableS18","10.1186%2F1741-7007-5-18_TableS18.tsv","Table S18. Septum glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS19","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S19","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS19","10.1186%2F1741-7007-5-18_TableS19","10.1186%2F1741-7007-5-18_TableS19.tsv","Table S19. Caudate glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS2","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S2","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS2","10.1186%2F1741-7007-5-18_TableS2","10.1186%2F1741-7007-5-18_TableS2.tsv","Table S2. Brain glucose utilization data in adult awake unanesthetized animals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS20","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S20","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS20","10.1186%2F1741-7007-5-18_TableS20","10.1186%2F1741-7007-5-18_TableS20.tsv","Table S20. Substantia nigra glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS21","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S21","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS21","10.1186%2F1741-7007-5-18_TableS21","10.1186%2F1741-7007-5-18_TableS21.tsv","Table S21. Globus pallidus glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS22","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S22","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS22","10.1186%2F1741-7007-5-18_TableS22","10.1186%2F1741-7007-5-18_TableS22.tsv","Table S22. Brainstem glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS23","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S23","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS23","10.1186%2F1741-7007-5-18_TableS23","10.1186%2F1741-7007-5-18_TableS23.tsv","Table S23. White matter glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS3","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S3","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS3","10.1186%2F1741-7007-5-18_TableS3","10.1186%2F1741-7007-5-18_TableS3.tsv","Table S3. Visual cortex glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS4","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S4","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS4","10.1186%2F1741-7007-5-18_TableS4","10.1186%2F1741-7007-5-18_TableS4.tsv","Table S4. Prefrontal cortex glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS5","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S5","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS5","10.1186%2F1741-7007-5-18_TableS5","10.1186%2F1741-7007-5-18_TableS5.tsv","Table S5. Frontal cortex glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS6","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S6","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS6","10.1186%2F1741-7007-5-18_TableS6","10.1186%2F1741-7007-5-18_TableS6.tsv","Table S6. Cingulate cortex glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS7","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S7","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS7","10.1186%2F1741-7007-5-18_TableS7","10.1186%2F1741-7007-5-18_TableS7.tsv","Table S7. Temporal cortex glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS8","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S8","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS8","10.1186%2F1741-7007-5-18_TableS8","10.1186%2F1741-7007-5-18_TableS8.tsv","Table S8. Sensorimotor cortex glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karbowski__2007_TableS9","Karbowski, J. (2007). Global and regional brain metabolic scaling and its functional consequences. BMC Biol, 5, 18. https://doi.org/10.1186/1741-7007-5-18","","","Table S9","Karbowski","","2007","Karbowski__2007","10.1186%2F1741-7007-5-18","Karbowski__2007_TableS9","10.1186%2F1741-7007-5-18_TableS9","10.1186%2F1741-7007-5-18_TableS9.tsv","Table S9. Occipital cortex glucose utilization rate in mammals.","table","","FINISHED","","","","","","","Mammals","brain glucose metabolism","","","","metabolic rate","","","secondary","",""
"Karl_etal_2024_TABLE1","Karl, M. T., Kim, Y. D., Rajendran, K., Manger, P. R., & Sherwood, C. C. (2024). Invariance of Mitochondria and Synapses in the Primary Visual Cortex of Mammals Provides Insight Into Energetics and Function. J Comp Neurol, 532(9), e25669. https://doi.org/10.1002/cne.25669","","","TABLE 1","Karl","etal","2024","Karl_etal_2024","10.1002%2Fcne.25669","Karl_etal_2024_TABLE1","10.1002%2Fcne.25669_TABLE1","10.1002%2Fcne.25669_TABLE1.tsv","TABLE 1 Dataset used in this study.","table","","FINISHED","","","","","","","Mammals","synapse density","","","","synapse density","","","primary","",""
"Kaskan_etal_2005_Figure2","Kaskan, P. M., Franco, E. C., Yamada, E. S., Silveira, L. C., Darlington, R. B., & Finlay, B. L. (2005). Peripheral variability and central constancy in mammalian visual system evolution. Proc Biol Sci, 272(1558), 91-100. https://doi.org/10.1098/rspb.2004.2925","","","Figure 2","Kaskan","etal","2005","Kaskan_etal_2005","10.1098%2Frspb.2004.2925","Kaskan_etal_2005_Figure2","10.1098%2Frspb.2004.2925_Figure2","notfound","Figure 2. Cortical area scaling.","","","","","","","","","","","","","","","","","","","",""
"Kaskan_etal_2005_Figure3","Kaskan, P. M., Franco, E. C., Yamada, E. S., Silveira, L. C., Darlington, R. B., & Finlay, B. L. (2005). Peripheral variability and central constancy in mammalian visual system evolution. Proc Biol Sci, 272(1558), 91-100. https://doi.org/10.1098/rspb.2004.2925","","","Figure 3","Kaskan","etal","2005","Kaskan_etal_2005","10.1098%2Frspb.2004.2925","Kaskan_etal_2005_Figure3","10.1098%2Frspb.2004.2925_Figure3","notfound","Figure 3. Visual cortical scaling in nocturnal and diurnal species.","","","","","","","","","","","","","","","","","","","",""
"Kaufman__2004_TableA1","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A1","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA1","UMI%3A3147447_TableA1","UMI%3A3147447_TableA1.tsv","Table A1. Basal Ganglia rCMR and rCBF (units: Glucose & Oxygen umol/lOOg/min, Blood flow ml/lOOg/min)","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA10","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A10","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA10","UMI%3A3147447_TableA10","UMI%3A3147447_TableA10.tsv","Table A10. Auditory Cortex rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA11","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A11","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA11","UMI%3A3147447_TableA11","UMI%3A3147447_TableA11.tsv","Table A11. Occipital Cortex rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA12","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A12","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA12","UMI%3A3147447_TableA12","UMI%3A3147447_TableA12.tsv","Table A12. Sensorimotor Cortex rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA13","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A13","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA13","UMI%3A3147447_TableA13","UMI%3A3147447_TableA13.tsv","Table A13. Cingulate Cortex rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA14","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A14","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA14","UMI%3A3147447_TableA14","UMI%3A3147447_TableA14.tsv","Table A14. Whole Brain CM R and CBF (direct measurement)","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA15","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A15","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA15","UMI%3A3147447_TableA15","UMI%3A3147447_TableA15.tsv","Table A15. Species Means in Conscious Subjects","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA2","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A2","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA2","UMI%3A3147447_TableA2","UMI%3A3147447_TableA2.tsv","Table A2. Hippocampus rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA3","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A3","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA3","UMI%3A3147447_TableA3","UMI%3A3147447_TableA3.tsv","Table A3. Thalamus rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA4","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A4","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA4","UMI%3A3147447_TableA4","UMI%3A3147447_TableA4.tsv","Table A4. Cerebellum rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA5","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A5","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA5","UMI%3A3147447_TableA5","UMI%3A3147447_TableA5.tsv","Table A5. White Matter rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA6","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A6","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA6","UMI%3A3147447_TableA6","UMI%3A3147447_TableA6.tsv","Table A6. Neocortex rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA7","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A7","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA7","UMI%3A3147447_TableA7","UMI%3A3147447_TableA7.tsv","Table A7. Frontal Cortex rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA8","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A8","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA8","UMI%3A3147447_TableA8","UMI%3A3147447_TableA8.tsv","Table A8. Parietal Cortex rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kaufman__2004_TableA9","Kaufman, J. A. (2004). Pattern and scaling of regional cerebral glucose metabolism in mammals (Publication No. 3147447) [Doctoral dissertation, Washington University in St. Louis]. ProQuest Dissertations & Theses Global.","","UMI:3147447","Table A9","Kaufman","","2004","Kaufman__2004","UMI%3A3147447","Kaufman__2004_TableA9","UMI%3A3147447_TableA9","UMI%3A3147447_TableA9.tsv","Table A9. Temporal Cortex rCMR and rCBF","table","","FINISHED","","","","","","","Mammals","brain/body scaling","","","","metabolic / brain-body scaling","","","secondary","",""
"Kazu_etal_2014_Table1","Kazu, R. S., Maldonado, J., Mota, B., Manger, P. R., & Herculano-Houzel, S. (2014). Cellular scaling rules for the brain of Artiodactyla include a highly folded cortex with few neurons. Front Neuroanat, 8, 128. https://doi.org/10.3389/fnana.2014.00128","","","Table 1","Kazu","etal","2014","Kazu_etal_2014","10.3389%2Ffnana.2014.00128","Kazu_etal_2014_Table1","10.3389%2Ffnana.2014.00128_Table1","10.3389%2Ffnana.2014.00128_Table1.tsv","","table","","FINISHED","","","","","superseded by Kazu_etal_2015_TABLE1 - do not merge","","Artiodactyla","cellular composition of artiodactyl brains, by sub-structure","","","isotropic fractionator","cell count","HH","","primary","","5 species x 46 columns. DO NOT MERGE AS BUILT. (1) All five species are already in cellcounts_wide.csv from HerculanoHouzel_etal_2015_Table1-5, at full precision. (2) This is the 2014 printing; the 2015 corrigendum changes 71 of 195 cells (36%), including N_BR for every species - N_BR = N_CXT+N_CB+N_RoB fails for 4/5 here and the corrigendum's values are what make it hold. What this table genuinely adds is the SUB-STRUCTURES (hippocampus, cortical grey, diencephalon+basal ganglia, mesencephalon, pons+medulla), and 9 of those cells also changed - so they should come from a Kazu_etal_2015_ build, not from here."
"Kazu_etal_2015_TABLE1","Kazu, R. S., Maldonado, J., Mota, B., Manger, P. R., & Herculano-Houzel, S. (2015). Corrigendum: Cellular scaling rules for the brain of Artiodactyla include a highly folded cortex with few neurons [General Commentary]. Frontiers in Neuroanatomy, Volume 9 - 2015. https://doi.org/10.3389/fnana.2015.00039","","","TABLE 1","Kazu","etal","2015","Kazu_etal_2015","10.3389%2Ffnana.2015.00039","Kazu_etal_2015_TABLE1","10.3389%2Ffnana.2015.00039_TABLE1","10.3389%2Ffnana.2015.00039_TABLE1.tsv","TABLE1 | Cellular composition of Artiodactyla brains.","table","","FINISHED","","","","","","","Artiodactyla","cellular composition of artiodactyl brains, by sub-structure (corrected)","","","isotropic fractionator","cell count","HH","","primary","","SUPERSEDES Kazu_etal_2014_Table1 - use this one. The corrigendum moved the hippocampus out of rest-of-brain into cerebral cortex (4 species) and added it for Damaliscus; 71 of the 184 cells present in both printings changed (39%). Full diff in Kazu_etal_2015/comparison/Kazu_etal_2015_TABLE1_vs_Kazu_2014_report.csv. The 2014 check that N_BR = N_CXT+N_CB+N_RoB failed by -0.4% to -22% now closes to +/-0.27% (printed rounding). LIVE in cellcounts_compiled.R since 2026-08-06: HH-team work, so sec 8.2.H's team rule (priority by date then n species) de-duplicates it automatically - no manual column filtering. Kazu 2015 ties HH 2015 on date, so HH takes the 80 shared species x variable pairs and Kazu fills 87 sub-structure + 21 whole-structure gaps; 0 of the 80 overlaps differ by more than 2%."
"Kirk_Kay_2004_Table1","Kirk, E., & Kay, R. (2004). The evolution of high visual acuity in the Anthropoidea. In C. Ross & R. Kay (Eds.), Anthropoid origins: new visions (pp. 539–602). Kluwer Academic/Plenum Publishers. https://doi.org/10.1007/978-1-4419-8873-7_20","","","Table 1","Kirk","Kay","2004","Kirk_Kay_2004","10.1007%2F978-1-4419-8873-7_20","Kirk_Kay_2004_Table1","10.1007%2F978-1-4419-8873-7_20_Table1","10.1007%2F978-1-4419-8873-7_20_Table1.tsv","Table 1. Behavioral measurements of visual acuity in various mammalian taxa","","","","","","","","","","","","","","","","","","","",""
"Kirk_Kay_2004_Table2","Kirk, E., & Kay, R. (2004). The evolution of high visual acuity in the Anthropoidea. In C. Ross & R. Kay (Eds.), Anthropoid origins: new visions (pp. 539–602). Kluwer Academic/Plenum Publishers. https://doi.org/10.1007/978-1-4419-8873-7_20","","","Table 2","Kirk","Kay","2004","Kirk_Kay_2004","10.1007%2F978-1-4419-8873-7_20","Kirk_Kay_2004_Table2","10.1007%2F978-1-4419-8873-7_20_Table2","10.1007%2F978-1-4419-8873-7_20_Table2.tsv","Table 2. Anatomical estimates of visual acuity in various mammalian taxa","","","","","","","","","","","","","","","","","","","",""
"Koay_etal_1998_Figure6","Koay, G., Heffner, R. S., & Heffner, H. E. (1998). Hearing in a megachiropteran fruit bat (Rousettus aegyptiacus). J Comp Psychol, 112(4), 371-382. https://doi.org/10.1037/0735-7036.112.4.371","","","Figure 6","Koay","etal","1998","Koay_etal_1998","10.1037%2F0735-7036.112.4.371","Koay_etal_1998_Figure6","10.1037%2F0735-7036.112.4.371_Figure6","10.1037%2F0735-7036.112.4.371_Figure6.tsv","","","","","","","","","","","","","","","","","","","","",""
"Kochiyama_etal_2018_ExtendedDataFigure4","Kochiyama, T., Ogihara, N., Tanabe, H. C., Kondo, O., Amano, H., Hasegawa, K., Suzuki, H., Ponce de Leon, M. S., Zollikofer, C. P. E., Bastir, M., Stringer, C., Sadato, N., & Akazawa, T. (2018). Reconstructing the Neanderthal brain using computational anatomy. Sci Rep, 8(1), 6296. https://doi.org/10.1038/s41598-018-24331-0","","","Extended Data Figure 4","Kochiyama","etal","2018","Kochiyama_etal_2018","10.1038%2Fs41598-018-24331-0","Kochiyama_etal_2018_ExtendedDataFigure4","10.1038%2Fs41598-018-24331-0_ExtendedDataFigure4","10.1038%2Fs41598-018-24331-0_ExtendedDataFigure4.tsv","Extended Data Figure 4  Comparisons of the relative volumes of the parcellated brain regions among NT, EH and MH, assuming that the variation within NT and EH was equivalent to that of MH.","figure","","FINISHED","","","","","","","","","","","","","","","","",""
"Kochiyama_etal_2018_ExtendedDataTable1","Kochiyama, T., Ogihara, N., Tanabe, H. C., Kondo, O., Amano, H., Hasegawa, K., Suzuki, H., Ponce de Leon, M. S., Zollikofer, C. P. E., Bastir, M., Stringer, C., Sadato, N., & Akazawa, T. (2018). Reconstructing the Neanderthal brain using computational anatomy. Sci Rep, 8(1), 6296. https://doi.org/10.1038/s41598-018-24331-0","","","Extended Data Table 1","Kochiyama","etal","2018","Kochiyama_etal_2018","10.1038%2Fs41598-018-24331-0","Kochiyama_etal_2018_ExtendedDataTable1","10.1038%2Fs41598-018-24331-0_ExtendedDataTable1","10.1038%2Fs41598-018-24331-0_ExtendedDataTable1.tsv","Extended Data Table 1 Correspondence between the AAL atlas and the parcellated brain regions","table","","FINISHED","","","","","","","","","","","","","","","","",""
