source,Domain,Standardized_Term,Species,Value
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Mephitis mephitis,74.17
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Equus asinus,73
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Zaglossus bruijni,67.1637005
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Canis aureus,73.28703704
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Paradoxurus hermaphroditus,74.45999999999999
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Equus caballus,67
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Equus burchelli,67
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Pecari tajacu,65.17137097
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Leptailurus serval,58.31083859
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Muntiacus muntjak,67.63833992000001
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Cephalophus silvicultor,67.2
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Capra aegagrus,72
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Camelus dromedarius,75.01622322999999
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Nasua nasua,70.51411278
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Cephalophus natalensis,60
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Vombatus ursinus,67.33333333
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Dendrohyrax arboreus,55.55
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Dendrolagus goodfellowi,68
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Tapirus bairdii,65.0060024
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Felis catus,63.8762843
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ovis canadensis,59.44028095
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Nandinia binotata,58.93
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Arctictis binturong,70.64
