status,species_key,species_snapshot,species_csv,species_csv_updated,n_structure_mismatch,BOL_snap,RB_snap,PRPI_snap,TOL_snap,TRL_snap,COA_snap,SIN_snap,BOL_csv,RB_csv,PRPI_csv,TOL_csv,TRL_csv,COA_csv,SIN_csv,BOL_match,RB_match,PRPI_match,TOL_match,TRL_match,COA_match,SIN_match
matched_by_species,suncus murinus,Suncus murinus,Suncus murinus,Suncus murinus,0,36,7.2,28.6,6.6,1.3,0.98,1.6,36,7.2,28.6,6.6,1.3,0.98,1.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,sylvisorex granti,Sylvisorex granti,Sylvisorex granti,Sylvisorex granti,0,15.4,3.3,14.1,4.4,0.56,0.5700000000000001,0.49,15.4,3.3,14.1,4.4,0.56,0.5700000000000001,0.49,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,sylvisorex negalura,Sylvisorex negalura,NA,NA,7,16.6,3.2,15.3,4.8,0.55,0.55,0.5,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,talpa europaea,Talpa europaea,Talpa europaea,Talpa europaea,0,59.6,11.7,45.4,19.1,2.5,4,2.9,59.6,11.7,45.4,19.1,2.5,4,2.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,tarsius sp,Tarsius sp.,NA,NA,7,18.8,2.9,16.3,8.3,0.99,5.6,5.2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,tarsius spp,NA,Tarsius spp.,Tarsius sp.,7,NA,NA,NA,NA,NA,NA,NA,18.8,2.9,16.3,8.3,0.99,5.6,5.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,0,313.7,50.1,225.5,51,15.1,24.1,9.8,313.7,50.1,225.5,51,15.1,24.1,9.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,tupaia glis,Tupaia glis,Tupaia glis,Tupaia glis,0,131.6,29,104.7,28.3,7.2,7.1,5.3,131.6,29,104.7,28.3,7.2,7.1,5.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,tupaia minor,Tupaia minor,Tupaia minor,Tupaia minor,0,94.3,22.8,81.2,20.2,4.8,4,4.9,94.3,22.8,81.2,20.2,4.8,4,4.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,urogale everetti,Urogale everetti,Urogale everetti,Urogale everetti,0,184.2,37.5,137.8,51.4,12.8,12.1,4.9,184.2,37.5,137.8,51.4,12.8,12.1,4.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,varecia variegata,Varecia variegata,Varecia variegata,Varecia variegata,0,369,66.4,307.8,128.1,21.5,35.1,57.8,369,66.4,307.8,128.1,21.5,35.1,57.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
