"species_sci"	"Species"	"Order"	"Habitat"	"Duty_Factor"	"Phase"	"Gait"	"Foot_Posture"	"Hindlimb_Length.mm"	"Body_Mass.g"
"Orycteropus afer"	"Orycteropus afer"	"Afrotheria"	"terrestrial"	69.98224148	49.46041	"LSDC"	"digitigrade"	442	56175.2
"Choloepus didactylus"	"Choloepus didactylus"	"Pilosa"	"arboreal"	72.63339384	49.43348146	"LSDC"	"plantigrade"	382.99	6646.5
"Pan troglodytes"	"Pan troglodytes"	"Primates"	"terrestrial"	62.77777778	48.05556	"LSDC"	"plantigrade"	643.14	45000
"Monodelphis domestica"	"Monodelphis domestica"	"Didelphimorphia"	"terrestrial"	68.60473333	46.31073333	"LSDC"	"plantigrade"	56.19	70
"Phascolarctos cinereus"	"Phascolarctos cinereus"	"Diprotodontia"	"arboreal"	69.69869844	45.50568	"LSDC"	"plantigrade"	267.58	6528.74
"Hippopotamus amphibius"	"Hippopotamus amphibius"	"Artiodactyla"	"terrestrial"	76	45	"LSDC"	"digitigrade"	857.47	1536310.4
"Mesocricetus auratus"	"Mesocricetus auratus"	"Rodentia"	"terrestrial"	70	45	"LSDC"	"plantigrade"	65.02	98.6
"Petaurus breviceps"	"Petaurus breviceps"	"Diprotodontia"	"arboreal"	61.5	45	"LSDC"	"plantigrade"	77.818	120.76
"Chiropotes satanas"	"Chiropotes satanas"	"Primates"	"arboreal"	66.84392775	44.79006856	"LSDC"	"plantigrade"	291.38	2967.27
"Ornithorhynchus anatinus"	"Ornithorhynchus anatinus"	"Monotremata"	"terrestrial"	58.59656149	44.35640697	"LSDC"	"plantigrade"	157.79	1484.25
"Gorilla gorilla"	"Gorilla gorilla"	"Primates"	"terrestrial"	61.54791155	43.42752	"LSDC"	"plantigrade"	753.32	112588.99
"Oreotragus oreotragus"	"Oreotragus oreotragus"	"Artiodactyla"	"terrestrial"	64.28571429	42.85714	"LSDC"	"unguligrade"	409	13486.55
