"species_sci"	"Binomial"	"order"	"family"	"genus"	"species"	"Sample_size.brain"	"Sample_size.body"	"Sex"	"Mean_brain_mass_g"	"Mean_body_mass_g"	"BrainReference1"	"BrainReference2"	"Brain.resid"	"T_resid"
"Potorous tridactylus"	"Potorous_tridactylus"	"Diprotodontia"	"Potoroidae"	"Potorous"	"tridactylus"	"12"	NA	"Both"	"9.53"	"1100"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.041996373"	"0.139461945"
"Phalanger vestitus"	"Phalanger_vestitus"	"Diprotodontia"	"Phalangeridae"	"Phalanger"	"vestitus"	"10"	NA	"Both"	"9.54"	"1850"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.210876739"	"-0.002179698"
"Bettongia penicillata"	"Bettongia_penicillata"	"Diprotodontia"	"Potoroidae"	"Bettongia"	"penicillata"	"9"	NA	"Both"	"9.56"	"1300"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.095044882"	"0.095166186"
"Phalanger sericeus"	"Phalanger_sericeus"	"Diprotodontia"	"Phalangeridae"	"Phalanger"	"sericeus"	"10"	NA	"Both"	"9.96"	"2003"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.218047929"	"-0.005187583"
"Wyulda squamicaudata"	"Wyulda_squamicaudata"	"Diprotodontia"	"Phalangeridae"	"Wyulda"	"squamicaudata"	"1"	NA	"Both"	"10.1"	"1675"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.153735754"	"0.049754695"
"Onychogalea lunata"	"Onychogalea_lunata"	"Diprotodontia"	"Macropodidae"	"Onychogalea"	"lunata"	"3"	NA	"Both"	"10.2"	"3500"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.389499089"	"-0.147396371"
"Bettongia lesueur"	"Bettongia_lesueur"	"Diprotodontia"	"Potoroidae"	"Bettongia"	"lesueur"	"1"	NA	"Both"	"10.5"	"1300"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.054313475"	"0.135897593"
"Petrogale concinna"	"Petrogale_concinna"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"concinna"	"1"	NA	"Both"	"11"	"1350"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.046403014"	"0.145785447"
"Trichosurus vulpecula"	"Trichosurus_vulpecula"	"Diprotodontia"	"Phalangeridae"	"Trichosurus"	"vulpecula"	"16"	NA	"Both"	"11"	"2600"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.259884663"	"-0.033356351"
"Bettongia gaimardi"	"Bettongia_gaimardi"	"Diprotodontia"	"Potoroidae"	"Bettongia"	"gaimardi"	"5"	NA	"Both"	"11.7"	"1660"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.086941197"	"0.116077932"
"Dorcopsulus vanheurni"	"Dorcopsulus_vanheurni"	"Diprotodontia"	"Macropodidae"	"Dorcopsulus"	"vanheurni"	"5"	NA	"Both"	"11.8"	"1696.5"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.090329448"	"0.11382925"
"Trichosurus caninus"	"Trichosurus_caninus"	"Diprotodontia"	"Phalangeridae"	"Trichosurus"	"caninus"	"6"	NA	"Both"	"11.9"	"2900"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.264964155"	"-0.032714379"
"Aepyprymnus rufescens"	"Aepyprymnus_rufescens"	"Diprotodontia"	"Potoroidae"	"Aepyprymnus"	"rufescens"	"3"	NA	"Both"	"12.3"	"2600"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.211372236"	"0.015156075"
"Lagorchestes leporides"	"Lagorchestes_leporides"	"Diprotodontia"	"Macropodidae"	"Lagorchestes"	"leporides"	"3"	NA	"Both"	"12.6"	"3000"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.247518161"	"-0.013492123"
"Phalanger gymnotis"	"Phalanger_gymnotis"	"Diprotodontia"	"Phalangeridae"	"Phalanger"	"gymnotis"	"8"	NA	"Both"	"13"	"2700"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.199626921"	"0.028878784"
"Spilocuscus maculatus"	"Spilocuscus_maculatus"	"Diprotodontia"	"Phalangeridae"	"Spilocuscus"	"maculatus"	"8"	NA	"Both"	"13.4"	"3815"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.299064594"	"-0.052446621"
"Dorcopsulus macleayi"	"Dorcopsulus_macleayi"	"Diprotodontia"	"Macropodidae"	"Dorcopsulus"	"macleayi"	"2"	NA	"Both"	"13.5"	"2988"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.21624943"	"0.017566609"
"Setonix brachyurus"	"Setonix_brachyurus"	"Diprotodontia"	"Macropodidae"	"Setonix"	"brachyurus"	"11"	NA	"Both"	"13.9"	"3250"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.230945726"	"0.007274127"
"Lagorchestes conspicillatus"	"Lagorchestes_conspicillatus"	"Diprotodontia"	"Macropodidae"	"Lagorchestes"	"conspicillatus"	"2"	NA	"Both"	"14"	"3000"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.201760671"	"0.032265367"
"Onychogalea fraenata"	"Onychogalea_fraenata"	"Diprotodontia"	"Macropodidae"	"Onychogalea"	"fraenata"	"5"	NA	"Both"	"14.7"	"4550"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.316240226"	"-0.060391009"
"Petrogale brachyotis"	"Petrogale_brachyotis"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"brachyotis"	"2"	NA	"Both"	"15.75"	"4050"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.248359374"	"0.001390557"
"Dorcopsis atrata"	"Dorcopsis_atrata"	"Diprotodontia"	"Macropodidae"	"Dorcopsis"	"atrata"	"3"	NA	"Both"	"16.7"	"2050"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.001145549"	"0.212930026"
"Onychogalea unguifera"	"Onychogalea_unguifera"	"Diprotodontia"	"Macropodidae"	"Onychogalea"	"unguifera"	"3"	NA	"Both"	"16.7"	"6650"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.384449913"	"-0.108717449"
"Spilocuscus rufoniger"	"Spilocuscus_rufoniger"	"Diprotodontia"	"Phalangeridae"	"Spilocuscus"	"rufoniger"	"3"	NA	"Both"	"16.8"	"6000"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.348353998"	"-0.078010717"
"Petrogale mareeba"	"Petrogale_mareeba"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"mareeba"	"1"	NA	"Both"	"17"	"4150"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.223135889"	"0.027892025"
"Petrogale inornata"	"Petrogale_inornata"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"inornata"	"1"	NA	"Both"	"17"	"4600"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.256668499"	"-0.000246656"
"Thylogale brunii"	"Thylogale_brunii"	"Diprotodontia"	"Macropodidae"	"Thylogale"	"brunii"	"1"	NA	"Both"	"17.5"	"3620"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.166041708"	"0.077827291"
"Petrogale assimilis"	"Petrogale_assimilis"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"assimilis"	"2"	NA	"Both"	"17.5"	"4500"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.236920317"	"0.018349947"
"Thylogale stigmatica"	"Thylogale_stigmatica"	"Diprotodontia"	"Macropodidae"	"Thylogale"	"stigmatica"	"3"	NA	"Both"	"17.8"	"4600"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.236697418"	"0.019724425"
"Petrogale godmani"	"Petrogale_godmani"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"godmani"	"2"	NA	"Both"	"18"	"4750"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.242296844"	"0.015806256"
"Thylogale browni"	"Thylogale_browni"	"Diprotodontia"	"Macropodidae"	"Thylogale"	"browni"	"9"	NA	"Both"	"18.3"	"5478"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.281565001"	"-0.015990654"
"Dendrolagus bennettianus"	"Dendrolagus_bennettianus"	"Diprotodontia"	"Macropodidae"	"Dendrolagus"	"bennettianus"	"4"	NA	"Both"	"18.5"	"10950"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.502440506"	"-0.200577617"
"Notamacropus parma"	"Macropus_parma"	"Diprotodontia"	"Macropodidae"	"Macropus"	"parma"	"6"	NA	"Both"	"18.7"	"4275"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.191409309"	"0.061173457"
"Petrogale lateralis"	"Petrogale_lateralis"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"lateralis"	"3"	NA	"Both"	"19.2"	"4600"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.203816191"	"0.052605651"
"Thylogale thetis"	"Thylogale_thetis"	"Diprotodontia"	"Macropodidae"	"Thylogale"	"thetis"	"3"	NA	"Both"	"19.2"	"5400"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.256043618"	"0.008779331"
"Phascolarctos cinereus"	"Phascolarctos_cinereus"	"Diprotodontia"	"Phascolarctidae"	"Phascolarctos"	"cinereus"	"20"	NA	"Both"	"20.2"	"5800"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.257269366"	"0.011297653"
"Dorcopsis muelleri"	"Dorcopsis_muelleri"	"Diprotodontia"	"Macropodidae"	"Dorcopsis"	"muelleri"	"4"	NA	"Both"	"20.4"	"3150"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.05415066"	"0.182431725"
"Dorcopsis luctuosa"	"Dorcopsis_luctuosa"	"Diprotodontia"	"Macropodidae"	"Dorcopsis"	"luctuosa"	"4"	NA	"Both"	"20.6"	"6350"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.278263086"	"-0.004949268"
"Petrogale herberti"	"Petrogale_herberti"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"herberti"	"5"	NA	"Both"	"21.2"	"5150"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.197568945"	"0.064770377"
"Petrogale persephone"	"Petrogale_persephone"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"persephone"	"2"	NA	"Both"	"21.5"	"6200"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.251905248"	"0.020156047"
"Thylogale billardierii"	"Thylogale_billardierii"	"Diprotodontia"	"Macropodidae"	"Thylogale"	"billardierii"	"7"	NA	"Both"	"22.1"	"5450"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.197954657"	"0.067351195"
"Dorcopsis hageni"	"Dorcopsis_hageni"	"Diprotodontia"	"Macropodidae"	"Dorcopsis"	"hageni"	"5"	NA	"Both"	"22.5"	"5500"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.193139081"	"0.072645266"
"Petrogale xanthopus"	"Petrogale_xanthopus"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"xanthopus"	"2"	NA	"Both"	"23"	"7500"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.284618622"	"-0.0025838"
"Macropus eugenii"	"Macropus_eugenii"	"Diprotodontia"	"Macropodidae"	"Macropus"	"eugenii"	"3"	NA	"Both"	"23.7"	"6500"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.224986754"	"0.049550342"
"Petrogale penicillata"	"Petrogale_penicillata"	"Diprotodontia"	"Macropodidae"	"Petrogale"	"penicillata"	"10"	NA	"Both"	"23.9"	"7100"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.250096207"	"0.029066954"
"Macropus irma"	"Macropus_irma"	"Diprotodontia"	"Macropodidae"	"Macropus"	"irma"	"5"	NA	"Both"	"24.7"	"8000"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.274671241"	"0.010745059"
"Macropus greyi"	"Macropus_greyi"	"Diprotodontia"	"Macropodidae"	"Macropus"	"greyi"	"1"	NA	"Both"	"25"	"19000"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.551178488"	"-0.220440901"
"Dendrolagus lumholtzi"	"Dendrolagus_lumholtzi"	"Diprotodontia"	"Macropodidae"	"Dendrolagus"	"lumholtzi"	"3"	NA	"Both"	"26.2"	"7195"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.214522194"	"0.065337375"
"Dendrolagus ursinus"	"Dendrolagus_ursinus"	"Diprotodontia"	"Macropodidae"	"Dendrolagus"	"ursinus"	"2"	NA	"Both"	"26.3"	"8200"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.255455419"	"0.031254643"
"Dendrolagus matschiei"	"Dendrolagus_matschiei"	"Diprotodontia"	"Macropodidae"	"Dendrolagus"	"matschiei"	"1"	NA	"Both"	"27.5"	"8800"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.2590803"	"0.031329749"
"Dendrolagus goodfellowi"	"Dendrolagus_goodfellowi"	"Diprotodontia"	"Macropodidae"	"Dendrolagus"	"goodfellowi"	"7"	NA	"Both"	"28.4"	"7500"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.193028118"	"0.089006704"
"Dendrolagus spadix"	"Dendrolagus_spadix"	"Diprotodontia"	"Macropodidae"	"Dendrolagus"	"spadix"	"1"	NA	"Both"	"28.5"	"9100"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.254487274"	"0.037679186"
"Dendrolagus scottae"	"Dendrolagus_scottae"	"Diprotodontia"	"Macropodidae"	"Dendrolagus"	"scottae"	"3"	NA	"Both"	"29.2"	"10500"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.290560642"	"0.009103545"
"Macropus dorsalis"	"Macropus_dorsalis"	"Diprotodontia"	"Macropodidae"	"Macropus"	"dorsalis"	"6"	NA	"Both"	"29.2"	"11250"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.313033266"	"-0.009754218"
"Dendrolagus inustus"	"Dendrolagus_inustus"	"Diprotodontia"	"Macropodidae"	"Dendrolagus"	"inustus"	"5"	NA	"Both"	"30.1"	"13450"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.358027478"	"-0.04539016"
"Dendrolagus dorianus"	"Dendrolagus_dorianus"	"Diprotodontia"	"Macropodidae"	"Dendrolagus"	"dorianus"	"7"	NA	"Both"	"32.3"	"9550"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.215851241"	"0.078844141"
"Wallabia bicolor"	"Wallabia_bicolor"	"Diprotodontia"	"Macropodidae"	"Wallabia"	"bicolor"	"6"	NA	"Both"	"32.9"	"15000"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.354925134"	"-0.036573068"
"Macropus agilis"	"Macropus_agilis"	"Diprotodontia"	"Macropodidae"	"Macropus"	"agilis"	"10"	NA	"Both"	"33.3"	"15000"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.349676798"	"-0.031324732"
"Notamacropus rufogriseus"	"Macropus_rufogriseus"	"Diprotodontia"	"Macropodidae"	"Macropus"	"rufogriseus"	"14"	NA	"Both"	"36"	"16200"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.340886578"	"-0.018502161"
"Macropus parryi"	"Macropus_parryi"	"Diprotodontia"	"Macropodidae"	"Macropus"	"parryi"	"3"	NA	"Both"	"41.3"	"13500"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.221852547"	"0.090979186"
"Lasiorhinus latifrons"	"Lasiorhinus_latifrons"	"Diprotodontia"	"Vombatidae"	"Lasiorhinus"	"latifrons"	"9"	NA	"Both"	"55.5"	"26000"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.306991263"	"0.04018032"
"Macropus antilopinus"	"Macropus_antilopinus"	"Diprotodontia"	"Macropodidae"	"Macropus"	"antilopinus"	"3"	NA	"Both"	"56.8"	"27250"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.312230921"	"0.03740096"
"Macropus fuliginosus"	"Macropus_fuliginosus"	"Diprotodontia"	"Macropodidae"	"Macropus"	"fuliginosus"	"1"	NA	"Both"	"58"	"28850"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.321735917"	"0.030885421"
"Macropus robustus"	"Macropus_robustus"	"Diprotodontia"	"Macropodidae"	"Macropus"	"robustus"	"6"	NA	"Both"	"59"	"21200"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.213953508"	"0.122524558"
"Vombatus ursinus"	"Vombatus_ursinus"	"Diprotodontia"	"Vombatidae"	"Vombatus"	"ursinus"	"18"	NA	"Both"	"59"	"26000"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.280432235"	"0.066739348"
"Osphranter rufus"	"Macropus_rufus"	"Diprotodontia"	"Macropodidae"	"Macropus"	"rufus"	"8"	NA	"Both"	"62.4"	"46250"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.443705174"	"-0.066356078"
"Macropus giganteus"	"Macropus_giganteus"	"Diprotodontia"	"Macropodidae"	"Macropus"	"giganteus"	"2"	NA	"Both"	"69.8"	"26400"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.212401804"	"0.135569714"
"Petaurus biacensis"	"Petaurus_biacensis"	"Diprotodontia"	"Petauridae"	"Petaurus"	"biacensis"	"2"	NA	NA	"1.68"	"84.5"	"Ashwell2008"	NA	"0.04012968"	"0.087126731"
"Petaurus abidi"	"Petaurus_abidi"	"Diprotodontia"	"Petauridae"	"Petaurus"	"abidi"	"2"	NA	NA	"3.83"	"284"	"Ashwell2008"	NA	"0.003169317"	"0.113680422"
"Phalanger rothschildi"	"Phalanger_rothschildi"	"Diprotodontia"	"Phalangeridae"	"Phalanger"	"rothschildi"	"5"	NA	NA	"6.14"	"1244"	"Ashwell2008"	NA	"-0.272992042"	"-0.085088032"
"Strigocuscus pelengensis"	"Strigocuscus_pelengensis"	"Diprotodontia"	"Phalangeridae"	"Strigocuscus"	"pelengensis"	"7"	NA	NA	"6.22"	"991"	"Ashwell2008"	NA	"-0.193309303"	"-0.017318421"
"Phalanger intercastellanus"	"Phalanger_intercastellanus"	"Diprotodontia"	"Phalangeridae"	"Phalanger"	"intercastellanus"	"8"	NA	NA	"7.35"	"1434"	"Ashwell2008"	NA	"-0.241170078"	"-0.045818907"
"Spilocuscus kraemeri"	"Spilocuscus_kraemeri"	"Diprotodontia"	"Phalangeridae"	"Spilocuscus"	"kraemeri"	"7"	NA	NA	"11.5"	"1547"	"Ashwell2008"	NA	"-0.071465676"	"0.127859624"
"Atelerix albiventris"	"Atelerix_albiventris"	"Erinaceomorpha"	"Erinaceidae"	"Atelerix"	"albiventris"	">1,<10"	NA	"Both"	"2.24"	"280"	"Boddy2012"	"Mace.etal1981"	"-0.225161165"	NA
"Erinaceus europaeus"	"Erinaceus_europaeus"	"Erinaceomorpha"	"Erinaceidae"	"Erinaceus"	"europaeus"	"15"	NA	"Both"	"3.67"	"720.44"	"Boddy2012"	"Glendenning1998,Mace.etal1981,Stephan.etal1981,Warncke1908"	"-0.31857579"	NA
"Hemiechinus auritus"	"Hemiechinus_auritus"	"Erinaceomorpha"	"Erinaceidae"	"Hemiechinus"	"auritus"	"3"	NA	NA	"1.9"	"250"	"Boddy2012"	"Stephan.etal1981"	"-0.259741726"	NA
"Paraechinus hypomelas"	"Paraechinus_hypomelas"	"Erinaceomorpha"	"Erinaceidae"	"Paraechinus"	"hypomelas"	NA	NA	NA	"2.4"	"550"	"Savage and West 2006"	"Meddis R 1983"	"-0.415103458"	NA
"Mesechinus dauuricus"	"Mesechinus_dauuricus"	"Erinaceomorpha"	"Erinaceidae"	"Mesechinus"	"dauuricus"	NA	NA	NA	"2.9"	"342"	"Stankowich2016"	NA	"-0.178162841"	NA
"Atelerix algirus"	"Atelerix_algirus"	"Erinaceomorpha"	"Erinaceidae"	"Atelerix"	"algirus"	"3"	NA	NA	"3.2"	"790"	"Boddy2012"	"Stephan.etal1981"	"-0.408114108"	NA
"Echinosorex gymnura"	"Echinosorex_gymnura"	"Erinaceomorpha"	"Erinaceidae"	"Echinosorex"	"gymnura"	NA	NA	NA	"5.5"	"957"	"Stankowich2016"	NA	"-0.235365606"	NA
"Procavia capensis"	"Procavia_capensis"	"Hyracoidea"	"Procaviidae"	"Procavia"	"capensis"	"3"	NA	"both"	"19.47"	"2321.67"	"Boddy2012"	"Warncke 1908; Welker & Carlson 1976"	"0.024968587"	NA
"Heterohyrax brucei"	"Heterohyrax_brucei"	"Hyracoidea"	"Procaviidae"	"Heterohyrax"	"brucei"	NA	NA	NA	"12.27"	"2625"	"Savage and West 2006"	"Smith2003"	"-0.215549783"	NA
"Dendrohyrax arboreus"	"Dendrohyrax_arboreus"	"Hyracoidea"	"Procaviidae"	"Dendrohyrax"	"arboreus"	NA	NA	NA	"12.3"	"2950"	"Savage and West 2006"	"Smith2003"	"-0.252509116"	NA
"Ochotona hyperborea"	"Ochotona_hyperborea"	"Lagomorpha"	"Ochotonidae"	"Ochotona"	"hyperborea"	">1,<10"	NA	"Both"	"2.22"	"120"	"Boddy2012"	"Mace.etal1981"	"0.046928919"	"0.037349765"
"Ochotona princeps"	"Ochotona_princeps"	"Lagomorpha"	"Ochotonidae"	"Ochotona"	"princeps"	">1,<10"	NA	"Both"	"2.39"	"169"	"Boddy2012"	"Mace.etal1981"	"-0.032556275"	"-0.020880976"
"Ochotona rufescens"	"Ochotona_rufescens"	"Lagomorpha"	"Ochotonidae"	"Ochotona"	"rufescens"	">1,<10"	NA	"Both"	"2.75"	"250"	"Boddy2012"	"Mace.etal1981"	"-0.099162633"	"-0.063181636"
"Sylvilagus audubonii"	"Sylvilagus_audubonii"	"Lagomorpha"	"Leporidae"	"Sylvilagus"	"audubonii"	">1,<10"	NA	"Both"	"6.07"	"792.5"	"Boddy2012"	"Mace.etal1981"	"-0.131104539"	"-0.023507204"
"Sylvilagus bachmani"	"Sylvilagus_bachmani"	"Lagomorpha"	"Leporidae"	"Sylvilagus"	"bachmani"	">1,<10"	NA	"Both"	"6.58"	"712.4"	"Boddy2012"	"Mace.etal1981"	"-0.061360497"	"0.039622707"
"Sylvilagus floridanus"	"Sylvilagus_floridanus"	"Lagomorpha"	"Leporidae"	"Sylvilagus"	"floridanus"	">1,<10"	NA	"Both"	"7.56"	"1036"	"Boddy2012"	"Mace.etal1981"	"-0.123042601"	"0.001186124"
"Lepus americanus"	"Lepus_americanus"	"Lagomorpha"	"Leporidae"	"Lepus"	"americanus"	">1,<10"	NA	"Both"	"9.72"	"1500"	"Boddy2012"	"Mace.etal1981"	"-0.134447868"	"0.012754191"
"Lepus capensis"	"Lepus_capensis"	"Lagomorpha"	"Leporidae"	"Lepus"	"capensis"	">2,<11"	NA	"Both"	"10.78"	"2412.5"	"Boddy2012"	"Crile&Quiring1940,Mace.etal1981"	"-0.244278843"	"-0.067579478"
"Oryctolagus cuniculus"	"Oryctolagus_cuniculus"	"Lagomorpha"	"Leporidae"	"Oryctolagus"	"cuniculus"	">3,<12"	NA	"Both"	"11.09"	"2157.6"	"Boddy2012"	"Mace.etal1981,Warncke1908"	"-0.195593432"	"-0.02582565"
"Lepus nigricollis"	"Lepus_nigricollis"	"Lagomorpha"	"Leporidae"	"Lepus"	"nigricollis"	">1,<10"	NA	"Both"	"11.49"	"1961"	"Boddy2012"	"Mace.etal1981"	"-0.149084658"	"0.014752486"
"Lepus californicus"	"Lepus_californicus"	"Lagomorpha"	"Leporidae"	"Lepus"	"californicus"	">1,<10"	NA	"Both"	"13.23"	"2314.9"	"Boddy2012"	"Mace.etal1981"	"-0.141886321"	"0.032249584"
"Lepus europaeus"	"Lepus_europaeus"	"Lagomorpha"	"Leporidae"	"Lepus"	"europaeus"	NA	NA	"both"	"14.35"	"1954"	"Boddy2012"	"Mace 1981"	"-0.051387999"	"0.112227169"
"Lepus arcticus"	"Lepus_arcticus"	"Lagomorpha"	"Leporidae"	"Lepus"	"arcticus"	"4"	NA	"both"	"15.8"	"4231"	"Boddy2012"	"Mace 1981"	"-0.261223978"	"-0.049653196"
"Sylvilagus brasiliensis"	"Sylvilagus_brasiliensis"	"Lagomorpha"	"Leporidae"	"Sylvilagus"	"brasiliensis"	"2"	NA	NA	"4.5"	"439"	"Boddy2012"	"Crile&Quiring1940"	"-0.068677884"	"0.002252972"
"Lepus timidus"	"Lepus_timidus"	"Lagomorpha"	"Leporidae"	"Lepus"	"timidus"	NA	NA	NA	"15.1"	"3274.5"	"Boddy2012"	"Count 1947; Mace 1981; Silva & Downing 1995"	"-0.197429827"	"-0.001766858"
"Rhynchocyon petersi"	"Rhynchocyon_petersi"	"Macroscelidea"	"Macroscelididae"	"Rhynchocyon"	"petersi"	NA	NA	"Female"	"5.4"	"370"	"Boddy2012"	"Sherwood.etal2008,Boddy2012"	"0.066200972"	NA
"Elephantulus intufi"	"Elephantulus_intufi"	"Macroscelidea"	"Macroscelididae"	"Elephantulus"	"intufi"	NA	NA	NA	"1.14"	"49.545"	"Barton&Capellini2011"	NA	"0.045619506"	NA
"Elephantulus fuscipes"	"Elephantulus_fuscipes"	"Macroscelidea"	"Macroscelididae"	"Elephantulus"	"fuscipes"	"2"	NA	NA	"1.33"	"57"	"Boddy2012"	"Stephan.etal1981"	"0.066909608"	NA
"Elephantulus myurus"	"Elephantulus_myurus"	"Macroscelidea"	"Macroscelididae"	"Elephantulus"	"myurus"	NA	NA	NA	"1.37"	"54.576"	"Barton&Capellini2011"	NA	"0.09393353"	NA
"Rhynchocyon cirnei"	"Rhynchocyon_cirnei"	"Macroscelidea"	"Macroscelididae"	"Rhynchocyon"	"cirnei"	"3"	NA	NA	"5.9"	"507.5"	"Boddy2012"	"Stephan.etal1981,Stolzenburg1989"	"0.001732535"	NA
"Dromiciops gliroides"	"Dromiciops_gliroides"	"Microbiotheria"	"Microbiotheriidae"	"Dromiciops"	"gliroides"	"2"	NA	"Both"	"0.81"	"24"	"Ashwell2008/Weisbecker.etal.2013"	NA	"0.133293289"	NA
"Ornithorhynchus anatinus"	"Ornithorhynchus_anatinus"	"Monotremata"	"Ornithorhynchidae"	"Ornithorhynchus"	"anatinus"	"1"	NA	NA	"10.08"	"1389"	"Boddy2012"	"Macrini.etal2006"	"-0.093611611"	NA
"Tachyglossus aculeatus"	"Tachyglossus_aculeatus"	"Monotremata"	"Tachyglossidae"	"Tachyglossus"	"aculeatus"	NA	NA	NA	"20.73"	"4250"	"Boddy2012"	"Macrini 2006"	"-0.144741204"	NA
"Zaglossus bruijni"	"Zaglossus_bruijni"	"Monotremata"	"Tachyglossidae"	"Zaglossus"	"bruijni"	NA	NA	NA	"37.35"	"7500"	"Boddy2012"	"Macrini 2006"	"-0.074055852"	NA
"Notoryctes caurinus"	"Notoryctes_caurinus"	"Notoryctemorphia"	"Notoryctidae"	"Notoryctes"	"caurinus"	"2"	NA	"Both"	"0.78"	"55"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.153213198"	NA
"Rhyncholestes raphanurus"	"Rhyncholestes_raphanurus"	"Paucituberculata"	"Caenolestidae"	"Rhyncholestes"	"raphanurus"	"1"	NA	"Both"	"0.65"	"23.5"	"Ashwell2008/Weisbecker.etal.2013"	NA	"0.044579224"	NA
"Caenolestes fuliginosus"	"Caenolestes_fuliginosus"	"Paucituberculata"	"Caenolestidae"	"Caenolestes"	"fuliginosus"	"1"	NA	"Both"	"0.68"	"35"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.06557655"	NA
"Chaeropus ecaudatus"	"Chaeropus_ecaudatus"	"Peramelemorphia"	"Chaeropodidae"	"Chaeropus"	"ecaudatus"	"1"	NA	"Both"	"2.4"	"200"	"Ashwell2008/Weisbecker.etal.2013"	NA	"-0.085600907"	"-0.10848691"
