accepted_name,ncbi_taxid,in_Stephan,in_HerculanoHouzel,in_Allman,Order_Stephan1981,Suborder_Stephan1981,Family_Stephan1981,code_Stephan1981,Order_MDD,Family_MDD,mdd_accepted_name,needs_taxonomy_review,Order_resolved,Family_resolved,taxonomy_source,order_matches_MDD
Pithecia pithecia,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Pitheciidae,NCBI:name,NA
Pongo pygmaeus,9600,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Hominidae,NCBI:taxid,NA
Pongo sp.,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,NA,NA,NA,NA,TRUE,Primates,Hominidae,NCBI:name,NA
Potamogale velox,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,15,Afrosoricida,Potamogalidae,Potamogale velox,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Potos flavus,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Procyonidae,NCBI:name,NA
Procavia capensis,9813,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Hyracoidea,Procaviidae,NCBI:taxid,NA
Procyon lotor,9654,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Procyonidae,NCBI:taxid,NA
Proechimys guyannensis,128105,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Echimyidae,NCBI:taxid,NA
Propithecus verreauxi,NA,TRUE,FALSE,TRUE,Primates,Prosimians,Indriidae,132,Primates,Indriidae,Propithecus verreauxi,FALSE,Primates,Indriidae,NCBI:name,TRUE
Pygathrix nemaeus,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,242,Primates,Cercopithecidae,Pygathrix nemaeus,FALSE,Primates,Cercopithecidae,NCBI:name,TRUE
Rattus norvegicus,10116,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Muridae,NCBI:taxid,NA
Rhynchocyon cirnei,NA,TRUE,FALSE,FALSE,Macroscelidea,Insectivora,NA,33,Macroscelidea,Macroscelididae,Rhynchocyon cirnei,FALSE,Macroscelidea,Macroscelididae,NCBI:name,TRUE
Rousettus aegyptiacus,9407,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Chiroptera,Pteropodidae,NCBI:taxid,NA
Ruwenzorisorex suncoides,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,Eulipotyphla,Soricidae,Ruwenzorisorex suncoides,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Saguinus geoffroyi,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cebidae,NCBI:name,NA
Saguinus midas,30586,TRUE,TRUE,FALSE,Primates,Simians,NA,165,Primates,Callitrichidae,Saguinus midas,FALSE,Primates,Cebidae,NCBI:taxid,TRUE
Saguinus oedipus,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,164,Primates,Callitrichidae,Saguinus oedipus,FALSE,Primates,Cebidae,NCBI:name,TRUE
Saimiri sciureus,9521,TRUE,TRUE,TRUE,Primates,Simians,NA,192,Primates,Cebidae,Saimiri sciureus,FALSE,Primates,Cebidae,NCBI:taxid,TRUE
Sapajus apella,9515,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cebidae,NCBI:taxid,NA
Sarcophilus harrisii,9305,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Dasyuromorphia,Dasyuridae,NCBI:taxid,NA
Scalopus aquaticus,71119,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Eulipotyphla,Talpidae,NCBI:taxid,NA
