Species,Order,Family
Galago demidoff,Primates,Galagidae
Galago matschiei,Primates,Galagidae
Galago senegalensis,Primates,Galagidae
Galagoides demidoff,Primates,Galagidae
Galagoides thomasi,Primates,Galagidae
Galemys pyrenaicus,Eulipotyphla,Talpidae
Galeopterus variegatus,Dermoptera,Cynocephalidae
Galictis vitatus,Carnivora,Mustelidae
Galictis vittatus,Carnivora,Mustelidae
Georychus capensis,Rodentia,Bathyergidae
Giraffa camelopardalis,Artiodactyla,Giraffidae
Glaucomys volans,Rodentia,Sciuridae
Glis glis,Rodentia,Gliridae
Globicephala macrorhynchus,Cetacea,Delphinidae
Glossophaga soricina,Chiroptera,Phyllostomidae
Gorilla gorilla,Primates,Hominidae
Gorilla gorilla gorilla,Primates,Hominidae
Gorilla sp.,Primates,Hominidae
Grampus griseus,Cetacea,Delphinidae
Gymnobelideus leadbeateri,Diprotodontia,Petauridae
Hapalemur griseus,Primates,Lemuridae
Heliophobius argenteocinereus,Rodentia,Bathyergidae
Hemibelideus lemuroides,Diprotodontia,Pseudocheiridae
Hemicentetes semispinosus,Afrosoricida,Tenrecidae
Hemiechinus auritus,Eulipotyphla,Erinaceidae
Heterocephalus glaber,Rodentia,Bathyergidae
Hippopotamus amphibius,Artiodactyla,Hippopotamidae
Homo sapiens,Primates,Hominidae
Horpyiocepalus leucogostra,Chiroptera,Vespertilionidae
Hyaena hyaena,Carnivora,Hyaenidae
Hydrochoerus hydrochaeris,Rodentia,Hydrochaeridae
Hylobates agilis,Primates,Hylobatidae
Hylobates lar,Primates,Hylobatidae
Hylobates moloch,Primates,Hylobatidae
Hylobates muelleri,Primates,Hylobatidae
Hylobates pileatus,Primates,Hylobatidae
Hylobates syndactylus,Primates,Hylobatidae
Hylomys suillus,Eulipotyphla,Erinaceidae
Hypsignathus monstrosus,Chiroptera,Pteropodidae
Hypsiprymnodon moschatus,Diprotodontia,Hypsiprymnodontidae
Indri indri,Primates,Indriidae
Isoodon macrourus,Peramelemorphia,Peramelidae
Isoodon obesulus,Peramelemorphia,Peramelidae
Kobus ellipsiprymnus,Artiodactyla,Bovidae
Lagorchestes conspicillatus,Diprotodontia,Macropodidae
Lagothrix lagothricha,Primates,Atelidae
Lagothrix lagotricha,Primates,Atelidae
Lama glama,Artiodactyla,Camelidae
Lama glama domesticus,Artiodactyla,Camelidae
Lasiorhinus krefftii,Diprotodontia,Vombatidae
Lasiorhinus latifrons,Diprotodontia,Vombatidae
Lemur catta,Primates,Lemuridae
Leontopithecus chrysomelas,Primates,Cebidae
Leontopithecus chrysopygus,Primates,Cebidae
Leontopithecus rosalia,Primates,Cebidae
Leopardus pardalis,Carnivora,Felidae
Lepilemur edwardsi,Primates,Lepilemuridae
Lepilemur ruficaudatus,Primates,Lepilemuridae
Leptailurus serval,Carnivora,Felidae
Llama glama,Artiodactyla,Camelidae
Lophocebus albigena,Primates,Cercopithecidae
Loris tardigradus,Primates,Lorisidae
Loxodonta africana,Proboscidea,Elephantidae
Lynx rufus,Carnivora,Felidae
Macaca arctoides,Primates,Cercopithecidae
Macaca fascicularis,Primates,Cercopithecidae
Macaca fuscata,Primates,Cercopithecidae
Macaca irus,Primates,Cercopithecidae
Macaca maura,Primates,Cercopithecidae
Macaca mulatta,Primates,Cercopithecidae
Macaca nemestrina,Primates,Cercopithecidae
Macaca radiata,Primates,Cercopithecidae
Macaca silenus,Primates,Cercopithecidae
Macaca sylvanus,Primates,Cercopithecidae
Macaca tonkeana,Primates,Cercopithecidae
Macronycteris commersoni,Chiroptera,Hipposideridae
Macropus eugenii,Diprotodontia,Macropodidae
Macropus fuliginosus,Diprotodontia,Macropodidae
Macropus parma,Diprotodontia,Macropodidae
Macropus parryi,Diprotodontia,Macropodidae
Macropus rufogriseus,Diprotodontia,Macropodidae
Macropus rufus,Diprotodontia,Macropodidae
Mandrillus sphinx,Primates,Cercopithecidae
Mandrillus sphynx,Primates,Cercopithecidae
Manis pentadactyla,Pholidota,Manidae
Marmosa impavida,Didelphimorphia,Didelphidae
Marmosa mitis,Didelphimorphia,Didelphidae
Marmosops incanus,Didelphimorphia,Didelphidae
Marmota monax,Rodentia,Sciuridae
Megaloglossus woermanni,Chiroptera,Pteropodidae
Mellivora capensis,Carnivora,Mustelidae
Mephitis mephitis,Carnivora,Mephitidae
Mesocricetus auratus,Rodentia,Cricetidae
Metachirus nudicaudatus,Didelphimorphia,Didelphidae
Microcebus murinus,Primates,Cheirogaleidae
Microgale cowani,Afrosoricida,Tenrecidae
Microgale mergulus,Afrosoricida,Tenrecidae
Micromys minutus,Rodentia,Muridae
Micropotamogale lamottei,Afrosoricida,Tenrecidae
Micropotamogale ruwenzorii,Afrosoricida,Tenrecidae
Microsciurus flaviventer,Rodentia,Sciuridae
Microsorex hoyi,Eulipotyphla,Soricidae
Microtus orchogaster,Rodentia,Cricetidae
Miniopterus schreibersii,Chiroptera,Miniopteridae
Miopithecus talapoin,Primates,Cercopithecidae
Mirza coquereli,Primates,Cheirogaleidae
Monodelphis brevicaudata,Didelphimorphia,Didelphidae
