compat_key,canonical_structure,measure_class,n_variables,n_papers,papers,taxa,roles,poolable
(structure-agnostic; see data columns) | surface area,(structure-agnostic; see data columns),surface area,3,2,Balzeau_etal_2012; Krubitzer_Kaas_1990,Homo; Primates,primary; secondary,TRUE
Behaviour | count (number),Behaviour,count (number),3,2,ManyPrimates__2022; Schniter_Penaherrera-Aguirre_2026,Primates,primary,TRUE
Brain | mass,Brain,mass,3,2,Lewitus_etal_2013; Weaver_2001,"Mammals; monkeys, apes, fossil hominids, humans",primary; secondary,TRUE
OlfactoryBulb | volume,OlfactoryBulb,volume,3,2,Baron_etal_1983; Baron_etal_1987,"Insectivora, Scandentia & Primates",primary,TRUE
VisualCortex | density (per mass/volume),VisualCortex,density (per mass/volume),3,2,Lewitus_etal_2013; Lewitus_etal_2014,Mammals,primary; secondary,TRUE
(structure-agnostic; see data columns) | provenance,(structure-agnostic; see data columns),provenance,2,2,Mota_etal_2015; Zilles_etal_2013,Mammals,provenance,TRUE
Area_striata | volume,Area_striata,volume,2,2,Frahm_etal_1984; Stephan_etal_1981,"Insectivora & Primates; Insectivora, Scandentia & Primates",primary,TRUE
CerebellarHemisphere | volume,CerebellarHemisphere,volume,2,2,Ashwell__2020; MacLeod_etal_2003,Apes (Hominoidea); Mammalia,primary,TRUE
CerebellarVermis | volume,CerebellarVermis,volume,2,2,Ashwell__2020; MacLeod_etal_2003,Apes (Hominoidea); Mammalia,primary,TRUE
Complexus_centromedialis | volume,Complexus_centromedialis,volume,2,2,Stephan_etal_1981; Stephan_etal_1987,"Insectivora & Primates; Insectivora, Scandentia & Primates",primary,TRUE
Complexus_corticobasolateralis | volume,Complexus_corticobasolateralis,volume,2,2,Stephan_etal_1981; Stephan_etal_1987,"Insectivora & Primates; Insectivora, Scandentia & Primates",primary,TRUE
CorticospinalTract | count (number),CorticospinalTract,count (number),2,2,Heffner_Masterton_1975; Heffner_Masterton_1983,Mammals,primary,TRUE
CorticospinalTract | surface area,CorticospinalTract,surface area,2,2,Heffner_Masterton_1975; Heffner_Masterton_1983,Mammals,primary,TRUE
Internal carotid artery | flow.cm3.s,Internal carotid artery,flow.cm3.s,2,2,Seymour_etal_2015; Seymour_etal_2017,Fossil Hominins; Primates & Diprotodontia,primary,TRUE
Internal carotid artery | radius.cm,Internal carotid artery,radius.cm,2,2,Seymour_etal_2015; Seymour_etal_2017,Fossil Hominins; Primates & Diprotodontia,primary,TRUE
Internal carotid foramen | radius.cm,Internal carotid foramen,radius.cm,2,2,Seymour_etal_2015; Seymour_etal_2017,Fossil Hominins; Primates & Diprotodontia,primary,TRUE
Neocortex_grey_matter | volume,Neocortex_grey_matter,volume,2,2,Frahm_etal_1982; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo)",primary,TRUE
Neocortex_white_matter | volume,Neocortex_white_matter,volume,2,2,Frahm_etal_1982; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo)",primary,TRUE
