standardized_term,structure,measure,original_term_variant,reference
OlfactoryBulb_Mass.g,OlfactoryBulb,Mass.g,"Olfactory bulb Mass, g",JardimMesseder_etal_2017_Table1
OlfactoryBulb_Mass.g_SD,OlfactoryBulb_Mass.g,SD,"Olfactory bulb Mass, g SD",HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_N.n,OlfactoryBulb,N.n,NOB,DosSantos_etal_2017_TableS1
OlfactoryBulb_N.n,OlfactoryBulb,N.n,NOB,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_N.n,OlfactoryBulb,N.n,NOB,JardimMesseder_etal_2017_Table1
OlfactoryBulb_N.n,OlfactoryBulb,N.n,NOB,Kverkova_etal_2018_TableS5
OlfactoryBulb_N.n,OlfactoryBulb,N.n,"Olfactory bulb N, n",DosSantos_etal_2017_TableS1
OlfactoryBulb_N.n,OlfactoryBulb,N.n,"Olfactory bulb N, n",HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_N.n,OlfactoryBulb,N.n,"Olfactory bulb N, n",JardimMesseder_etal_2017_Table1
OlfactoryBulb_N.n,OlfactoryBulb,N.n,"Olfactory bulb N, n",Kverkova_etal_2018_TableS5
OlfactoryBulb_N.n,OlfactoryBulb,N.n,Olfactory bulbs_N.n,DosSantos_etal_2017_TableS1
OlfactoryBulb_N.n,OlfactoryBulb,N.n,Olfactory bulbs_N.n,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_N.n,OlfactoryBulb,N.n,Olfactory bulbs_N.n,JardimMesseder_etal_2017_Table1
OlfactoryBulb_N.n,OlfactoryBulb,N.n,Olfactory bulbs_N.n,Kverkova_etal_2018_TableS5
OlfactoryBulb_N.n_SD,OlfactoryBulb_N.n,SD,"Olfactory bulb N, n SD",HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_N.n_SD,OlfactoryBulb_N.n,SD,"Olfactory bulb N, n SD",Kverkova_etal_2018_TableS5
OlfactoryBulb_N.n_SD,OlfactoryBulb_N.n,SD,Olfactory bulbs_N.n_SD,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_N.n_SD,OlfactoryBulb_N.n,SD,Olfactory bulbs_N.n_SD,Kverkova_etal_2018_TableS5
OlfactoryBulb_N.p.mg,OlfactoryBulb,N.p.mg,DNOB,DosSantos_etal_2017_TableS1
OlfactoryBulb_N.p.mg,OlfactoryBulb,N.p.mg,DNOB,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_N.p.mg,OlfactoryBulb,N.p.mg,DNOB,JardimMesseder_etal_2017_Table1
OlfactoryBulb_N.p.mg,OlfactoryBulb,N.p.mg,Olfactory bulb N/mg,DosSantos_etal_2017_TableS1
OlfactoryBulb_N.p.mg,OlfactoryBulb,N.p.mg,Olfactory bulb N/mg,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_N.p.mg,OlfactoryBulb,N.p.mg,Olfactory bulb N/mg,JardimMesseder_etal_2017_Table1
OlfactoryBulb_N.p.mg_SD,OlfactoryBulb_N.p.mg,SD,Olfactory bulb N/mg SD,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_O.n,OlfactoryBulb,O.n,OOB,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_O.n,OlfactoryBulb,O.n,OOB,JardimMesseder_etal_2017_Table1
OlfactoryBulb_O.n,OlfactoryBulb,O.n,"Olfactory bulb O, n",HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_O.n,OlfactoryBulb,O.n,"Olfactory bulb O, n",JardimMesseder_etal_2017_Table1
OlfactoryBulb_O.n_SD,OlfactoryBulb_O.n,SD,"Olfactory bulb O, n SD",HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_O.p.N,OlfactoryBulb,O.p.N,O/NOB,DosSantos_etal_2017_TableS1
OlfactoryBulb_O.p.N,OlfactoryBulb,O.p.N,O/NOB,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_O.p.N,OlfactoryBulb,O.p.N,O/NOB,JardimMesseder_etal_2017_Table1
OlfactoryBulb_O.p.N,OlfactoryBulb,O.p.N,Olfactory bulb O/N,DosSantos_etal_2017_TableS1
OlfactoryBulb_O.p.N,OlfactoryBulb,O.p.N,Olfactory bulb O/N,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_O.p.N,OlfactoryBulb,O.p.N,Olfactory bulb O/N,JardimMesseder_etal_2017_Table1
OlfactoryBulb_O.p.N_SD,OlfactoryBulb_O.p.N,SD,Olfactory bulb O/N SD,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_O.p.mg,OlfactoryBulb,O.p.mg,Olfactory bulb O/mg,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_O.p.mg_SD,OlfactoryBulb_O.p.mg,SD,Olfactory bulb O/mg SD,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_Source,OlfactoryBulb,Source,Olfactory bulb Source,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_Vol.mm3,OlfactoryBulb,Vol.mm3,Olfactory bulbs_Vol.mm3,Kverkova_etal_2018_TableS1
OlfactoryBulb_Vol.mm3_SD,OlfactoryBulb_Vol.mm3,SD,Olfactory bulbs_Vol.mm3_SD,Kverkova_etal_2018_TableS1
OlfactoryBulb_n,OlfactoryBulb,n,Olfactory bulb n,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_p.C.Brain,OlfactoryBulb,p.C.Brain,Olfactory bulbs_p.C.Brain,Kverkova_etal_2018_TableS1
OlfactoryCortices_Vol.mm3,OlfactoryCortices,Vol.mm3,Olfactory cortices_Vol.mm3,Kverkova_etal_2018_TableS1
OlfactoryCortices_Vol.mm3_SD,OlfactoryCortices_Vol.mm3,SD,Olfactory cortices_Vol.mm3_SD,Kverkova_etal_2018_TableS1
OlfactoryCortices_p.C.Brain,OlfactoryCortices,p.C.Brain,Olfactory cortices_p.C.Brain,Kverkova_etal_2018_TableS1
Order,Order,,Order,HerculanoHouzel_etal_2015_Table1
Order,Order,,Order,HerculanoHouzel_etal_2015_Table2
Order,Order,,Order,HerculanoHouzel_etal_2015_Table3
Order,Order,,Order,HerculanoHouzel_etal_2015_Table4
Order,Order,,Order,HerculanoHouzel_etal_2015_Table5
PonsMedulla_C.n,PonsMedulla,C.n,P+M_C,DosSantos_etal_2020_Table1
PonsMedulla_I.n,PonsMedulla,I.n,P+M_I,DosSantos_etal_2020_Table1
PonsMedulla_I.p.N,PonsMedulla,I.p.N,P+M_I/N,DosSantos_etal_2020_Table1
PonsMedulla_I.p.mg,PonsMedulla,I.p.mg,P+M_I/mg,DosSantos_etal_2020_Table1
PonsMedulla_Mass.g,PonsMedulla,Mass.g,MP+M,DosSantos_etal_2017_TableS1
PonsMedulla_Mass.g,PonsMedulla,Mass.g,MP+M,DosSantos_etal_2020_Table1
PonsMedulla_Mass.g,PonsMedulla,Mass.g,P+M_Structure mass (g),DosSantos_etal_2017_TableS1
PonsMedulla_Mass.g,PonsMedulla,Mass.g,P+M_Structure mass (g),DosSantos_etal_2020_Table1
PonsMedulla_N.n,PonsMedulla,N.n,NP+M,DosSantos_etal_2017_TableS1
PonsMedulla_N.n,PonsMedulla,N.n,NP+M,DosSantos_etal_2020_Table1
PonsMedulla_N.n,PonsMedulla,N.n,P+M_N,DosSantos_etal_2017_TableS1
PonsMedulla_N.n,PonsMedulla,N.n,P+M_N,DosSantos_etal_2020_Table1
PonsMedulla_N.p.mg,PonsMedulla,N.p.mg,DNP+M,DosSantos_etal_2017_TableS1
PonsMedulla_N.p.mg,PonsMedulla,N.p.mg,DNP+M,DosSantos_etal_2020_Table1
PonsMedulla_N.p.mg,PonsMedulla,N.p.mg,P+M_N/mg,DosSantos_etal_2017_TableS1
PonsMedulla_N.p.mg,PonsMedulla,N.p.mg,P+M_N/mg,DosSantos_etal_2020_Table1
PonsMedulla_O.p.N,PonsMedulla,O.p.N,O/NP+M,DosSantos_etal_2017_TableS1
PonsMedulla_S.n,PonsMedulla,S.n,P+M_No. of samples,DosSantos_etal_2020_Table1
Pons_Mass.g,Pons,Mass.g,"Pons_Mass, g",AvelinodeSouza_etal_2025_TABLE1
Pons_N.n,Pons,N.n,Pons_Neurons,AvelinodeSouza_etal_2025_TABLE1
Pons_N.p.mg,Pons,N.p.mg,Pons_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
Pons_O.n,Pons,O.n,Pons_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
Pons_O.p.N,Pons,O.p.N,Pons_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
Pons_O.p.mg,Pons,O.p.mg,Pons_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
RoB_C.n,RoB,C.n,RoB_C,DosSantos_etal_2020_Table1
RoB_I.n,RoB,I.n,RoB_I,DosSantos_etal_2020_Table1
RoB_I.p.C,RoB,I.p.C,RoB_I/C,DosSantos_etal_2020_unpublished
RoB_I.p.N,RoB,I.p.N,RoB_I/N,DosSantos_etal_2020_Table1
RoB_I.p.mg,RoB,I.p.mg,RoB_I/mg,DosSantos_etal_2020_Table1
RoB_Mass.g,RoB,Mass.g,MROB,AvelinodeSouza_etal_2025_TABLE1
RoB_Mass.g,RoB,Mass.g,MROB,DosSantos_etal_2017_TableS1
RoB_Mass.g,RoB,Mass.g,MROB,DosSantos_etal_2020_Table1
RoB_Mass.g,RoB,Mass.g,MROB,HerculanoHouzel_etal_2015_Table3
RoB_Mass.g,RoB,Mass.g,MROB,JardimMesseder_etal_2017_Table1
RoB_Mass.g,RoB,Mass.g,MRoB.g,AvelinodeSouza_etal_2025_TABLE1
RoB_Mass.g,RoB,Mass.g,MRoB.g,DosSantos_etal_2017_TableS1
RoB_Mass.g,RoB,Mass.g,MRoB.g,DosSantos_etal_2020_Table1
RoB_Mass.g,RoB,Mass.g,MRoB.g,HerculanoHouzel_etal_2015_Table3
RoB_Mass.g,RoB,Mass.g,MRoB.g,JardimMesseder_etal_2017_Table1
RoB_Mass.g,RoB,Mass.g,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Mass, g",AvelinodeSouza_etal_2025_TABLE1
RoB_Mass.g,RoB,Mass.g,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Mass, g",DosSantos_etal_2017_TableS1
RoB_Mass.g,RoB,Mass.g,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Mass, g",DosSantos_etal_2020_Table1
RoB_Mass.g,RoB,Mass.g,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Mass, g",HerculanoHouzel_etal_2015_Table3
RoB_Mass.g,RoB,Mass.g,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Mass, g",JardimMesseder_etal_2017_Table1
RoB_Mass.g,RoB,Mass.g,"RoB Mass, g",AvelinodeSouza_etal_2025_TABLE1
RoB_Mass.g,RoB,Mass.g,"RoB Mass, g",DosSantos_etal_2017_TableS1
RoB_Mass.g,RoB,Mass.g,"RoB Mass, g",DosSantos_etal_2020_Table1
RoB_Mass.g,RoB,Mass.g,"RoB Mass, g",HerculanoHouzel_etal_2015_Table3
RoB_Mass.g,RoB,Mass.g,"RoB Mass, g",JardimMesseder_etal_2017_Table1
RoB_Mass.g,RoB,Mass.g,RoB_Structure mass (g),AvelinodeSouza_etal_2025_TABLE1
RoB_Mass.g,RoB,Mass.g,RoB_Structure mass (g),DosSantos_etal_2017_TableS1
RoB_Mass.g,RoB,Mass.g,RoB_Structure mass (g),DosSantos_etal_2020_Table1
RoB_Mass.g,RoB,Mass.g,RoB_Structure mass (g),HerculanoHouzel_etal_2015_Table3
RoB_Mass.g,RoB,Mass.g,RoB_Structure mass (g),JardimMesseder_etal_2017_Table1
RoB_Mass.g_SD,RoB_Mass.g,SD,"RoB Mass, g SD",HerculanoHouzel_etal_2015_Table3
RoB_N.n,RoB,N.n,NROB,AvelinodeSouza_etal_2025_TABLE1
RoB_N.n,RoB,N.n,NROB,DosSantos_etal_2017_TableS1
RoB_N.n,RoB,N.n,NROB,DosSantos_etal_2020_Table1
RoB_N.n,RoB,N.n,NROB,HerculanoHouzel_etal_2015_Table3
RoB_N.n,RoB,N.n,NROB,HerculanoHouzel_etal_2020_TABLE2
RoB_N.n,RoB,N.n,NROB,JardimMesseder_etal_2017_Table1
RoB_N.n,RoB,N.n,NRoB,AvelinodeSouza_etal_2025_TABLE1
RoB_N.n,RoB,N.n,NRoB,DosSantos_etal_2017_TableS1
RoB_N.n,RoB,N.n,NRoB,DosSantos_etal_2020_Table1
RoB_N.n,RoB,N.n,NRoB,HerculanoHouzel_etal_2015_Table3
RoB_N.n,RoB,N.n,NRoB,HerculanoHouzel_etal_2020_TABLE2
RoB_N.n,RoB,N.n,NRoB,JardimMesseder_etal_2017_Table1
RoB_N.n,RoB,N.n,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons",AvelinodeSouza_etal_2025_TABLE1
RoB_N.n,RoB,N.n,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons",DosSantos_etal_2017_TableS1
RoB_N.n,RoB,N.n,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons",DosSantos_etal_2020_Table1
RoB_N.n,RoB,N.n,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons",HerculanoHouzel_etal_2015_Table3
RoB_N.n,RoB,N.n,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons",HerculanoHouzel_etal_2020_TABLE2
RoB_N.n,RoB,N.n,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons",JardimMesseder_etal_2017_Table1
RoB_N.n,RoB,N.n,"RoB N, n",AvelinodeSouza_etal_2025_TABLE1
RoB_N.n,RoB,N.n,"RoB N, n",DosSantos_etal_2017_TableS1
RoB_N.n,RoB,N.n,"RoB N, n",DosSantos_etal_2020_Table1
RoB_N.n,RoB,N.n,"RoB N, n",HerculanoHouzel_etal_2015_Table3
RoB_N.n,RoB,N.n,"RoB N, n",HerculanoHouzel_etal_2020_TABLE2
RoB_N.n,RoB,N.n,"RoB N, n",JardimMesseder_etal_2017_Table1
RoB_N.n,RoB,N.n,RoB_N,AvelinodeSouza_etal_2025_TABLE1
RoB_N.n,RoB,N.n,RoB_N,DosSantos_etal_2017_TableS1
RoB_N.n,RoB,N.n,RoB_N,DosSantos_etal_2020_Table1
RoB_N.n,RoB,N.n,RoB_N,HerculanoHouzel_etal_2015_Table3
RoB_N.n,RoB,N.n,RoB_N,HerculanoHouzel_etal_2020_TABLE2
RoB_N.n,RoB,N.n,RoB_N,JardimMesseder_etal_2017_Table1
RoB_N.n_SD,RoB_N.n,SD,"RoB N, n SD",HerculanoHouzel_etal_2015_Table3
RoB_N.p.mg,RoB,N.p.mg,"DN,RoB",AvelinodeSouza_etal_2025_TABLE1
RoB_N.p.mg,RoB,N.p.mg,"DN,RoB",DosSantos_etal_2017_TableS1
RoB_N.p.mg,RoB,N.p.mg,"DN,RoB",DosSantos_etal_2020_Table1
RoB_N.p.mg,RoB,N.p.mg,"DN,RoB",HerculanoHouzel_etal_2015_Table3
RoB_N.p.mg,RoB,N.p.mg,"DN,RoB",HerculanoHouzel_etal_2020_TABLE2
RoB_N.p.mg,RoB,N.p.mg,"DN,RoB",JardimMesseder_etal_2017_Table1
RoB_N.p.mg,RoB,N.p.mg,DNROB,AvelinodeSouza_etal_2025_TABLE1
RoB_N.p.mg,RoB,N.p.mg,DNROB,DosSantos_etal_2017_TableS1
RoB_N.p.mg,RoB,N.p.mg,DNROB,DosSantos_etal_2020_Table1
RoB_N.p.mg,RoB,N.p.mg,DNROB,HerculanoHouzel_etal_2015_Table3
RoB_N.p.mg,RoB,N.p.mg,DNROB,HerculanoHouzel_etal_2020_TABLE2
RoB_N.p.mg,RoB,N.p.mg,DNROB,JardimMesseder_etal_2017_Table1
RoB_N.p.mg,RoB,N.p.mg,DNRoB,AvelinodeSouza_etal_2025_TABLE1
RoB_N.p.mg,RoB,N.p.mg,DNRoB,DosSantos_etal_2017_TableS1
RoB_N.p.mg,RoB,N.p.mg,DNRoB,DosSantos_etal_2020_Table1
RoB_N.p.mg,RoB,N.p.mg,DNRoB,HerculanoHouzel_etal_2015_Table3
RoB_N.p.mg,RoB,N.p.mg,DNRoB,HerculanoHouzel_etal_2020_TABLE2
RoB_N.p.mg,RoB,N.p.mg,DNRoB,JardimMesseder_etal_2017_Table1
RoB_N.p.mg,RoB,N.p.mg,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons/mg",AvelinodeSouza_etal_2025_TABLE1
RoB_N.p.mg,RoB,N.p.mg,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons/mg",DosSantos_etal_2017_TableS1
RoB_N.p.mg,RoB,N.p.mg,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons/mg",DosSantos_etal_2020_Table1
RoB_N.p.mg,RoB,N.p.mg,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons/mg",HerculanoHouzel_etal_2015_Table3
RoB_N.p.mg,RoB,N.p.mg,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons/mg",HerculanoHouzel_etal_2020_TABLE2
RoB_N.p.mg,RoB,N.p.mg,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Neurons/mg",JardimMesseder_etal_2017_Table1
RoB_N.p.mg,RoB,N.p.mg,RoB N/mg,AvelinodeSouza_etal_2025_TABLE1
RoB_N.p.mg,RoB,N.p.mg,RoB N/mg,DosSantos_etal_2017_TableS1
RoB_N.p.mg,RoB,N.p.mg,RoB N/mg,DosSantos_etal_2020_Table1
RoB_N.p.mg,RoB,N.p.mg,RoB N/mg,HerculanoHouzel_etal_2015_Table3
RoB_N.p.mg,RoB,N.p.mg,RoB N/mg,HerculanoHouzel_etal_2020_TABLE2
RoB_N.p.mg,RoB,N.p.mg,RoB N/mg,JardimMesseder_etal_2017_Table1
RoB_N.p.mg,RoB,N.p.mg,RoB_N/mg,AvelinodeSouza_etal_2025_TABLE1
RoB_N.p.mg,RoB,N.p.mg,RoB_N/mg,DosSantos_etal_2017_TableS1
RoB_N.p.mg,RoB,N.p.mg,RoB_N/mg,DosSantos_etal_2020_Table1
RoB_N.p.mg,RoB,N.p.mg,RoB_N/mg,HerculanoHouzel_etal_2015_Table3
RoB_N.p.mg,RoB,N.p.mg,RoB_N/mg,HerculanoHouzel_etal_2020_TABLE2
RoB_N.p.mg,RoB,N.p.mg,RoB_N/mg,JardimMesseder_etal_2017_Table1
RoB_N.p.mg_SD,RoB_N.p.mg,SD,RoB N/mg SD,HerculanoHouzel_etal_2015_Table3
RoB_O.n,RoB,O.n,ORoB,AvelinodeSouza_etal_2025_TABLE1
RoB_O.n,RoB,O.n,ORoB,HerculanoHouzel_etal_2015_Table3
RoB_O.n,RoB,O.n,ORoB,JardimMesseder_etal_2017_Table1
RoB_O.n,RoB,O.n,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells",AvelinodeSouza_etal_2025_TABLE1
RoB_O.n,RoB,O.n,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells",HerculanoHouzel_etal_2015_Table3
RoB_O.n,RoB,O.n,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells",JardimMesseder_etal_2017_Table1
RoB_O.n,RoB,O.n,"RoB O, n",AvelinodeSouza_etal_2025_TABLE1
RoB_O.n,RoB,O.n,"RoB O, n",HerculanoHouzel_etal_2015_Table3
RoB_O.n,RoB,O.n,"RoB O, n",JardimMesseder_etal_2017_Table1
RoB_O.n_SD,RoB_O.n,SD,"RoB O, n SD",HerculanoHouzel_etal_2015_Table3
RoB_O.p.N,RoB,O.p.N,O/NROB,AvelinodeSouza_etal_2025_TABLE1
RoB_O.p.N,RoB,O.p.N,O/NROB,DosSantos_etal_2017_TableS1
RoB_O.p.N,RoB,O.p.N,O/NROB,HerculanoHouzel_etal_2015_Table3
RoB_O.p.N,RoB,O.p.N,O/NROB,JardimMesseder_etal_2017_Table1
RoB_O.p.N,RoB,O.p.N,O/NRoB,AvelinodeSouza_etal_2025_TABLE1
RoB_O.p.N,RoB,O.p.N,O/NRoB,DosSantos_etal_2017_TableS1
RoB_O.p.N,RoB,O.p.N,O/NRoB,HerculanoHouzel_etal_2015_Table3
RoB_O.p.N,RoB,O.p.N,O/NRoB,JardimMesseder_etal_2017_Table1
RoB_O.p.N,RoB,O.p.N,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells/neuron",AvelinodeSouza_etal_2025_TABLE1
RoB_O.p.N,RoB,O.p.N,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells/neuron",DosSantos_etal_2017_TableS1
RoB_O.p.N,RoB,O.p.N,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells/neuron",HerculanoHouzel_etal_2015_Table3
RoB_O.p.N,RoB,O.p.N,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells/neuron",JardimMesseder_etal_2017_Table1
RoB_O.p.N,RoB,O.p.N,RoB O/N,AvelinodeSouza_etal_2025_TABLE1
RoB_O.p.N,RoB,O.p.N,RoB O/N,DosSantos_etal_2017_TableS1
RoB_O.p.N,RoB,O.p.N,RoB O/N,HerculanoHouzel_etal_2015_Table3
RoB_O.p.N,RoB,O.p.N,RoB O/N,JardimMesseder_etal_2017_Table1
RoB_O.p.N_SD,RoB_O.p.N,SD,RoB O/N SD,HerculanoHouzel_etal_2015_Table3
RoB_O.p.mg,RoB,O.p.mg,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells/mg",AvelinodeSouza_etal_2025_TABLE1
RoB_O.p.mg,RoB,O.p.mg,"Rest of brain (diencephalon+striatum, mesencephalon, pons and medulla)_Non-neuronal cells/mg",HerculanoHouzel_etal_2015_Table3
RoB_O.p.mg,RoB,O.p.mg,RoB O/mg,AvelinodeSouza_etal_2025_TABLE1
RoB_O.p.mg,RoB,O.p.mg,RoB O/mg,HerculanoHouzel_etal_2015_Table3
RoB_O.p.mg_SD,RoB_O.p.mg,SD,RoB O/mg SD,HerculanoHouzel_etal_2015_Table3
RoB_S.n,RoB,S.n,RoB_No. of samples,DosSantos_etal_2020_Table1
RoB_Source,RoB,Source,RoB Source,HerculanoHouzel_etal_2015_Table3
SampleInfo,SampleInfo,,SampleInfo,HerculanoHouzel_etal_2020_TABLE1
Septum_Vol.mm3,Septum,Vol.mm3,Septum_Vol.mm3,Kverkova_etal_2018_TableS1
Septum_Vol.mm3_SD,Septum_Vol.mm3,SD,Septum_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Septum_p.C.Brain,Septum,p.C.Brain,Septum_p.C.Brain,Kverkova_etal_2018_TableS1
Species,Species,,Species,AvelinodeSouza_etal_2025_TABLE1
Species,Species,,Species,Burish_etal_2010_Table1
Species,Species,,Species,DosSantos_etal_2017_TableS1
Species,Species,,Species,DosSantos_etal_2020_Table1
Species,Species,,Species,DosSantos_etal_2020_unpublished
Species,Species,,Species,HerculanoHouzel_etal_2015_Table1
Species,Species,,Species,HerculanoHouzel_etal_2015_Table2
Species,Species,,Species,HerculanoHouzel_etal_2015_Table3
Species,Species,,Species,HerculanoHouzel_etal_2015_Table4
Species,Species,,Species,HerculanoHouzel_etal_2015_Table5
Species,Species,,Species,HerculanoHouzel_etal_2020_TABLE1
Species,Species,,Species,HerculanoHouzel_etal_2020_TABLE2
Species,Species,,Species,JardimMesseder_etal_2017_Table1
Species,Species,,Species,Kverkova_etal_2018_TableS1
Species,Species,,Species,Kverkova_etal_2018_TableS5
Species,Species,,Species name,AvelinodeSouza_etal_2025_TABLE1
Species,Species,,Species name,Burish_etal_2010_Table1
Species,Species,,Species name,DosSantos_etal_2017_TableS1
Species,Species,,Species name,DosSantos_etal_2020_Table1
Species,Species,,Species name,DosSantos_etal_2020_unpublished
Species,Species,,Species name,HerculanoHouzel_etal_2015_Table1
Species,Species,,Species name,HerculanoHouzel_etal_2015_Table2
Species,Species,,Species name,HerculanoHouzel_etal_2015_Table3
Species,Species,,Species name,HerculanoHouzel_etal_2015_Table4
Species,Species,,Species name,HerculanoHouzel_etal_2015_Table5
Species,Species,,Species name,HerculanoHouzel_etal_2020_TABLE1
Species,Species,,Species name,HerculanoHouzel_etal_2020_TABLE2
Species,Species,,Species name,JardimMesseder_etal_2017_Table1
Species,Species,,Species name,Kverkova_etal_2018_TableS1
Species,Species,,Species name,Kverkova_etal_2018_TableS5
SpinalCord_Length.mm,SpinalCord,Length.mm,LSC,Burish_etal_2010_Table1
SpinalCord_Length.mm_SD,SpinalCord_Length.mm,SD,LSC_SD,Burish_etal_2010_Table1
SpinalCord_Mass.g,SpinalCord,Mass.g,MSC,Burish_etal_2010_Table1
SpinalCord_Mass.g_SD,SpinalCord_Mass.g,SD,MSC_SD,Burish_etal_2010_Table1
SpinalCord_N.n,SpinalCord,N.n,NSC,Burish_etal_2010_Table1
SpinalCord_N.n_SD,SpinalCord_N.n,SD,NSC_SD,Burish_etal_2010_Table1
SpinalCord_N.p.mg,SpinalCord,N.p.mg,DN,Burish_etal_2010_Table1
SpinalCord_N.p.mg_SD,SpinalCord_N.p.mg,SD,DN_SD,Burish_etal_2010_Table1
SpinalCord_O.n,SpinalCord,O.n,OSC,Burish_etal_2010_Table1
SpinalCord_O.n_SD,SpinalCord_O.n,SD,OSC_SD,Burish_etal_2010_Table1
SpinalCord_O.p.mg,SpinalCord,O.p.mg,DO,Burish_etal_2010_Table1
SpinalCord_O.p.mg_SD,SpinalCord_O.p.mg,SD,DO_SD,Burish_etal_2010_Table1
SpinalCord_n,SpinalCord,n,n,Burish_etal_2010_Table1
SpinalCord_p.C.Body.mass,SpinalCord,p.C.Body.mass,"MSC%
MBD",Burish_etal_2010_Table1
SpinalCord_p.C.CNS.mass,SpinalCord,p.C.CNS.mass,"MSC%
MCNS",Burish_etal_2010_Table1
SpinalCord_p.C.CNS.neurons,SpinalCord,p.C.CNS.neurons,"NSC%
NCNS",Burish_etal_2010_Table1
SpinalCord_p.C.N,SpinalCord,p.C.N,%NSC,Burish_etal_2010_Table1
SpinalCord_p.C.N_SD,SpinalCord_p.C.N,SD,%NSC_SD,Burish_etal_2010_Table1
Striatum_Vol.mm3,Striatum,Vol.mm3,Striatum_Vol.mm3,Kverkova_etal_2018_TableS1
Striatum_Vol.mm3_SD,Striatum_Vol.mm3,SD,Striatum_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Striatum_p.C.Brain,Striatum,p.C.Brain,Striatum_p.C.Brain,Kverkova_etal_2018_TableS1
SubcorticalForebrain_N.n,SubcorticalForebrain,N.n,Subcortical forebrain_N.n,Kverkova_etal_2018_TableS5
SubcorticalForebrain_N.n_SD,SubcorticalForebrain_N.n,SD,Subcortical forebrain_N.n_SD,Kverkova_etal_2018_TableS5
Tectum_Vol.mm3,Tectum,Vol.mm3,Tectum_Vol.mm3,Kverkova_etal_2018_TableS1
Tectum_Vol.mm3_SD,Tectum_Vol.mm3,SD,Tectum_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Tectum_p.C.Brain,Tectum,p.C.Brain,Tectum_p.C.Brain,Kverkova_etal_2018_TableS1
Tegmentum_Vol.mm3,Tegmentum,Vol.mm3,Tegmentum_Vol.mm3,Kverkova_etal_2018_TableS1
Tegmentum_Vol.mm3_SD,Tegmentum_Vol.mm3,SD,Tegmentum_Vol.mm3_SD,Kverkova_etal_2018_TableS1
